icd3,n_people,n_distinct_concepts,commonest_name,prevalence_pct
M25,2894,57,Shoulder joint pain,37.5
E78,2687,9,Hyperlipidemia,34.8
M54,2645,19,Low back pain,34.2
M79,2614,29,Muscle pain,33.8
I10,2608,1,Essential hypertension,33.8
R10,2339,25,Abdominal pain,30.3
G89,2002,8,Chronic pain,25.9
R07,1922,7,Chest pain,24.9
R06,1920,13,Dyspnea,24.9
K21,1768,4,Gastroesophageal reflux disease without esophagitis,22.9
R05,1713,4,Cough,22.2
G47,1644,26,Obstructive sleep apnea syndrome,21.3
F41,1595,4,Anxiety disorder,20.6
E66,1541,4,Obesity,19.9
F32,1438,9,"Major depression, single episode",18.6
R00,1436,4,Palpitations,18.6
E55,1334,2,Vitamin D deficiency,17.3
E11,1302,37,Type 2 diabetes mellitus without complication,16.9
R09,1277,8,Disorder of body system,16.5
R73,1277,4,Prediabetes,16.5
D64,1244,3,Anemia,16.1
R51,1240,2,Headache,16.0
R11,1238,8,Nausea and vomiting,16.0
R42,1216,1,Dizziness and giddiness,15.7
M19,1194,13,Osteoarthritis,15.5
R19,1103,8,Diarrhea,14.3
N39,1089,13,Urinary tract infectious disease,14.1
E87,1087,11,Hypokalemia,14.1
K59,1087,11,Constipation,14.1
M47,1034,19,Lumbar spondylosis,13.4
J06,1032,2,Acute upper respiratory infection,13.4
J30,1027,7,Allergic rhinitis,13.3
J45,967,16,Uncomplicated asthma,12.5
K64,942,8,Hemorrhoids,12.2
H52,915,11,Myopia,11.8
I25,902,22,Atherosclerosis of coronary artery without angina pectoris,11.7
J02,881,2,Acute pharyngitis,11.4
F17,877,4,Nicotine dependence,11.4
R21,871,1,Eruption,11.3
H25,854,8,Nuclear senile cataract,11.1
L30,835,7,Inflammatory dermatosis,10.8
E03,818,5,Hypothyroidism,10.6
R52,815,1,Pain,10.5
M17,807,3,Osteoarthritis of knee,10.4
R30,787,1,Dysuria,10.2
F43,787,11,Posttraumatic stress disorder,10.2
R60,784,3,Localized edema,10.1
U07,779,3,COVID-19,10.1
K76,775,7,Steatosis of liver,10.0
H53,769,27,Visual disturbance,10.0
M62,763,11,Spasm,9.9
M51,763,17,Degeneration of lumbar intervertebral disc,9.9
H04,729,18,Tear film insufficiency,9.4
R20,728,4,Paresthesia,9.4
D50,715,2,Iron deficiency anemia,9.3
J98,712,9,Atelectasis,9.2
Z90,711,10,Acquired absence of organ,9.2
