chapter,n_people,n_distinct_codes,pct_of_cohort
Symptoms & abnormal findings,5092,344.0,65.9
Musculoskeletal & connective tissue,4457,1761.0,57.7
"Endocrine, nutritional & metabolic",4241,461.0,54.9
Digestive,3807,619.0,49.3
Genitourinary,3592,466.0,46.5
Nervous system,3445,483.0,44.6
Respiratory,3430,264.0,44.4
Circulatory,3409,759.0,44.1
Neoplasms / blood & immune,3278,518.0,42.4
Eye & ear,3109,1507.0,40.2
Mental & behavioural,3093,487.0,40.0
Skin & subcutaneous,3079,496.0,39.9
Injury & poisoning,3053,3721.0,39.5
Infectious & parasitic,2611,335.0,33.8
Health status & contact with services,1404,107.0,18.2
Neoplasms,927,433.0,12.0
Unmapped,795,3.0,10.3
Congenital malformations,652,294.0,8.4
Pregnancy & childbirth,566,593.0,7.3
External causes,356,53.0,4.6
Perinatal,25,15.0,0.3
