metric,r_with_cdr3,ancestry_spread_ratio,p_varies_by_ancestry,candidate_confound
Mean 3' bias,-0.201,1.11,0.0088,True
Genes Detected,0.608,1.041,0.3123,False
Median of Transcript Coverage CV,-0.391,1.046,0.3354,False
Estimated Library Complexity,0.356,1.211,0.7534,False
rRNA Rate,0.294,2.964,0.137,False
Expression Profiling Efficiency,0.256,1.089,0.595,False
Exonic Rate,0.236,1.101,0.5023,False
Intronic Rate,-0.23,1.156,0.551,False
Fragment GC Content Mean,0.21,1.044,0.0811,False
Median 3' bias,-0.199,1.176,0.0092,False
Duplicate Rate of Mapped,0.175,1.132,0.5417,False
Unique Rate of Mapped,-0.175,1.084,0.5417,False
"Duplicate Rate of Mapped, excluding Globins",0.171,1.129,0.5928,False
Mapping Rate,0.126,1.026,0.4255,False
globin_fraction,0.113,3.212,0.1198,False
Base Mismatch,0.038,1.187,0.028,False
Intergenic Rate,-0.005,1.241,0.0935,False
