gene,ancestry,allele,freq,n_individuals
A,afr,02:01,0.119516,100798
A,afr,23:01,0.112889,100798
A,afr,03:01,0.082591,100798
A,afr,30:01,0.071375,100798
A,afr,30:02,0.067273,100798
A,afr,68:02,0.063141,100798
A,afr,74:01,0.053811,100798
A,afr,33:03,0.05263,100798
A,afr,02:02,0.041494,100798
A,afr,01:01,0.041082,100798
A,afr,68:01,0.038597,100798
A,afr,34:02,0.033572,100798
A,afr,29:02,0.030789,100798
A,afr,36:01,0.027089,100798
A,afr,24:02,0.022178,100798
A,afr,33:01,0.021975,100798
A,afr,02:05,0.015015,100798
A,afr,32:01,0.014777,100798
A,afr,66:01,0.014415,100798
A,afr,26:01,0.01376,100798
A,afr,11:01,0.012728,100798
A,afr,66:02,0.009742,100798
A,afr,31:01,0.009603,100798
A,afr,80:01,0.007589,100798
A,afr,01:02,0.005551,100798
A,afr,25:01,0.002872,100798
A,afr,30:04,0.002341,100798
A,afr,66:03,0.001731,100798
A,afr,02:60,0.001057,100798
A,afr,02:06,0.000818,100798
A,afr,74:11,0.000675,100798
A,afr,24:07,0.000511,100798
A,afr,29:01,0.000501,100798
A,afr,74:09,0.000471,100798
A,afr,74:03,0.000377,100798
A,afr,26:12,0.000372,100798
A,afr,02:14,0.000352,100798
A,afr,24:23,0.000342,100798
A,afr,24:03,0.000322,100798
A,afr,02:11,0.000313,100798
A,afr,03:02,0.000293,100798
A,afr,69:01,0.000233,100798
A,afr,68:15,0.000213,100798
A,afr,02:17,0.000208,100798
A,afr,30:07,0.000193,100798
A,afr,26:08,0.000169,100798
A,afr,36:03,0.000169,100798
A,afr,02:04,0.000154,100798
A,afr,43:01,0.000139,100798
A,afr,31:04,0.000134,100798
A,afr,02:03,0.000129,100798
A,afr,68:10,0.000114,100798
A,afr,23:05,0.000114,100798
A,afr,68:03,0.000109,100798
A,afr,33:05,9.4e-05,100798
A,afr,01:03,8.4e-05,100798
A,afr,02:20,7.9e-05,100798
A,afr,02:22,7.4e-05,100798
A,afr,03:07,6.4e-05,100798
A,afr,30:09,6.4e-05,100798
A,afr,23:02,5.5e-05,100798
A,afr,30:10,5e-05,100798
A,afr,02:07,4.5e-05,100798
A,afr,02:24,4e-05,100798
A,afr,34:01,4e-05,100798
A,afr,30:08,3.5e-05,100798
A,afr,23:03,3.5e-05,100798
A,afr,68:08,3.5e-05,100798
A,afr,02:86,3.5e-05,100798
A,afr,30:16,3e-05,100798
A,afr,11:02,2.5e-05,100798
A,afr,74:16,2e-05,100798
A,afr,24:14,2e-05,100798
A,afr,02:122,2e-05,100798
A,afr,01:09,2e-05,100798
A,afr,02:13,2e-05,100798
