gene,group_2field,catalogued_3field_variants,observed_3field_variants,n_individuals,dominant_ancestry,dominant_ancestry_share
A,02:01,236,36,207897,eur,68.0
A,01:01,176,19,114621,eur,78.3
A,03:01,147,16,110650,eur,70.5
A,24:02,191,21,87293,eur,57.4
A,11:01,146,16,54307,eur,65.6
A,23:01,45,6,40787,afr,52.6
A,68:01,77,5,37513,eur,50.2
A,29:02,43,5,34462,eur,56.8
A,32:01,68,4,30325,eur,69.8
A,26:01,92,8,29875,eur,66.4
A,31:01,66,8,29752,eur,53.2
A,30:01,35,2,27606,afr,50.3
A,30:02,34,8,24030,afr,54.6
A,68:02,30,7,23412,afr,52.7
A,33:03,75,6,18234,afr,56.8
A,25:01,27,2,15361,eur,82.4
A,33:01,22,2,14296,eur,37.1
A,02:05,17,2,12989,eur,48.0
A,74:01,12,3,12423,afr,85.0
A,02:06,37,7,11390,amr,73.4
A,02:02,10,1,10501,afr,78.0
A,34:02,8,1,8186,afr,81.2
A,66:01,12,1,6976,afr,41.3
A,36:01,3,1,6013,afr,89.6
A,68:03,4,3,3730,amr,99.0
A,29:01,16,1,3193,eur,63.9
A,03:02,9,1,2709,eur,73.6
A,24:03,6,2,2285,eur,56.7
A,30:04,5,2,2248,eur,44.8
A,66:02,2,1,2177,afr,89.7
A,02:07,28,2,2109,eas,93.3
A,80:01,2,1,2028,afr,75.2
A,69:01,6,1,1813,eur,59.9
A,01:02,2,1,1700,afr,65.4
A,02:11,16,3,1525,amr,51.0
A,24:07,5,1,1482,eas,72.1
A,02:03,18,2,1410,eas,83.0
A,34:01,8,1,1137,eas,86.9
A,02:17,3,1,1072,amr,60.6
A,26:08,3,1,800,eur,74.8
A,68:05,0,0,724,amr,99.4
A,02:04,2,1,707,amr,93.6
A,11:02,9,2,651,eas,94.9
A,24:25,0,0,507,amr,99.2
A,02:22,2,1,499,amr,86.2
A,02:20,2,2,408,amr,52.9
A,66:03,1,1,405,afr,86.2
A,31:02,2,1,346,amr,99.4
A,30:10,0,0,332,amr,90.4
A,74:03,3,1,317,eur,63.4
A,02:13,2,0,285,amr,89.8
A,01:03,3,1,257,eur,53.3
A,33:05,0,0,254,eur,80.3
A,02:60,2,1,236,afr,90.3
A,24:10,2,1,147,eas,91.2
A,74:11,0,0,141,afr,96.5
A,24:23,0,0,133,afr,51.9
A,26:02,2,1,117,eas,88.0
A,26:03,4,1,114,eas,83.3
A,02:24,2,1,111,eur,71.2
A,24:05,2,1,104,amr,84.6
A,74:09,0,0,100,afr,95.0
A,24:14,1,1,98,amr,96.9
A,02:30,2,1,97,eur,94.8
A,02:14,0,1,89,afr,79.8
A,26:12,1,1,82,afr,91.5
A,34:05,0,0,76,eas,77.6
A,31:09,0,0,76,amr,100.0
A,68:12,2,2,74,amr,91.9
A,24:17,2,1,73,sas,87.7
A,68:17,2,1,70,amr,92.9
A,24:22,0,0,69,amr,100.0
A,23:05,0,0,65,amr,64.6
A,29:10,2,1,64,eur,89.1
A,68:07,0,0,64,amr,100.0
A,11:05,0,1,62,eur,88.7
A,24:20,4,1,60,eas,93.3
A,02:33,0,0,58,amr,100.0
A,02:08,2,1,56,eur,64.3
A,02:10,0,1,54,eas,92.6
A,68:15,0,0,49,afr,87.8
A,36:03,0,0,40,afr,85.0
A,30:07,0,0,39,afr,100.0
A,11:03,1,1,39,sas,69.2
A,02:16,0,1,35,sas,91.4
A,03:05,2,1,33,eur,81.8
A,43:01,0,1,32,afr,87.5
A,31:04,2,1,32,afr,84.4
A,02:64,2,1,31,amr,74.2
A,02:35,3,1,30,eur,90.0
A,24:53,0,0,28,amr,96.4
A,01:06,0,0,27,eur,85.2
A,03:07,2,1,27,afr,48.1
