gene,ancestry,n,callable_n,agree3,sh_aou,si_aou,si_sh,aou_out,si_out,si_out_conf
A,AFR,10,10,7,8,9,7,0,1,0
A,AMR,10,10,7,9,8,7,0,2,1
A,EAS,10,10,5,10,5,5,0,5,0
A,EUR,10,10,6,9,6,6,0,3,1
A,MID,10,10,8,10,8,8,0,2,0
A,SAS,10,10,7,8,8,7,0,1,0
B,AFR,10,10,7,10,7,7,0,3,2
B,AMR,10,10,5,7,7,5,0,2,0
B,EAS,10,10,6,8,6,7,1,2,0
B,EUR,10,10,9,9,10,9,0,0,0
B,MID,10,10,7,10,7,7,0,3,0
B,SAS,10,10,9,10,9,9,0,1,0
C,AFR,10,10,9,9,9,10,1,0,0
C,AMR,10,10,8,9,8,9,1,1,1
C,EAS,10,10,8,10,8,8,0,2,1
C,EUR,10,10,8,9,9,8,0,1,1
C,MID,10,10,8,9,8,9,1,1,0
C,SAS,10,10,7,9,8,7,0,2,1
DRB1,AFR,10,9,0,3,3,0,0,3,0
DRB1,AMR,10,8,3,3,5,3,0,0,0
DRB1,EAS,10,6,1,2,4,1,0,1,0
DRB1,EUR,10,9,3,4,7,3,0,1,0
DRB1,MID,10,6,4,4,5,4,0,0,0
DRB1,SAS,10,9,1,3,5,1,0,2,0
DQA1,AFR,10,10,6,7,6,8,2,1,1
DQA1,AMR,10,10,6,6,6,10,4,0,0
DQA1,EAS,10,10,1,1,1,10,9,0,0
DQA1,EUR,10,10,2,2,2,9,7,0,0
DQA1,MID,10,10,4,4,4,9,5,0,0
DQA1,SAS,10,10,6,7,6,8,2,1,1
DQB1,AFR,10,10,7,8,7,9,2,1,0
DQB1,AMR,10,10,6,6,6,10,4,0,0
DQB1,EAS,10,10,9,10,9,9,0,1,0
DQB1,EUR,10,10,6,7,6,9,3,1,1
DQB1,MID,10,10,5,5,5,9,4,0,0
DQB1,SAS,10,10,8,10,8,8,0,2,1
DPA1,AFR,10,10,7,10,7,7,0,3,1
DPA1,AMR,10,10,9,10,9,9,0,1,0
DPA1,EAS,10,10,7,9,8,7,0,2,1
DPA1,EUR,10,10,9,9,10,9,0,0,0
DPA1,MID,10,10,9,9,9,10,1,0,0
DPA1,SAS,10,10,9,9,9,10,1,0,0
DPB1,AFR,10,10,7,8,7,9,2,1,0
DPB1,AMR,10,10,5,5,7,7,2,0,0
DPB1,EAS,10,10,7,8,8,7,0,1,0
DPB1,EUR,10,10,8,8,8,9,1,0,0
DPB1,MID,10,10,2,8,3,3,1,6,2
DPB1,SAS,10,10,8,9,8,9,1,1,0
