gene,ancestry,method,field_level,n_true,n_false,n_na
A,AFR,aou,1,19,1,0
A,AFR,aou,2,19,1,0
A,AFR,aou,3,18,1,1
A,AFR,aou,4,0,1,19
A,AFR,sh,1,19,1,0
A,AFR,sh,2,17,3,0
A,AFR,sh,3,16,3,1
A,AFR,sh,4,15,4,1
B,AFR,aou,1,18,2,0
B,AFR,aou,2,16,4,0
B,AFR,aou,3,15,5,0
B,AFR,aou,4,0,5,15
B,AFR,sh,1,18,2,0
B,AFR,sh,2,16,4,0
B,AFR,sh,3,15,5,0
B,AFR,sh,4,9,11,0
C,AFR,aou,1,20,0,0
C,AFR,aou,2,19,1,0
C,AFR,aou,3,17,3,0
C,AFR,aou,4,0,3,17
C,AFR,sh,1,20,0,0
C,AFR,sh,2,20,0,0
C,AFR,sh,3,20,0,0
C,AFR,sh,4,15,5,0
DRB1,AFR,aou,1,18,2,0
DRB1,AFR,aou,2,12,8,0
DRB1,AFR,aou,3,10,10,0
DRB1,AFR,aou,4,0,10,10
DRB1,AFR,sh,1,11,7,0
DRB1,AFR,sh,2,6,12,0
DRB1,AFR,sh,3,5,13,0
DRB1,AFR,sh,4,5,13,0
DQA1,AFR,aou,1,20,0,0
DQA1,AFR,aou,2,15,5,0
DQA1,AFR,aou,3,13,7,0
DQA1,AFR,aou,4,0,7,13
DQA1,AFR,sh,1,20,0,0
DQA1,AFR,sh,2,18,2,0
DQA1,AFR,sh,3,18,2,0
DQA1,AFR,sh,4,6,12,2
DQB1,AFR,aou,1,19,1,0
DQB1,AFR,aou,2,17,3,0
DQB1,AFR,aou,3,17,3,0
DQB1,AFR,aou,4,0,3,17
DQB1,AFR,sh,1,19,1,0
DQB1,AFR,sh,2,19,1,0
DQB1,AFR,sh,3,19,1,0
DQB1,AFR,sh,4,16,4,0
DPA1,AFR,aou,1,20,0,0
DPA1,AFR,aou,2,17,3,0
DPA1,AFR,aou,3,14,6,0
DPA1,AFR,aou,4,0,6,14
DPA1,AFR,sh,1,20,0,0
