gene	ancestry	bucket	carrier_incidences	n_haplotypes	per_100_haplotypes
HLA-A	AFR	cds_changing	19	5948	0.3194351042367182
HLA-A	AFR	noncoding_only	208	5948	3.496973772696705
HLA-A	AFR	flagged_artifact	191	5948	3.211163416274378
HLA-A	AMR	cds_changing	8	5341	0.14978468451600824
HLA-A	AMR	noncoding_only	164	5341	3.070586032578169
HLA-A	AMR	flagged_artifact	140	5341	2.6212319790301444
HLA-A	EAS	cds_changing	9	2884	0.3120665742024965
HLA-A	EAS	noncoding_only	86	2884	2.9819694868238558
HLA-A	EAS	flagged_artifact	76	2884	2.635228848821082
HLA-A	EUR	cds_changing	10	5943	0.16826518593303044
HLA-A	EUR	noncoding_only	194	5943	3.264344607100791
HLA-A	EUR	flagged_artifact	172	5943	2.8941611980481237
HLA-A	MID	cds_changing	4	959	0.4171011470281543
HLA-A	MID	noncoding_only	24	959	2.502606882168926
HLA-A	MID	flagged_artifact	21	959	2.18978102189781
HLA-A	SAS	cds_changing	7	2451	0.28559771521827826
HLA-A	SAS	noncoding_only	67	2451	2.733578131374949
HLA-A	SAS	flagged_artifact	57	2451	2.3255813953488373
HLA-B	AFR	cds_changing	33	6001	0.5499083486085652
HLA-B	AFR	noncoding_only	661	6001	11.01483086152308
HLA-B	AFR	flagged_artifact	206	6001	3.4327612064655892
HLA-B	AMR	cds_changing	19	5354	0.3548748599178185
HLA-B	AMR	noncoding_only	565	5354	10.55285767650355
HLA-B	AMR	flagged_artifact	153	5354	2.8576765035487486
HLA-B	EAS	cds_changing	6	2876	0.2086230876216968
HLA-B	EAS	noncoding_only	288	2876	10.013908205841446
HLA-B	EAS	flagged_artifact	100	2876	3.477051460361613
HLA-B	EUR	cds_changing	24	5935	0.4043807919123842
HLA-B	EUR	noncoding_only	470	5935	7.919123841617523
HLA-B	EUR	flagged_artifact	171	5935	2.8812131423757372
HLA-B	MID	cds_changing	2	969	0.20639834881320948
HLA-B	MID	noncoding_only	94	969	9.700722394220847
HLA-B	MID	flagged_artifact	27	969	2.7863777089783284
HLA-B	SAS	cds_changing	7	2449	0.28583095140873827
HLA-B	SAS	noncoding_only	254	2449	10.37158023683136
HLA-B	SAS	flagged_artifact	67	2449	2.735810534912209
HLA-C	AFR	cds_changing	19	6013	0.31598203891568266
HLA-C	AFR	noncoding_only	503	6013	8.36520871445202
HLA-C	AFR	flagged_artifact	199	6013	3.3094960918010976
HLA-C	AMR	cds_changing	20	5357	0.3733432891543774
HLA-C	AMR	noncoding_only	344	5357	6.421504573455292
HLA-C	AMR	flagged_artifact	208	5357	3.8827702072055255
HLA-C	EAS	cds_changing	11	2874	0.3827418232428671
HLA-C	EAS	noncoding_only	252	2874	8.768267223382045
HLA-C	EAS	flagged_artifact	110	2874	3.8274182324286707
HLA-C	EUR	cds_changing	24	5922	0.40526849037487334
HLA-C	EUR	noncoding_only	345	5922	5.825734549138804
HLA-C	EUR	flagged_artifact	195	5922	3.292806484295846
HLA-C	MID	cds_changing	1	953	0.1049317943336831
HLA-C	MID	noncoding_only	65	953	6.820566631689402
HLA-C	MID	flagged_artifact	30	953	3.147953830010493
HLA-C	SAS	cds_changing	5	2442	0.20475020475020475
HLA-C	SAS	noncoding_only	194	2442	7.944307944307944
HLA-C	SAS	flagged_artifact	83	2442	3.3988533988533987
HLA-DPA1	AFR	cds_changing	14	6021	0.2325195150307258
HLA-DPA1	AFR	noncoding_only	724	6021	12.024580634446105
HLA-DPA1	AFR	flagged_artifact	120	6021	1.9930244145490783
HLA-DPA1	AMR	cds_changing	7	5351	0.1308166697813493
HLA-DPA1	AMR	noncoding_only	629	5351	11.754812184638386
HLA-DPA1	AMR	flagged_artifact	84	5351	1.5698000373761913
HLA-DPA1	EAS	cds_changing	4	2898	0.13802622498274672
HLA-DPA1	EAS	noncoding_only	409	2898	14.113181504485853
HLA-DPA1	EAS	flagged_artifact	38	2898	1.311249137336094
HLA-DPA1	EUR	cds_changing	9	5944	0.15141318977119786
HLA-DPA1	EUR	noncoding_only	501	5944	8.428667563930013
HLA-DPA1	EUR	flagged_artifact	105	5944	1.7664872139973082
HLA-DPA1	MID	cds_changing	3	970	0.30927835051546393
HLA-DPA1	MID	noncoding_only	105	970	10.824742268041238
HLA-DPA1	MID	flagged_artifact	16	970	1.6494845360824741
HLA-DPA1	SAS	cds_changing	3	2447	0.12259910093992644
HLA-DPA1	SAS	noncoding_only	323	2447	13.19983653453208
HLA-DPA1	SAS	flagged_artifact	43	2447	1.7572537801389456
HLA-DPB1	AFR	cds_changing	14	5973	0.23438807969194708
HLA-DPB1	AFR	noncoding_only	1498	5973	25.079524527038338
HLA-DPB1	AFR	flagged_artifact	176	5973	2.9465930018416207
HLA-DPB1	AMR	cds_changing	9	5308	0.16955538809344387
HLA-DPB1	AMR	noncoding_only	831	5308	15.65561416729465
HLA-DPB1	AMR	flagged_artifact	147	5308	2.769404672192916
HLA-DPB1	EAS	cds_changing	10	2870	0.34843205574912894
HLA-DPB1	EAS	noncoding_only	755	2870	26.306620209059233
HLA-DPB1	EAS	flagged_artifact	75	2870	2.6132404181184667
HLA-DPB1	EUR	cds_changing	5	5894	0.08483203257550051
HLA-DPB1	EUR	noncoding_only	691	5894	11.72378690193417
HLA-DPB1	EUR	flagged_artifact	151	5894	2.5619273837801155
HLA-DPB1	MID	cds_changing	2	958	0.20876826722338204
HLA-DPB1	MID	noncoding_only	183	958	19.102296450939455
HLA-DPB1	MID	flagged_artifact	26	958	2.7139874739039667
HLA-DPB1	SAS	cds_changing	5	2425	0.20618556701030927
HLA-DPB1	SAS	noncoding_only	520	2425	21.443298969072163
HLA-DPB1	SAS	flagged_artifact	52	2425	2.1443298969072164
HLA-DQA1	AFR	cds_changing	16	5965	0.26823134953897737
HLA-DQA1	AFR	noncoding_only	959	5965	16.077116512992458
HLA-DQA1	AFR	flagged_artifact	131	5965	2.196144174350377
HLA-DQA1	AMR	cds_changing	13	5340	0.24344569288389514
HLA-DQA1	AMR	noncoding_only	632	5340	11.835205992509364
HLA-DQA1	AMR	flagged_artifact	82	5340	1.5355805243445693
HLA-DQA1	EAS	cds_changing	6	2892	0.2074688796680498
HLA-DQA1	EAS	noncoding_only	504	2892	17.42738589211618
HLA-DQA1	EAS	flagged_artifact	39	2892	1.3485477178423237
HLA-DQA1	EUR	cds_changing	11	5893	0.18666214152384183
HLA-DQA1	EUR	noncoding_only	774	5893	13.134227049041236
HLA-DQA1	EUR	flagged_artifact	94	5893	1.5951128457491939
HLA-DQA1	MID	cds_changing	2	954	0.20964360587002095
HLA-DQA1	MID	noncoding_only	160	954	16.771488469601678
HLA-DQA1	MID	flagged_artifact	13	954	1.3626834381551363
HLA-DQA1	SAS	cds_changing	7	2453	0.28536485935589073
HLA-DQA1	SAS	noncoding_only	474	2453	19.323277619241743
HLA-DQA1	SAS	flagged_artifact	36	2453	1.4675907052588666
HLA-DQB1	AFR	cds_changing	20	5938	0.33681374200067365
HLA-DQB1	AFR	noncoding_only	662	5938	11.148534860222297
HLA-DQB1	AFR	flagged_artifact	186	5938	3.1323678006062647
HLA-DQB1	AMR	cds_changing	14	5319	0.26320736980635456
HLA-DQB1	AMR	noncoding_only	465	5319	8.74224478285392
HLA-DQB1	AMR	flagged_artifact	139	5319	2.6132731716488062
HLA-DQB1	EAS	cds_changing	5	2884	0.17337031900138697
HLA-DQB1	EAS	noncoding_only	295	2884	10.228848821081831
HLA-DQB1	EAS	flagged_artifact	62	2884	2.1497919556171983
HLA-DQB1	EUR	cds_changing	5	5891	0.08487523340689188
HLA-DQB1	EUR	noncoding_only	482	5891	8.181972500424376
HLA-DQB1	EUR	flagged_artifact	149	5891	2.5292819555253776
HLA-DQB1	MID	cds_changing	1	956	0.10460251046025104
HLA-DQB1	MID	noncoding_only	96	956	10.0418410041841
HLA-DQB1	MID	flagged_artifact	18	956	1.8828451882845187
HLA-DQB1	SAS	cds_changing	5	2448	0.2042483660130719
HLA-DQB1	SAS	noncoding_only	212	2448	8.660130718954248
HLA-DQB1	SAS	flagged_artifact	49	2448	2.0016339869281046
HLA-DRB1	AFR	cds_changing	10	5903	0.1694053870913095
HLA-DRB1	AFR	noncoding_only	3910	5903	66.23750635270201
HLA-DRB1	AFR	flagged_artifact	150	5903	2.5410808063696426
HLA-DRB1	AMR	cds_changing	8	5243	0.15258439824527942
HLA-DRB1	AMR	noncoding_only	3122	5243	59.546061415220294
HLA-DRB1	AMR	flagged_artifact	122	5243	2.326912073240511
HLA-DRB1	EAS	cds_changing	4	2855	0.14010507880910683
HLA-DRB1	EAS	noncoding_only	2031	2855	71.138353765324
HLA-DRB1	EAS	flagged_artifact	77	2855	2.6970227670753064
HLA-DRB1	EUR	cds_changing	10	5832	0.17146776406035666
HLA-DRB1	EUR	noncoding_only	2948	5832	50.54869684499314
HLA-DRB1	EUR	flagged_artifact	153	5832	2.623456790123457
HLA-DRB1	MID	cds_changing	4	939	0.42598509052183176
HLA-DRB1	MID	noncoding_only	597	939	63.57827476038339
HLA-DRB1	MID	flagged_artifact	22	939	2.3429179978700745
HLA-DRB1	SAS	cds_changing	3	2416	0.12417218543046357
HLA-DRB1	SAS	noncoding_only	1634	2416	67.63245033112582
HLA-DRB1	SAS	flagged_artifact	52	2416	2.152317880794702
