gene	series	occurrence_bin	n_alleles	alleles_per_k
HLA-A	known	1	122	122.0
HLA-A	known	2	30	30.0
HLA-A	known	3-4	36	18.0
HLA-A	known	5-8	26	6.5
HLA-A	known	9-16	20	2.5
HLA-A	known	17-32	11	0.6875
HLA-A	known	33-64	7	0.21875
HLA-A	known	65-128	11	0.171875
HLA-A	known	129-256	13	0.1015625
HLA-A	known	257-512	9	0.03515625
HLA-A	known	513-1024	7	0.013671875
HLA-A	known	>1024	5	0.0048828125
HLA-A	cds_changing	1	57	57.0
HLA-A	cds_changing	2	0	0.0
HLA-A	cds_changing	3-4	0	0.0
HLA-A	cds_changing	5-8	0	0.0
HLA-A	cds_changing	9-16	0	0.0
HLA-A	cds_changing	17-32	0	0.0
HLA-A	cds_changing	33-64	0	0.0
HLA-A	cds_changing	65-128	0	0.0
HLA-A	cds_changing	129-256	0	0.0
HLA-A	cds_changing	257-512	0	0.0
HLA-A	cds_changing	513-1024	0	0.0
HLA-A	cds_changing	>1024	0	0.0
HLA-A	noncoding_only	1	26	26.0
HLA-A	noncoding_only	2	8	8.0
HLA-A	noncoding_only	3-4	6	3.0
HLA-A	noncoding_only	5-8	9	2.25
HLA-A	noncoding_only	9-16	5	0.625
HLA-A	noncoding_only	17-32	10	0.625
HLA-A	noncoding_only	33-64	4	0.125
HLA-A	noncoding_only	65-128	2	0.03125
HLA-A	noncoding_only	129-256	0	0.0
HLA-A	noncoding_only	257-512	0	0.0
HLA-A	noncoding_only	513-1024	0	0.0
HLA-A	noncoding_only	>1024	0	0.0
HLA-A	flagged_artifact	1	571	571.0
HLA-A	flagged_artifact	2	11	11.0
HLA-A	flagged_artifact	3-4	7	3.5
HLA-A	flagged_artifact	5-8	5	1.25
HLA-A	flagged_artifact	9-16	1	0.125
HLA-A	flagged_artifact	17-32	0	0.0
HLA-A	flagged_artifact	33-64	0	0.0
HLA-A	flagged_artifact	65-128	0	0.0
HLA-A	flagged_artifact	129-256	0	0.0
HLA-A	flagged_artifact	257-512	0	0.0
HLA-A	flagged_artifact	513-1024	0	0.0
HLA-A	flagged_artifact	>1024	0	0.0
HLA-B	known	1	166	166.0
HLA-B	known	2	61	61.0
HLA-B	known	3-4	58	29.0
HLA-B	known	5-8	41	10.25
HLA-B	known	9-16	40	5.0
HLA-B	known	17-32	35	2.1875
HLA-B	known	33-64	29	0.90625
HLA-B	known	65-128	25	0.390625
HLA-B	known	129-256	25	0.1953125
HLA-B	known	257-512	16	0.0625
HLA-B	known	513-1024	5	0.009765625
HLA-B	known	>1024	1	0.0009765625
HLA-B	cds_changing	1	85	85.0
HLA-B	cds_changing	2	3	3.0
HLA-B	cds_changing	3-4	0	0.0
HLA-B	cds_changing	5-8	0	0.0
HLA-B	cds_changing	9-16	0	0.0
HLA-B	cds_changing	17-32	0	0.0
HLA-B	cds_changing	33-64	0	0.0
HLA-B	cds_changing	65-128	0	0.0
