gene	gene_class	ancestry_scheme	ancestry	unrelated_only	field_class	artifact_label	n_haplotypes
C4A	complement	pred	AFR	False	uncalled	clean	5176
C4A	complement	pred	AFR	True	uncalled	clean	5020
C4A	complement	pred	AMR	False	uncalled	clean	4593
C4A	complement	pred	AMR	True	uncalled	clean	4398
C4A	complement	pred	EAS	False	uncalled	clean	2511
C4A	complement	pred	EAS	True	uncalled	clean	2452
C4A	complement	pred	EUR	False	uncalled	clean	4838
C4A	complement	pred	EUR	True	uncalled	clean	4679
C4A	complement	pred	MID	False	uncalled	clean	836
C4A	complement	pred	MID	True	uncalled	clean	823
C4A	complement	pred	POOLED	False	uncalled	clean	20174
C4A	complement	pred	POOLED	True	uncalled	clean	19555
C4A	complement	pred	SAS	False	uncalled	clean	2183
C4A	complement	pred	SAS	True	uncalled	clean	2146
C4A	complement	pred	UNASSIGNED	False	uncalled	clean	37
C4A	complement	pred	UNASSIGNED	True	uncalled	clean	37
C4A	complement	strict	AFR	False	uncalled	clean	4010
C4A	complement	strict	AFR	True	uncalled	clean	3871
C4A	complement	strict	AMR	False	uncalled	clean	2813
C4A	complement	strict	AMR	True	uncalled	clean	2655
C4A	complement	strict	EAS	False	uncalled	clean	2200
C4A	complement	strict	EAS	True	uncalled	clean	2143
C4A	complement	strict	EUR	False	uncalled	clean	2096
C4A	complement	strict	EUR	True	uncalled	clean	1973
C4A	complement	strict	MID	False	uncalled	clean	523
C4A	complement	strict	MID	True	uncalled	clean	512
C4A	complement	strict	POOLED	False	uncalled	clean	20174
C4A	complement	strict	POOLED	True	uncalled	clean	19555
C4A	complement	strict	SAS	False	uncalled	clean	2036
C4A	complement	strict	SAS	True	uncalled	clean	2007
C4A	complement	strict	UNASSIGNED	False	uncalled	clean	6496
C4A	complement	strict	UNASSIGNED	True	uncalled	clean	6394
C4B	complement	pred	AFR	False	uncalled	clean	4300
C4B	complement	pred	AFR	True	uncalled	clean	4179
C4B	complement	pred	AMR	False	uncalled	clean	4119
C4B	complement	pred	AMR	True	uncalled	clean	3922
C4B	complement	pred	EAS	False	uncalled	clean	2210
C4B	complement	pred	EAS	True	uncalled	clean	2160
C4B	complement	pred	EUR	False	uncalled	clean	4509
C4B	complement	pred	EUR	True	uncalled	clean	4349
C4B	complement	pred	MID	False	uncalled	clean	746
C4B	complement	pred	MID	True	uncalled	clean	731
