gene	gene_class	field_class	seq_class	artifact_label	n_haplotypes
HLA-A	classical_I	f2_protein	cds_known	homopolymer_indel	<20
HLA-A	classical_I	f2_protein	frameshift_or_stop	clean	22
HLA-A	classical_I	f2_protein	frameshift_or_stop	homopolymer_indel	501
HLA-A	classical_I	f2_protein	frameshift_or_stop	partial_cds	71
HLA-A	classical_I	f2_protein	novel_protein	clean	24
HLA-A	classical_I	f2_protein	novel_protein	homopolymer_indel	<20
HLA-A	classical_I	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-B	classical_I	f2_protein	frameshift_or_stop	clean	36
HLA-B	classical_I	f2_protein	frameshift_or_stop	homopolymer_indel	578
HLA-B	classical_I	f2_protein	frameshift_or_stop	partial_cds	65
HLA-B	classical_I	f2_protein	novel_protein	clean	43
HLA-B	classical_I	f2_protein	novel_protein	homopolymer_indel	<20
HLA-B	classical_I	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-C	classical_I	f2_protein	cds_known	clean	<20
HLA-C	classical_I	f2_protein	cds_known	homopolymer_indel	<20
HLA-C	classical_I	f2_protein	cds_known	partial_cds	<20
HLA-C	classical_I	f2_protein	frameshift_or_stop	clean	38
HLA-C	classical_I	f2_protein	frameshift_or_stop	homopolymer_indel	643
HLA-C	classical_I	f2_protein	frameshift_or_stop	partial_cds	87
HLA-C	classical_I	f2_protein	novel_protein	clean	30
HLA-C	classical_I	f2_protein	novel_protein	homopolymer_indel	21
HLA-C	classical_I	f3_synonymous	frameshift_or_stop	partial_cds	<20
HLA-C	classical_I	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-C	classical_I	f3_synonymous	novel_protein	clean	<20
HLA-DMA	class_II_accessory	f2_protein	frameshift_or_stop	clean	<20
HLA-DMA	class_II_accessory	f2_protein	frameshift_or_stop	homopolymer_indel	337
HLA-DMA	class_II_accessory	f2_protein	frameshift_or_stop	partial_cds	34
HLA-DMA	class_II_accessory	f2_protein	novel_protein	clean	92
HLA-DMA	class_II_accessory	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DMA	class_II_accessory	f3_synonymous	novel_cds_synonymous	clean	103
HLA-DMB	class_II_accessory	f2_protein	frameshift_or_stop	clean	<20
HLA-DMB	class_II_accessory	f2_protein	frameshift_or_stop	homopolymer_indel	326
HLA-DMB	class_II_accessory	f2_protein	frameshift_or_stop	partial_cds	33
HLA-DMB	class_II_accessory	f2_protein	novel_protein	clean	108
HLA-DMB	class_II_accessory	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DMB	class_II_accessory	f3_synonymous	novel_cds_synonymous	clean	35
HLA-DOA	class_II_accessory	f2_protein	cds_known	homopolymer_indel	<20
HLA-DOA	class_II_accessory	f2_protein	frameshift_or_stop	clean	<20
HLA-DOA	class_II_accessory	f2_protein	frameshift_or_stop	homopolymer_indel	417
HLA-DOA	class_II_accessory	f2_protein	frameshift_or_stop	partial_cds	39
HLA-DOA	class_II_accessory	f2_protein	novel_protein	clean	59
HLA-DOA	class_II_accessory	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DOA	class_II_accessory	f2_protein	protein_known	clean	58
HLA-DOA	class_II_accessory	f3_synonymous	novel_cds_synonymous	clean	36
HLA-DOB	class_II_accessory	f2_protein	frameshift_or_stop	clean	<20
HLA-DOB	class_II_accessory	f2_protein	frameshift_or_stop	homopolymer_indel	227
HLA-DOB	class_II_accessory	f2_protein	frameshift_or_stop	partial_cds	22
HLA-DOB	class_II_accessory	f2_protein	novel_protein	clean	54
HLA-DOB	class_II_accessory	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DOB	class_II_accessory	f2_protein	protein_known	clean	<20
HLA-DOB	class_II_accessory	f3_synonymous	novel_cds_synonymous	clean	25
HLA-DPA1	classical_II	f2_protein	cds_known	homopolymer_indel	<20
HLA-DPA1	classical_II	f2_protein	frameshift_or_stop	clean	<20
HLA-DPA1	classical_II	f2_protein	frameshift_or_stop	homopolymer_indel	338
HLA-DPA1	classical_II	f2_protein	frameshift_or_stop	partial_cds	43
HLA-DPA1	classical_II	f2_protein	novel_protein	clean	<20
HLA-DPA1	classical_II	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DPA1	classical_II	f2_protein	protein_known	clean	<20
HLA-DPA1	classical_II	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DPA2	class_II_paralog	f2_protein	frameshift_or_stop	clean	83
HLA-DPA2	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	152
HLA-DPA2	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	8787
HLA-DPA2	class_II_paralog	f3_synonymous	frameshift_or_stop	partial_cds	696
HLA-DPB1	classical_II	f2_protein	cds_known	homopolymer_indel	<20
HLA-DPB1	classical_II	f2_protein	frameshift_or_stop	clean	<20
HLA-DPB1	classical_II	f2_protein	frameshift_or_stop	homopolymer_indel	478
HLA-DPB1	classical_II	f2_protein	frameshift_or_stop	partial_cds	41
HLA-DPB1	classical_II	f2_protein	novel_protein	clean	23
HLA-DPB1	classical_II	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DPB1	classical_II	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DPB2	class_II_paralog	f2_protein	frameshift_or_stop	clean	35
HLA-DPB2	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	400
HLA-DPB2	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	3722
HLA-DPB2	class_II_paralog	f2_protein	novel_protein	clean	<20
HLA-DPB2	class_II_paralog	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DPB2	class_II_paralog	f3_synonymous	frameshift_or_stop	partial_cds	264
HLA-DQA1	classical_II	f2_protein	cds_known	homopolymer_indel	<20
HLA-DQA1	classical_II	f2_protein	frameshift_or_stop	clean	<20
HLA-DQA1	classical_II	f2_protein	frameshift_or_stop	homopolymer_indel	288
HLA-DQA1	classical_II	f2_protein	frameshift_or_stop	partial_cds	39
HLA-DQA1	classical_II	f2_protein	novel_protein	clean	30
HLA-DQA1	classical_II	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DQA1	classical_II	f2_protein	protein_known	clean	<20
HLA-DQA1	classical_II	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DQA2	class_II_paralog	f2_protein	frameshift_or_stop	clean	<20
HLA-DQA2	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	248
HLA-DQA2	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	34
HLA-DQA2	class_II_paralog	f2_protein	novel_protein	clean	100
HLA-DQA2	class_II_paralog	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DQA2	class_II_paralog	f2_protein	protein_known	clean	<20
HLA-DQA2	class_II_paralog	f3_synonymous	novel_cds_synonymous	clean	29
HLA-DQB1	classical_II	f2_protein	cds_known	homopolymer_indel	<20
HLA-DQB1	classical_II	f2_protein	frameshift_or_stop	clean	<20
HLA-DQB1	classical_II	f2_protein	frameshift_or_stop	homopolymer_indel	424
HLA-DQB1	classical_II	f2_protein	frameshift_or_stop	partial_cds	34
HLA-DQB1	classical_II	f2_protein	novel_protein	clean	<20
HLA-DQB1	classical_II	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DQB1	classical_II	f2_protein	protein_known	clean	<20
HLA-DQB1	classical_II	f3_synonymous	frameshift_or_stop	partial_cds	<20
HLA-DQB1	classical_II	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DQB2	class_II_paralog	f2_protein	cds_known	clean	368
HLA-DQB2	class_II_paralog	f2_protein	frameshift_or_stop	clean	<20
HLA-DQB2	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	278
HLA-DQB2	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	43
HLA-DQB2	class_II_paralog	f2_protein	novel_protein	clean	302
HLA-DQB2	class_II_paralog	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DQB2	class_II_paralog	f2_protein	protein_known	clean	64
HLA-DQB2	class_II_paralog	f3_synonymous	novel_cds_synonymous	clean	43
HLA-DRA	class_II_accessory	f2_protein	frameshift_or_stop	clean	<20
HLA-DRA	class_II_accessory	f2_protein	frameshift_or_stop	homopolymer_indel	416
HLA-DRA	class_II_accessory	f2_protein	frameshift_or_stop	partial_cds	47
HLA-DRA	class_II_accessory	f2_protein	novel_protein	clean	49
HLA-DRA	class_II_accessory	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DRA	class_II_accessory	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DRB1	classical_II	f2_protein	frameshift_or_stop	clean	<20
HLA-DRB1	classical_II	f2_protein	frameshift_or_stop	homopolymer_indel	413
HLA-DRB1	classical_II	f2_protein	frameshift_or_stop	partial_cds	32
HLA-DRB1	classical_II	f2_protein	novel_protein	clean	24
HLA-DRB1	classical_II	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DRB1	classical_II	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DRB3	class_II_paralog	f2_protein	frameshift_or_stop	clean	<20
HLA-DRB3	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	135
HLA-DRB3	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	<20
HLA-DRB3	class_II_paralog	f2_protein	novel_protein	clean	<20
HLA-DRB3	class_II_paralog	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DRB3	class_II_paralog	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DRB4	class_II_paralog	f2_protein	frameshift_or_stop	clean	<20
HLA-DRB4	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	56
HLA-DRB4	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	<20
HLA-DRB4	class_II_paralog	f2_protein	novel_protein	clean	<20
HLA-DRB4	class_II_paralog	f2_protein	novel_protein	homopolymer_indel	<20
HLA-DRB4	class_II_paralog	f3_synonymous	frameshift_or_stop	partial_cds	<20
HLA-DRB4	class_II_paralog	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-DRB5	class_II_paralog	f2_protein	frameshift_or_stop	clean	<20
HLA-DRB5	class_II_paralog	f2_protein	frameshift_or_stop	homopolymer_indel	55
HLA-DRB5	class_II_paralog	f2_protein	frameshift_or_stop	partial_cds	<20
HLA-DRB5	class_II_paralog	f2_protein	novel_protein	clean	<20
HLA-DRB5	class_II_paralog	f2_protein	novel_protein	homopolymer_indel	<20
HLA-E	nonclassical_I	f2_protein	frameshift_or_stop	clean	25
HLA-E	nonclassical_I	f2_protein	frameshift_or_stop	homopolymer_indel	574
HLA-E	nonclassical_I	f2_protein	frameshift_or_stop	partial_cds	75
HLA-E	nonclassical_I	f2_protein	novel_protein	clean	46
HLA-E	nonclassical_I	f2_protein	novel_protein	homopolymer_indel	<20
HLA-E	nonclassical_I	f2_protein	protein_known	clean	<20
HLA-E	nonclassical_I	f3_synonymous	frameshift_or_stop	partial_cds	<20
HLA-E	nonclassical_I	f3_synonymous	novel_cds_synonymous	clean	<20
HLA-F	nonclassical_I	f2_protein	cds_known	clean	<20
HLA-F	nonclassical_I	f2_protein	frameshift_or_stop	clean	42
HLA-F	nonclassical_I	f2_protein	frameshift_or_stop	homopolymer_indel	556
HLA-F	nonclassical_I	f2_protein	frameshift_or_stop	partial_cds	82
HLA-F	nonclassical_I	f2_protein	novel_protein	clean	122
HLA-F	nonclassical_I	f2_protein	novel_protein	homopolymer_indel	<20
HLA-F	nonclassical_I	f2_protein	protein_known	clean	<20
HLA-F	nonclassical_I	f3_synonymous	novel_cds_synonymous	clean	24
HLA-G	nonclassical_I	f2_protein	cds_known	homopolymer_indel	20
HLA-G	nonclassical_I	f2_protein	frameshift_or_stop	clean	23
HLA-G	nonclassical_I	f2_protein	frameshift_or_stop	homopolymer_indel	460
HLA-G	nonclassical_I	f2_protein	frameshift_or_stop	partial_cds	75
HLA-G	nonclassical_I	f2_protein	novel_protein	clean	71
HLA-G	nonclassical_I	f2_protein	novel_protein	homopolymer_indel	22
HLA-G	nonclassical_I	f2_protein	protein_known	clean	<20
HLA-G	nonclassical_I	f3_synonymous	novel_cds_synonymous	clean	128
HLA-H	pseudogene_I	f2_protein	frameshift_or_stop	clean	34
HLA-H	pseudogene_I	f2_protein	frameshift_or_stop	homopolymer_indel	489
HLA-H	pseudogene_I	f2_protein	frameshift_or_stop	partial_cds	165
HLA-H	pseudogene_I	f3_synonymous	frameshift_or_stop	clean	<20
HLA-H	pseudogene_I	f3_synonymous	frameshift_or_stop	partial_cds	<20
HLA-HFE	other	f2_protein	frameshift_or_stop	homopolymer_indel	<20
HLA-HFE	other	f2_protein	frameshift_or_stop	partial_cds	<20
HLA-HFE	other	f2_protein	novel_protein	clean	35
HLA-HFE	other	f3_synonymous	cds_known	clean	2195
HLA-HFE	other	f3_synonymous	novel_cds_synonymous	clean	21
HLA-J	pseudogene_I	f2_protein	frameshift_or_stop	clean	224
HLA-J	pseudogene_I	f2_protein	frameshift_or_stop	homopolymer_indel	582
HLA-J	pseudogene_I	f2_protein	frameshift_or_stop	partial_cds	104
HLA-J	pseudogene_I	f3_synonymous	frameshift_or_stop	clean	60
