gene	ancestry_scheme	ancestry	unrelated_only	n_haplotypes	n_persons	n_homopolymer_only	n_indel_nonhomopolymer	n_snv_plus_indel	n_snv_only	n_no_difference	frac_homopolymer_only
HLA-A	pred	POOLED	False	743	714	253	261	36	107	86	0.3405114401076716
HLA-A	pred	AFR	False	206	198	78	66	<20	24	21	0.3786407766990291
HLA-A	pred	AMR	False	162	154	55	64	<20	<20	21	0.3395061728395062
HLA-A	pred	EAS	False	90	88	25	34	<20	<20	<20	0.2777777777777778
HLA-A	pred	EUR	False	192	185	65	66	<20	27	26	0.3385416666666667
HLA-A	pred	MID	False	25	24	<20	<20	<20	<20	<20	0.16
HLA-A	pred	SAS	False	68	65	26	22	<20	<20	<20	0.38235294117647056
HLA-B	pred	POOLED	False	2309	2170	499	277	119	941	473	0.21611087050671288
HLA-B	pred	AFR	False	661	613	112	87	22	278	162	0.16944024205748864
HLA-B	pred	AMR	False	557	534	112	62	39	236	108	0.20107719928186715
HLA-B	pred	EAS	False	286	270	81	35	<20	111	46	0.28321678321678323
HLA-B	pred	EUR	False	460	433	129	56	27	135	113	0.28043478260869564
HLA-B	pred	MID	False	92	83	<20	<20	<20	46	<20	0.1956521739130435
HLA-B	pred	SAS	False	252	236	47	27	<20	135	31	0.1865079365079365
HLA-C	pred	POOLED	False	1679	1596	390	365	126	495	303	0.23228111971411555
HLA-C	pred	AFR	False	496	477	103	101	27	150	115	0.20766129032258066
HLA-C	pred	AMR	False	340	324	99	82	29	81	49	0.2911764705882353
HLA-C	pred	EAS	False	248	234	35	45	<20	99	51	0.14112903225806453
HLA-C	pred	EUR	False	336	317	104	98	26	74	34	0.30952380952380953
HLA-C	pred	MID	False	65	63	<20	<20	<20	23	<20	0.26153846153846155
HLA-C	pred	SAS	False	190	177	31	30	<20	68	46	0.1631578947368421
HLA-DPA1	pred	POOLED	False	2679	2493	374	376	217	1542	170	0.13960432997387084
HLA-DPA1	pred	AFR	False	719	669	95	101	51	429	43	0.13212795549374132
HLA-DPA1	pred	AMR	False	623	578	87	88	49	358	41	0.13964686998394862
HLA-DPA1	pred	EAS	False	406	376	34	52	30	281	<20	0.08374384236453201
HLA-DPA1	pred	EUR	False	501	465	105	85	52	203	56	0.20958083832335328
HLA-DPA1	pred	MID	False	103	100	<20	<20	<20	58	<20	0.14563106796116504
HLA-DPA1	pred	SAS	False	320	298	37	37	22	209	<20	0.115625
HLA-DPB1	pred	POOLED	False	4460	3911	766	1193	622	1866	<20	0.1717488789237668
HLA-DPB1	pred	AFR	False	1495	1303	227	319	251	696	<20	0.15183946488294314
HLA-DPB1	pred	AMR	False	824	737	165	216	127	311	<20	0.20024271844660194
HLA-DPB1	pred	EAS	False	752	640	71	160	91	427	<20	0.09441489361702128
HLA-DPB1	pred	EUR	False	681	618	188	233	78	179	<20	0.27606461086637296
HLA-DPB1	pred	MID	False	183	156	42	52	29	60	0	0.22950819672131148
HLA-DPB1	pred	SAS	False	516	449	71	213	46	186	0	0.1375968992248062
HLA-DQA1	pred	POOLED	False	3491	3148	1357	819	302	990	23	0.3887138355771985
HLA-DQA1	pred	AFR	False	954	860	306	253	102	276	<20	0.32075471698113206
HLA-DQA1	pred	AMR	False	626	582	228	205	64	126	<20	0.36421725239616615
HLA-DQA1	pred	EAS	False	502	440	291	64	31	116	0	0.5796812749003984
HLA-DQA1	pred	EUR	False	771	689	344	199	59	168	<20	0.4461738002594034
HLA-DQA1	pred	MID	False	160	141	60	31	<20	57	<20	0.375
HLA-DQA1	pred	SAS	False	472	430	126	66	35	244	<20	0.2669491525423729
HLA-DQB1	pred	POOLED	False	2253	2094	855	598	215	575	<20	0.3794940079893475
HLA-DQB1	pred	AFR	False	673	630	225	205	67	174	<20	0.3343239227340267
HLA-DQB1	pred	AMR	False	473	435	174	133	59	102	<20	0.3678646934460888
HLA-DQB1	pred	EAS	False	300	281	87	51	24	136	<20	0.29
HLA-DQB1	pred	EUR	False	492	452	229	136	40	86	<20	0.4654471544715447
HLA-DQB1	pred	MID	False	97	88	36	25	<20	29	0	0.3711340206185567
HLA-DQB1	pred	SAS	False	216	206	104	47	<20	47	0	0.48148148148148145
HLA-DRB1	pred	POOLED	False	14272	9938	2284	6361	3411	2215	<20	0.16003363228699552
HLA-DRB1	pred	AFR	False	3913	2656	611	1420	1088	794	0	0.15614617940199335
HLA-DRB1	pred	AMR	False	3123	2229	454	1441	778	450	0	0.14537303874479668
HLA-DRB1	pred	EAS	False	2033	1326	571	702	539	220	<20	0.2808657156910969
HLA-DRB1	pred	EUR	False	2947	2200	350	1755	527	315	0	0.1187648456057007
HLA-DRB1	pred	MID	False	597	411	65	316	138	78	0	0.10887772194304858
HLA-DRB1	pred	SAS	False	1633	1096	231	715	333	354	0	0.14145744029393753
ALL	pred	POOLED	False	31886	11490	6778	10250	5048	8731	1079	0.21256977984068243
ALL	pred	AFR	False	9117	2993	1757	2552	1625	2821	362	0.19271690248985412
ALL	pred	AMR	False	6728	2585	1374	2291	1148	1683	232	0.20422116527942924
ALL	pred	EAS	False	4617	1453	1195	1143	749	1405	125	0.25882607753952785
ALL	pred	EUR	False	6380	2747	1514	2628	817	1187	234	0.2373040752351097
ALL	pred	MID	False	1322	474	257	464	215	358	28	0.19440242057488655
ALL	pred	SAS	False	3667	1216	673	1157	483	1258	96	0.18352877011180802
HLA-A	pred	POOLED	True	724	696	246	259	35	103	81	0.3397790055248619
HLA-A	pred	AFR	True	203	196	76	66	<20	24	20	0.37438423645320196
HLA-A	pred	AMR	True	154	146	53	62	<20	<20	<20	0.34415584415584416
HLA-A	pred	EAS	True	89	87	25	34	<20	<20	<20	0.2808988764044944
HLA-A	pred	EUR	True	186	179	63	66	<20	26	24	0.3387096774193548
HLA-A	pred	MID	True	25	24	<20	<20	<20	<20	<20	0.16
HLA-A	pred	SAS	True	67	64	25	22	<20	<20	<20	0.373134328358209
HLA-B	pred	POOLED	True	2242	2110	484	271	117	917	453	0.215878679750223
HLA-B	pred	AFR	True	652	606	109	86	22	276	159	0.16717791411042945
HLA-B	pred	AMR	True	532	510	106	61	39	224	102	0.19924812030075187
HLA-B	pred	EAS	True	275	260	80	34	<20	105	44	0.2909090909090909
HLA-B	pred	EUR	True	444	419	126	54	26	134	104	0.28378378378378377
HLA-B	pred	MID	True	90	82	<20	<20	<20	45	<20	0.18888888888888888
HLA-B	pred	SAS	True	248	232	46	26	<20	133	31	0.18548387096774194
HLA-C	pred	POOLED	True	1621	1541	376	349	122	482	292	0.23195558297347316
HLA-C	pred	AFR	True	483	464	101	97	27	147	111	0.20910973084886128
HLA-C	pred	AMR	True	324	308	93	76	26	80	49	0.28703703703703703
HLA-C	pred	EAS	True	236	224	34	43	<20	96	45	0.1440677966101695
HLA-C	pred	EUR	True	324	305	99	95	26	70	34	0.3055555555555556
HLA-C	pred	MID	True	62	61	<20	<20	<20	21	<20	0.27419354838709675
HLA-C	pred	SAS	True	188	175	31	30	<20	68	45	0.16489361702127658
HLA-DPA1	pred	POOLED	True	2595	2413	367	365	211	1488	164	0.14142581888246628
HLA-DPA1	pred	AFR	True	703	653	95	100	50	416	42	0.13513513513513514
HLA-DPA1	pred	AMR	True	593	551	85	85	47	338	38	0.1433389544688027
HLA-DPA1	pred	EAS	True	393	364	32	50	30	272	<20	0.08142493638676845
HLA-DPA1	pred	EUR	True	482	446	102	81	49	196	54	0.21161825726141079
HLA-DPA1	pred	MID	True	101	98	<20	<20	<20	56	<20	0.1485148514851485
HLA-DPA1	pred	SAS	True	316	294	37	36	22	206	<20	0.11708860759493671
HLA-DPB1	pred	POOLED	True	4353	3812	747	1173	607	1814	<20	0.17160578911095797
HLA-DPB1	pred	AFR	True	1465	1276	221	314	245	684	<20	0.15085324232081912
HLA-DPB1	pred	AMR	True	792	707	160	212	122	293	<20	0.20202020202020202
HLA-DPB1	pred	EAS	True	736	626	71	157	91	414	<20	0.09646739130434782
HLA-DPB1	pred	EUR	True	663	601	182	229	76	173	<20	0.27450980392156865
HLA-DPB1	pred	MID	True	179	152	42	50	28	59	0	0.2346368715083799
HLA-DPB1	pred	SAS	True	509	442	69	211	45	184	0	0.13555992141453832
HLA-DQA1	pred	POOLED	True	3387	3054	1320	785	295	965	22	0.38972542072630645
HLA-DQA1	pred	AFR	True	926	837	298	243	98	270	<20	0.32181425485961124
HLA-DQA1	pred	AMR	True	601	559	220	195	63	120	<20	0.36605657237936773
HLA-DQA1	pred	EAS	True	490	428	282	63	31	114	0	0.5755102040816327
HLA-DQA1	pred	EUR	True	742	662	333	190	58	160	<20	0.44878706199460916
HLA-DQA1	pred	MID	True	159	140	60	31	<20	57	0	0.37735849056603776
HLA-DQA1	pred	SAS	True	463	422	125	62	34	241	<20	0.26997840172786175
HLA-DQB1	pred	POOLED	True	2192	2039	828	577	212	565	<20	0.3777372262773723
HLA-DQB1	pred	AFR	True	657	615	219	200	66	170	<20	0.3333333333333333
HLA-DQB1	pred	AMR	True	453	416	167	124	57	100	<20	0.3686534216335541
HLA-DQB1	pred	EAS	True	294	276	85	50	24	133	<20	0.2891156462585034
HLA-DQB1	pred	EUR	True	479	441	222	130	40	86	<20	0.46346555323590816
HLA-DQB1	pred	MID	True	95	87	35	25	<20	28	0	0.3684210526315789
HLA-DQB1	pred	SAS	True	212	202	100	47	<20	47	0	0.4716981132075472
HLA-DRB1	pred	POOLED	True	13848	9649	2200	6201	3297	2149	<20	0.1588677065280185
HLA-DRB1	pred	AFR	True	3797	2582	594	1378	1051	774	0	0.1564392941796155
HLA-DRB1	pred	AMR	True	2988	2136	419	1395	737	437	0	0.14022757697456492
HLA-DRB1	pred	EAS	True	1976	1295	556	686	523	210	<20	0.2813765182186235
HLA-DRB1	pred	EUR	True	2866	2134	339	1709	517	301	0	0.11828332170272156
HLA-DRB1	pred	MID	True	589	406	63	312	136	78	0	0.10696095076400679
HLA-DRB1	pred	SAS	True	1606	1076	227	709	325	345	0	0.14134495641344957
ALL	pred	POOLED	True	30962	11139	6568	9980	4896	8483	1035	0.2121309992894516
ALL	pred	AFR	True	8886	2910	1713	2484	1576	2761	352	0.19277515192437542
ALL	pred	AMR	True	6437	2471	1303	2210	1094	1609	221	0.2024234892030449
ALL	pred	EAS	True	4489	1420	1165	1117	732	1358	117	0.25952327912675427
ALL	pred	EUR	True	6186	2655	1466	2554	799	1146	221	0.23698674426123506
ALL	pred	MID	True	1300	467	253	457	212	351	27	0.1946153846153846
ALL	pred	SAS	True	3609	1194	660	1143	472	1239	95	0.1828761429758936
HLA-A	strict	POOLED	False	743	714	253	261	36	107	86	0.3405114401076716
HLA-A	strict	AFR	False	159	154	66	43	<20	23	<20	0.41509433962264153
HLA-A	strict	AMR	False	77	74	29	26	<20	<20	<20	0.37662337662337664
HLA-A	strict	EAS	False	75	73	21	27	<20	<20	<20	0.28
HLA-A	strict	EUR	False	79	77	23	31	<20	<20	<20	0.2911392405063291
HLA-A	strict	MID	False	<20	<20	<20	<20	<20	<20	<20	
HLA-A	strict	SAS	False	59	58	23	21	<20	<20	<20	0.3898305084745763
HLA-B	strict	POOLED	False	2309	2170	499	277	119	941	473	0.21611087050671288
HLA-B	strict	AFR	False	541	500	95	74	<20	230	125	0.1756007393715342
HLA-B	strict	AMR	False	326	313	64	32	25	148	57	0.19631901840490798
HLA-B	strict	EAS	False	251	235	73	28	<20	104	36	0.2908366533864542
HLA-B	strict	EUR	False	204	190	54	27	<20	51	62	0.2647058823529412
HLA-B	strict	MID	False	58	54	<20	<20	<20	27	<20	0.20689655172413793
HLA-B	strict	SAS	False	236	220	41	25	<20	130	28	0.17372881355932204
HLA-C	strict	POOLED	False	1679	1596	390	365	126	495	303	0.23228111971411555
HLA-C	strict	AFR	False	401	386	79	79	<20	125	99	0.1970074812967581
HLA-C	strict	AMR	False	198	189	57	43	<20	53	27	0.2878787878787879
HLA-C	strict	EAS	False	222	209	31	37	<20	91	48	0.13963963963963963
HLA-C	strict	EUR	False	143	135	45	38	<20	32	<20	0.3146853146853147
HLA-C	strict	MID	False	38	37	<20	<20	<20	<20	<20	0.15789473684210525
HLA-C	strict	SAS	False	183	170	29	27	<20	68	45	0.15846994535519127
HLA-DPA1	strict	POOLED	False	2679	2493	374	376	217	1542	170	0.13960432997387084
HLA-DPA1	strict	AFR	False	576	536	77	80	42	348	29	0.13368055555555555
HLA-DPA1	strict	AMR	False	396	369	47	52	28	244	25	0.11868686868686869
HLA-DPA1	strict	EAS	False	355	325	29	42	25	253	<20	0.08169014084507042
HLA-DPA1	strict	EUR	False	209	195	37	32	25	82	33	0.17703349282296652
HLA-DPA1	strict	MID	False	62	62	<20	<20	<20	33	<20	0.1935483870967742
HLA-DPA1	strict	SAS	False	302	282	35	32	20	200	<20	0.11589403973509933
HLA-DPB1	strict	POOLED	False	4460	3911	766	1193	622	1866	<20	0.1717488789237668
HLA-DPB1	strict	AFR	False	1178	1026	168	239	200	569	<20	0.14261460101867574
HLA-DPB1	strict	AMR	False	448	409	82	108	68	188	<20	0.18303571428571427
HLA-DPB1	strict	EAS	False	682	578	60	140	80	399	<20	0.08797653958944282
HLA-DPB1	strict	EUR	False	303	268	83	102	37	79	<20	0.2739273927392739
HLA-DPB1	strict	MID	False	117	100	27	38	<20	34	0	0.23076923076923078
HLA-DPB1	strict	SAS	False	489	424	70	200	43	176	0	0.14314928425357873
HLA-DQA1	strict	POOLED	False	3491	3148	1357	819	302	990	23	0.3887138355771985
HLA-DQA1	strict	AFR	False	767	690	239	207	84	223	<20	0.3116036505867014
HLA-DQA1	strict	AMR	False	326	308	108	116	30	70	<20	0.3312883435582822
HLA-DQA1	strict	EAS	False	437	381	250	55	29	103	0	0.5720823798627003
HLA-DQA1	strict	EUR	False	330	301	153	90	<20	68	0	0.4636363636363636
HLA-DQA1	strict	MID	False	85	76	33	<20	<20	31	0	0.38823529411764707
HLA-DQA1	strict	SAS	False	443	403	120	55	32	235	<20	0.2708803611738149
HLA-DQB1	strict	POOLED	False	2253	2094	855	598	215	575	<20	0.3794940079893475
HLA-DQB1	strict	AFR	False	516	480	167	158	53	136	<20	0.3236434108527132
HLA-DQB1	strict	AMR	False	280	261	111	75	34	58	<20	0.3964285714285714
HLA-DQB1	strict	EAS	False	257	242	71	38	<20	127	<20	0.27626459143968873
HLA-DQB1	strict	EUR	False	205	186	95	66	<20	27	0	0.4634146341463415
HLA-DQB1	strict	MID	False	54	50	<20	<20	<20	<20	0	0.3148148148148148
HLA-DQB1	strict	SAS	False	200	190	96	46	<20	42	0	0.48
