gene	unrelated_only	carrier_haplotypes_bin	n_signatures
HLA-A	False	1	355
HLA-A	False	2	<20
HLA-A	False	3	<20
HLA-A	False	4	0
HLA-A	False	5	<20
HLA-A	False	6-10	0
HLA-A	False	11-20	0
HLA-A	False	21-50	0
HLA-A	False	51-100	0
HLA-A	False	101-1000	0
HLA-A	False	>1000	0
HLA-B	False	1	683
HLA-B	False	2	68
HLA-B	False	3	24
HLA-B	False	4	<20
HLA-B	False	5	<20
HLA-B	False	6-10	<20
HLA-B	False	11-20	<20
HLA-B	False	21-50	<20
HLA-B	False	51-100	0
HLA-B	False	101-1000	0
HLA-B	False	>1000	0
HLA-C	False	1	677
HLA-C	False	2	48
HLA-C	False	3	<20
HLA-C	False	4	<20
HLA-C	False	5	0
HLA-C	False	6-10	<20
HLA-C	False	11-20	<20
HLA-C	False	21-50	<20
HLA-C	False	51-100	<20
HLA-C	False	101-1000	0
HLA-C	False	>1000	0
HLA-DPA1	False	1	921
HLA-DPA1	False	2	76
HLA-DPA1	False	3	34
HLA-DPA1	False	4	<20
HLA-DPA1	False	5	<20
HLA-DPA1	False	6-10	21
HLA-DPA1	False	11-20	<20
HLA-DPA1	False	21-50	<20
HLA-DPA1	False	51-100	<20
HLA-DPA1	False	101-1000	0
HLA-DPA1	False	>1000	0
HLA-DPB1	False	1	1745
HLA-DPB1	False	2	162
HLA-DPB1	False	3	58
HLA-DPB1	False	4	28
HLA-DPB1	False	5	28
HLA-DPB1	False	6-10	44
HLA-DPB1	False	11-20	26
HLA-DPB1	False	21-50	<20
HLA-DPB1	False	51-100	<20
HLA-DPB1	False	101-1000	<20
HLA-DPB1	False	>1000	0
HLA-DQA1	False	1	974
HLA-DQA1	False	2	78
HLA-DQA1	False	3	<20
HLA-DQA1	False	4	<20
HLA-DQA1	False	5	<20
HLA-DQA1	False	6-10	22
HLA-DQA1	False	11-20	<20
HLA-DQA1	False	21-50	<20
HLA-DQA1	False	51-100	<20
HLA-DQA1	False	101-1000	<20
HLA-DQA1	False	>1000	0
HLA-DQB1	False	1	990
HLA-DQB1	False	2	56
HLA-DQB1	False	3	<20
HLA-DQB1	False	4	<20
HLA-DQB1	False	5	<20
HLA-DQB1	False	6-10	<20
