gene	gene_class	n_total	n_comparable	n_discordant	discordance_rate	ci_lo	ci_hi	concordant	missing_one	missing_both	point_diff	dropout_candidate	fragmentation_candidate	other_multiblock
A	classical_I	574	574	74	0.1289198606271777	0.1039519555171207	0.15882178732174723	500	25	0	13	16	19	1
B	classical_I	574	574	71	0.12369337979094076	0.09923446054109962	0.15315581388704816	503	17	0	6	28	9	11
C	classical_I	574	574	69	0.12020905923344948	0.09609791596101429	0.14937004619332003	505	23	0	11	19	5	11
C4A	complement	574	0	0				0	0	574	0	0	0	0
C4B	complement	574	0	0				0	0	574	0	0	0	0
DMA	class_II_accessory	574	574	24	0.041811846689895474	0.028255879706274974	0.061460056287256835	550	7	0	10	3	0	4
DMB	class_II_accessory	574	574	15	0.02613240418118467	0.015899273121132283	0.04266625764023901	559	5	0	9	1	0	0
DOA	class_II_accessory	574	573	34	0.059336823734729496	0.04276944359271584	0.08177358520409772	539	15	1	10	7	0	2
DOB	class_II_accessory	574	574	23	0.04006968641114982	0.026846536442358456	0.05940824341426661	551	9	0	10	4	0	0
DPA1	classical_II	574	573	29	0.0506108202443281	0.03546659255685081	0.07174065463197886	544	16	1	5	7	0	1
DPA2	class_II_paralog	574	572	41	0.07167832167832168	0.05327370678829491	0.0957978434435744	531	8	2	14	10	0	9
DPB1	classical_II	574	572	56	0.0979020979020979	0.07616360920775232	0.1250056012140025	516	16	2	5	22	0	13
DPB2	class_II_paralog	574	574	47	0.08188153310104529	0.0621331159363183	0.1071894112060681	527	13	0	17	15	0	2
DQA1	classical_II	574	573	57	0.09947643979057591	0.07757354778867043	0.126714076404869	516	23	1	10	13	1	10
DQA2	class_II_paralog	574	574	32	0.05574912891986063	0.03976344429474532	0.07764174079404026	542	16	0	10	6	0	0
DQB1	classical_II	574	573	61	0.10645724258289703	0.0837726253780683	0.13438362410185825	512	17	1	13	17	2	12
DQB2	class_II_paralog	574	574	24	0.041811846689895474	0.028255879706274974	0.061460056287256835	550	13	0	6	5	0	0
DRA	class_II_accessory	574	574	30	0.05226480836236934	0.03685213616937749	0.07363073664559465	544	20	0	4	6	0	0
DRB1	classical_II	574	574	75	0.13066202090592335	0.105527718133789	0.16070718084198574	499	25	0	12	25	3	10
DRB3	class_II_paralog	574	422	188	0.44549763033175355	0.3987797432171288	0.49319887042700555	234	142	152	7	39	0	0
DRB4	class_II_paralog	574	354	185	0.5225988700564972	0.4706025627806382	0.5741099580665746	169	159	220	15	11	0	0
DRB5	class_II_paralog	574	216	135	0.625	0.5587818526716787	0.6868495473909119	81	128	358	3	4	0	0
E	nonclassical_I	574	574	52	0.09059233449477352	0.06975313220897289	0.11687517561794716	522	7	0	26	19	0	0
F	nonclassical_I	574	574	42	0.07317073170731707	0.054586166713202496	0.0974305797446503	532	21	0	18	3	0	0
G	nonclassical_I	574	574	62	0.10801393728222997	0.08517737632070757	0.1360624928752797	512	28	0	17	12	0	5
H	pseudogene_I	574	573	126	0.2198952879581152	0.187909618207966	0.25561179217575114	447	30	1	17	69	0	10
HFE	other	574	241	197	0.8174273858921162	0.7638012465773274	0.8610925623178929	44	188	333	9	0	0	0
J	pseudogene_I	574	574	38	0.06620209059233449	0.04860914351549258	0.08956297839473332	536	23	0	9	5	0	1
K	pseudogene_I	574	574	136	0.23693379790940766	0.20396923046130938	0.27339619286577543	438	33	0	24	70	0	9
L	pseudogene_I	574	574	44	0.07665505226480836	0.057595485453936585	0.10134357327772966	530	18	0	11	13	0	2
MICA	mic_tap	574	573	101	0.1762652705061082	0.147250577444367	0.2095919248994307	472	17	1	23	43	0	18
MICB	mic_tap	574	574	77	0.13414634146341464	0.10868397632226962	0.16447323492731852	497	10	0	28	29	0	10
N	pseudogene_I	574	574	19	0.033101045296167246	0.02129156933646169	0.05111858597253649	555	19	0	0	0	0	0
P	pseudogene_I	574	574	47	0.08188153310104529	0.0621331159363183	0.1071894112060681	527	23	0	7	9	0	8
S	pseudogene_I	574	574	34	0.059233449477351915	0.04269438920945193	0.08163310815314709	540	18	0	10	6	0	0
T	pseudogene_I	574	573	97	0.16928446771378708	0.1408048910836468	0.20216898597376376	476	30	1	24	43	0	0
TAP1	mic_tap	574	574	42	0.07317073170731707	0.054586166713202496	0.0974305797446503	532	17	0	14	10	0	1
TAP2	mic_tap	574	574	76	0.13240418118466898	0.10710506711630469	0.16259098799637672	498	11	0	37	16	0	12
U	pseudogene_I	574	573	104	0.18150087260034903	0.15209652087705544	0.21514745043153255	469	34	1	7	61	0	2
V	pseudogene_I	574	574	47	0.08188153310104529	0.0621331159363183	0.1071894112060681	527	24	0	6	14	0	3
W	pseudogene_I	574	574	64	0.11149825783972125	0.08828800787881143	0.13987417359098928	510	30	0	10	15	0	9
Y	pseudogene_I	574	234	121	0.5170940170940171	0.45330934839463244	0.5803264831840318	113	115	340	4	2	0	0
