gene	fragmentation_class	n_people	obs_hom
A	1	1056	0.11268939393939394
A	2	700	0.11285714285714285
A	>=3	5907	0.09226341628576265
B	1	1058	0.05103969754253308
B	2	691	0.04630969609261939
B	>=3	5917	0.04580023660638837
C	1	1061	0.08671065032987747
C	2	692	0.07947976878612717
C	>=3	5894	0.07889379029521547
DPA1	1	1067	0.5164011246485474
DPA1	2	724	0.47651933701657456
DPA1	>=3	5931	0.42320013488450514
DPB1	1	1063	0.19285042333019756
DPB1	2	715	0.1902097902097902
DPB1	>=3	5815	0.16749785038693035
DQA1	1	1063	0.13452492944496708
DQA1	2	729	0.12345679012345678
DQA1	>=3	5851	0.11741582635446932
DQB1	1	1062	0.1440677966101695
DQB1	2	728	0.12774725274725274
DQB1	>=3	5821	0.11681841607971138
DRB1	1	1064	0.09398496240601503
DRB1	2	715	0.07552447552447553
DRB1	>=3	5696	0.07373595505617977
