measure	gene	ancestry	n_people	obs_hom	exp_hom	obs_exp_ratio	ci_lo	ci_hi	thin_n
LR_2field	A	AFR	2055	0.07201946472019465	0.06031943410672318	1.1939678444723238	0.9802417207829416	1.3891378942816413	False
LR_2field	A	AMR	1511	0.09927200529450694	0.08401415110769944	1.1816105261511023	1.02008954328166	1.3468374166609796	False
LR_2field	A	EAS	1150	0.13826086956521738	0.10878113357414376	1.2710004485380788	1.1014226350186131	1.454768108719556	False
LR_2field	A	EUR	1216	0.14226973684210525	0.14047784645694864	1.0127556794921808	0.8892626913347957	1.1560738392196068	False
LR_2field	A	MID	277	0.09747292418772563	0.07444134716446557	1.30939226519337	0.8637181196639557	1.7621700798282185	False
LR_2field	A	SAS	1067	0.1077788191190253	0.09046311564907415	1.1914117521346763	0.9724228109805123	1.402998035227976	False
LR_2field	B	AFR	2077	0.05247953779489649	0.04772275113407122	1.0996754492938108	0.9204380642902158	1.2874505548728292	False
LR_2field	B	AMR	1483	0.045853000674308836	0.02990656331054935	1.5332086204012108	1.2013718894434235	1.8541426870941395	False
LR_2field	B	EAS	1123	0.06322350845948353	0.04159118809583779	1.520117874819993	1.1744996418818914	1.8194890546714952	False
LR_2field	B	EUR	1217	0.06327033689400165	0.06216765435275912	1.0177372389665138	0.8145793780339973	1.2131561423058261	False
LR_2field	B	MID	281	0.05338078291814947	0.03626594604195609	1.4719258352282665	0.7625105096758503	2.062686269808018	False
LR_2field	B	SAS	1050	0.05714285714285714	0.05039497266271921	1.1338999531818346	0.7994743096347386	1.4545011054409498	False
LR_2field	C	AFR	2112	0.09185606060606061	0.08165634709634828	1.1249102350571407	0.9799818210221287	1.2769364593214785	False
LR_2field	C	AMR	1466	0.08799454297407913	0.07616679769300552	1.1552874170809437	0.9757536842888674	1.333277254790315	False
LR_2field	C	EAS	1117	0.09937332139659803	0.09186809239289713	1.0816957096660165	0.9138056516894537	1.2776418497531061	False
LR_2field	C	EUR	1200	0.09583333333333334	0.09027997776851465	1.061512593402027	0.8861179438557579	1.2067125605807525	False
LR_2field	C	MID	270	0.10740740740740741	0.08620902906617192	1.2458951060098837	0.8848019399691679	1.622309849168367	False
LR_2field	C	SAS	1026	0.0847953216374269	0.07808390905211456	1.085951288386869	0.8701355877337326	1.3012331513879503	False
LR_2field	DPA1	AFR	2168	0.2859778597785978	0.27690960473618575	1.0327480697213498	0.9609496213754295	1.1052046542318659	False
LR_2field	DPA1	AMR	1519	0.6227781435154707	0.5985019518976294	1.0405615913880821	1.0123837836149296	1.0739213084690318	False
LR_2field	DPA1	EAS	1194	0.4103852596314908	0.395460054075713	1.0377413733750218	0.9781744617450591	1.093409844273842	False
LR_2field	DPA1	EUR	1235	0.6842105263157895	0.6827967198114925	1.002070611154499	0.9787156230762577	1.022118253136359	False
LR_2field	DPA1	MID	286	0.6398601398601399	0.6224572275360366	1.0279584067052956	0.9686541723648036	1.0869686944797676	False
LR_2field	DPA1	SAS	1071	0.5032679738562091	0.49717554778411444	1.0122540742384623	0.9642017321022021	1.052317362532418	False
LR_2field	DPB1	AFR	2097	0.15879828326180256	0.1427674095425068	1.112286647006247	1.0119854606562733	1.205707696954265	False
LR_2field	DPB1	AMR	1465	0.22389078498293516	0.1631905028798749	1.3719596485816452	1.233886652332313	1.473411390926289	False
LR_2field	DPB1	EAS	1149	0.18450826805918188	0.15590130995399076	1.1834940201184554	1.0391975389692818	1.3003979137585704	False
LR_2field	DPB1	EUR	1188	0.22138047138047137	0.21639624313308523	1.0230328779059292	0.9319379975427202	1.1217348118101338	False
LR_2field	DPB1	MID	279	0.2007168458781362	0.1781368442050668	1.1267564931546437	0.9529609765413021	1.353866756958916	False
LR_2field	DPB1	SAS	1047	0.2034383954154728	0.19614068087968672	1.0372065320822583	0.9243952762177806	1.1311572629252409	False
LR_2field	DQA1	AFR	2122	0.15551366635249764	0.14829392448348147	1.0486853517038075	0.9589413933797494	1.1107918016947904	False
LR_2field	DQA1	AMR	1531	0.13455258001306336	0.10808487810769524	1.2448788615831703	1.099120720307755	1.385387521411602	False
LR_2field	DQA1	EAS	1189	0.12867956265769553	0.10071179048726353	1.277701071891567	1.1135870668513046	1.4347254775488378	False
LR_2field	DQA1	EUR	1226	0.13376835236541598	0.12096437649379718	1.1058491453661596	0.9656714136322164	1.2580274341753686	False
LR_2field	DQA1	MID	282	0.16666666666666666	0.12544877366690602	1.328563538685545	0.9798708771862786	1.6322967861603768	False
LR_2field	DQA1	SAS	1081	0.1276595744680851	0.11951245718718122	1.0681696073585352	0.912250990274372	1.2593459736404728	False
LR_2field	DQB1	AFR	2079	0.12890812890812892	0.11480892524914656	1.1228058152132834	0.9814819359197184	1.254159135445444	False
LR_2field	DQB1	AMR	1493	0.15137307434695244	0.12914651399439708	1.172103447976301	1.0333521899690652	1.3075497013187647	False
LR_2field	DQB1	EAS	1179	0.13655640373197625	0.11633331570047604	1.1738374592843952	1.0146307069034934	1.346552721539809	False
LR_2field	DQB1	EUR	1223	0.12755519215044972	0.11146883104505165	1.1443126383813655	0.9622761120249175	1.2902353278587213	False
LR_2field	DQB1	MID	277	0.148014440433213	0.12231281947500017	1.2101302305721604	0.9048030106444227	1.5074916017434168	False
LR_2field	DQB1	SAS	1069	0.12067352666043031	0.09887312192459201	1.2204886860198965	1.0116037210188895	1.424447687312814	False
LR_2field	DRB1	AFR	2083	0.06817090734517522	0.06429490663284036	1.0602847241768152	0.8825955645437499	1.209873953260666	False
LR_2field	DRB1	AMR	1464	0.0744535519125683	0.043006883341641135	1.7312008247870205	1.3788495385128638	2.046736785655884	False
LR_2field	DRB1	EAS	1140	0.10087719298245613	0.07202258608346228	1.4006327524195832	1.1896505345810469	1.6298981149287426	False
LR_2field	DRB1	EUR	1180	0.08813559322033898	0.08100602812165454	1.0880127721850192	0.8950866735582339	1.2710974071749963	False
LR_2field	DRB1	MID	271	0.11070110701107011	0.06464726384786953	1.7123865794471407	1.166297434689524	2.1308558278205534	False
LR_2field	DRB1	SAS	1037	0.10221793635486982	0.08259567260749286	1.2375701187231072	1.0597802915716734	1.4481888446019395	False
LR_CDS_exact	A	AFR	2196	0.06375227686703097	0.05575228599316619	1.1434917103640447	0.9814195040793292	1.3076405467784025	False
LR_CDS_exact	A	AMR	1566	0.09195402298850575	0.07970556047076714	1.1536713680375017	0.9792434192683659	1.327820336294786	False
LR_CDS_exact	A	EAS	1214	0.12685337726523888	0.10143538948498801	1.2505830352631773	1.0958130117813019	1.4359904194515407	False
LR_CDS_exact	A	EUR	1284	0.12850467289719625	0.13158353023700042	0.9766014991826202	0.8544482640731832	1.106918957380586	False
LR_CDS_exact	A	MID	291	0.09278350515463918	0.07153799291421947	1.2969822240595288	0.8154271652090699	1.7223333001466132	False
LR_CDS_exact	A	SAS	1112	0.10161870503597123	0.08355299566015204	1.216218571615321	1.01324597153823	1.4105675502501467	False
LR_CDS_exact	B	AFR	2231	0.04482294935006723	0.044106244356312406	1.0162495130613463	0.8509632302169644	1.182615123624335	False
LR_CDS_exact	B	AMR	1555	0.036655948553054665	0.027364595474811744	1.3395392081273527	1.0193088642763726	1.644324315620258	False
LR_CDS_exact	B	EAS	1211	0.054500412881915775	0.03693562145976354	1.475551533396744	1.134882153988382	1.8130782964397718	False
LR_CDS_exact	B	EUR	1274	0.05259026687598116	0.05852916504102774	0.8985309604043807	0.7087767022404575	1.094810713055594	False
LR_CDS_exact	B	MID	294	0.05102040816326531	0.033897715815457356	1.5051282051282053	0.8030909802847621	2.299588645829508	False
LR_CDS_exact	B	SAS	1101	0.047229791099000905	0.0452964778209558	1.0426813158781782	0.7754448805728816	1.31673303041071	False
LR_CDS_exact	C	AFR	2253	0.07989347536617843	0.07245714555952773	1.1026307308854904	0.9666596016736636	1.233747390937041	False
LR_CDS_exact	C	AMR	1556	0.07583547557840617	0.0687107031273886	1.103692323418789	0.903831110242219	1.266783881622387	False
LR_CDS_exact	C	EAS	1205	0.08962655601659751	0.08362795808939161	1.0717295754225384	0.8829580235106721	1.2193353435693708	False
LR_CDS_exact	C	EUR	1262	0.07844690966719493	0.08300717393639373	0.9450618054688477	0.776515027253293	1.1412210866591954	False
LR_CDS_exact	C	MID	282	0.08865248226950355	0.07601123666276155	1.1663075903215114	0.7837714462029809	1.5514245307897938	False
LR_CDS_exact	C	SAS	1089	0.07529843893480258	0.07174387209464672	1.0495452327338364	0.8327377025504228	1.2516866882528235	False
LR_CDS_exact	DPA1	AFR	2260	0.21327433628318584	0.2102914537831418	1.0141845160437195	0.9388483827429133	1.0867927461204894	False
LR_CDS_exact	DPA1	AMR	1553	0.587894397939472	0.5675035487908189	1.035930787026971	1.0126812834281422	1.065208046548322	False
LR_CDS_exact	DPA1	EAS	1227	0.39445802770986144	0.3823297720038102	1.0317219756193363	0.9668270393999985	1.0980452888262247	False
LR_CDS_exact	DPA1	EUR	1289	0.6423584173778123	0.6423587184236756	0.9999995313430725	0.9804582280629303	1.019266358257769	False
LR_CDS_exact	DPA1	MID	295	0.6067796610169491	0.5908146528157463	1.0270220248010364	0.9634899416751431	1.0800259708601607	False
LR_CDS_exact	DPA1	SAS	1098	0.47358834244080145	0.4695142545361	1.0086772400738435	0.9611875774135669	1.0549939785118345	False
LR_CDS_exact	DPB1	AFR	2222	0.12106210621062106	0.11318606539924755	1.0695848979606448	0.9602448826230591	1.1839832391136182	False
LR_CDS_exact	DPB1	AMR	1531	0.20640104506858262	0.1529786993872257	1.3492142755517367	1.2390061707611828	1.4536587403208672	False
LR_CDS_exact	DPB1	EAS	1204	0.17358803986710963	0.14806378682331572	1.172386871843633	1.0305595196755943	1.3010459055801	False
LR_CDS_exact	DPB1	EUR	1264	0.20174050632911392	0.19934172957376786	1.0120334902304455	0.9266976610147996	1.0975338357741327	False
LR_CDS_exact	DPB1	MID	291	0.19243986254295534	0.17257838422911084	1.115086709164439	0.8922664414290881	1.321059192193498	False
LR_CDS_exact	DPB1	SAS	1081	0.1942645698427382	0.18715296520908667	1.037998888372976	0.9400144393752569	1.1476563052345121	False
LR_CDS_exact	DQA1	AFR	2206	0.12330009066183137	0.12260229669788275	1.0056915244064972	0.896844594630001	1.1191832806161046	False
LR_CDS_exact	DQA1	AMR	1560	0.12051282051282051	0.09820270303598293	1.2271843522337957	1.0788989367591677	1.4036274312750863	False
LR_CDS_exact	DQA1	EAS	1224	0.11519607843137254	0.08760794196441687	1.3149045149144236	1.1097984776062564	1.5165044616171306	False
LR_CDS_exact	DQA1	EUR	1256	0.11464968152866242	0.11035139653042536	1.0389508890089303	0.8937961462708497	1.1666449341196878	False
LR_CDS_exact	DQA1	MID	287	0.15331010452961671	0.11726897373685778	1.3073373087892144	1.002322994544575	1.6138355579911194	False
LR_CDS_exact	DQA1	SAS	1110	0.11801801801801802	0.11052864491350296	1.067759566855959	0.8938556560543456	1.227861962858412	False
LR_CDS_exact	DQB1	AFR	2198	0.11191992720655142	0.10448416752844918	1.0711663772032984	0.9547520466487377	1.2219466344954446	False
LR_CDS_exact	DQB1	AMR	1545	0.1372168284789644	0.12234811697420957	1.121527914548036	0.9783651779975565	1.2683879715564557	False
LR_CDS_exact	DQB1	EAS	1218	0.12807881773399016	0.1085615156634062	1.1797810389005359	1.0082600823357315	1.3414415013409395	False
LR_CDS_exact	DQB1	EUR	1260	0.11825396825396825	0.10773581101092018	1.097629164753602	0.9544989883944561	1.2566337871733149	False
LR_CDS_exact	DQB1	MID	288	0.1388888888888889	0.11196256038647343	1.2404940402351545	0.8891178477867779	1.485812126627349	False
LR_CDS_exact	DQB1	SAS	1102	0.11161524500907441	0.09379760152176582	1.1899584125631826	1.011238232870129	1.4214502418896782	False
LR_CDS_exact	DRB1	AFR	2174	0.060257589696412144	0.05973348367652596	1.0087740742315376	0.8269172686671529	1.1264041999868786	False
LR_CDS_exact	DRB1	AMR	1515	0.066006600660066	0.04023308240365139	1.6406051119283742	1.3619765300496216	1.8908167776683682	False
LR_CDS_exact	DRB1	EAS	1196	0.09531772575250837	0.06803768032015263	1.4009549606040206	1.1692716496716282	1.617718363097006	False
LR_CDS_exact	DRB1	EUR	1243	0.08286403861625101	0.07650699045439167	1.0830910760455148	0.8793839103363432	1.2755241194442866	False
LR_CDS_exact	DRB1	MID	281	0.10676156583629894	0.05908995756180182	1.8067632850241546	1.170463399552159	2.530680378265754	False
LR_CDS_exact	DRB1	SAS	1066	0.0900562851782364	0.07605718496631958	1.1840601938937925	0.9450764919774436	1.3650388252732049	False
SR_2field	A	AFR	2401	0.06580591420241566	0.06444027479003793	1.0211923275750656	0.8991044821233187	1.1825828719827434	False
SR_2field	A	AMR	1677	0.08944543828264759	0.08541554737602705	1.047179828853401	0.8867776048261866	1.1894019924428099	False
SR_2field	A	EAS	1303	0.1281657712970069	0.10951193392481252	1.1703361150119176	1.0357356678821388	1.320918973524143	False
SR_2field	A	EUR	1377	0.12490922294843863	0.13953616586751205	0.8951745389581542	0.7772017200737623	0.9988435297465538	False
SR_2field	A	MID	310	0.0967741935483871	0.07715878888946792	1.2542212616506823	0.8947392725297993	1.6864910885419704	False
SR_2field	A	SAS	1169	0.10521813515825491	0.09122192072850448	1.1534303851308514	0.9783864853885046	1.3369908981728142	False
SR_2field	B	AFR	2401	0.05081216159933361	0.04889573800265997	1.0391940826533672	0.8685197012293623	1.2024314883858869	False
SR_2field	B	AMR	1677	0.03935599284436494	0.02954340411251612	1.3321414382201033	0.9987086985460752	1.665448738246078	False
SR_2field	B	EAS	1303	0.06293169608595549	0.042049426762100744	1.496612461377856	1.2147065003820146	1.8470575712819663	False
