n_resolved_genes	n_testable_transitions	n_switches_observed	eligible	detected	n_genes_swapped	n_switches_simulated
14	4	0	True	True	3.0	1.0
13	3	0	True	True	3.0	1.0
13	4	0	True	True	1.0	1.0
13	1	0	True	True	4.0	1.0
12	3	0	True	True	1.0	1.0
5	0	0	False			
15	5	0	True	True	1.0	1.0
8	2	0	True	True	2.0	1.0
1	0	0	False			
2	0	0	False			
14	13	0	True	True	13.0	1.0
4	0	0	False			
7	4	0	True	True	22.0	1.0
24	13	0	True	True	31.0	1.0
21	12	0	True	True	4.0	1.0
6	5	0	True	True	7.0	1.0
13	6	0	True	True	15.0	1.0
6	2	0	True	True	9.0	1.0
14	6	0	True	True	3.0	1.0
23	6	0	True	True	8.0	1.0
16	4	0	True	True	1.0	1.0
26	13	0	True	True	30.0	4.0
6	1	0	True	True	1.0	1.0
19	6	0	True	True	6.0	1.0
7	1	0	True	True	2.0	1.0
5	0	0	False			
8	0	0	False			
6	1	0	True	True	11.0	1.0
16	9	0	True	True	4.0	1.0
1	0	0	False			
22	8	0	True	True	9.0	1.0
20	6	0	True	True	19.0	1.0
16	4	0	True	True	3.0	1.0
6	0	0	False			
11	3	0	True	True	20.0	1.0
1	0	0	False			
6	3	0	True	True	4.0	1.0
12	4	0	True	True	10.0	1.0
0	0	0	False			
22	12	0	True	True	14.0	1.0
2	1	0	True	True	3.0	1.0
20	9	0	True	True	14.0	1.0
5	0	0	False			
9	1	0	True	True	3.0	1.0
6	0	0	False			
17	6	0	True	True	13.0	1.0
22	9	0	True	True	8.0	1.0
23	7	0	True	True	7.0	1.0
13	4	0	True	True	6.0	1.0
15	6	0	True	True	10.0	1.0
10	2	0	True	True	1.0	1.0
3	0	0	False			
19	9	0	True	True	22.0	1.0
11	3	0	True	True	6.0	1.0
19	6	0	True	True	6.0	1.0
21	7	0	True	True	7.0	1.0
17	5	0	True	True	10.0	1.0
19	6	0	True	True	12.0	1.0
9	1	0	True	True	15.0	1.0
15	3	0	True	True	3.0	1.0
16	3	0	True	True	4.0	1.0
16	7	0	True	True	3.0	1.0
13	9	0	True	True	3.0	1.0
13	4	0	True	True	35.0	1.0
23	14	0	True	True	14.0	1.0
7	4	0	True	True	33.0	1.0
3	2	0	True	True	2.0	1.0
18	7	0	True	True	1.0	1.0
18	8	0	True	True	3.0	1.0
16	8	0	True	True	7.0	1.0
15	3	0	True	True	4.0	1.0
19	7	0	True	True	22.0	1.0
12	3	0	True	True	2.0	1.0
16	12	0	True	True	27.0	1.0
14	1	0	True	True	6.0	1.0
15	4	0	True	True	2.0	1.0
18	4	0	True	True	11.0	1.0
11	3	0	True	True	5.0	1.0
15	4	0	True	True	11.0	1.0
18	8	0	True	True	14.0	1.0
18	4	0	True	True	7.0	1.0
22	9	0	True	True	4.0	1.0
10	3	0	True	True	3.0	1.0
7	2	0	True	True	2.0	1.0
18	2	0	True	True	5.0	1.0
19	9	0	True	True	10.0	1.0
14	4	0	True	True	2.0	1.0
6	1	0	True	True	1.0	1.0
5	0	0	False			
12	6	0	True	True	24.0	1.0
16	4	0	True	True	1.0	1.0
16	5	0	True	True	3.0	1.0
3	0	0	False			
17	3	0	True	True	5.0	1.0
24	21	0	True	True	19.0	1.0
21	6	0	True	True	1.0	1.0
9	2	0	True	True	3.0	1.0
17	5	0	True	True	10.0	1.0
18	5	0	True	True	1.0	1.0
17	5	0	True	True	17.0	1.0
16	8	0	True	True	2.0	1.0
14	5	0	True	True	2.0	1.0
19	8	0	True	True	8.0	1.0
11	4	0	True	True	9.0	1.0
18	12	0	True	True	2.0	1.0
9	1	0	True	True	2.0	1.0
18	4	0	True	True	12.0	1.0
14	4	0	True	True	1.0	1.0
10	3	0	True	True	1.0	1.0
11	10	0	True	True	29.0	1.0
17	7	0	True	True	12.0	1.0
7	5	0	True	True	12.0	1.0
14	6	0	True	True	30.0	1.0
8	1	0	True	True	8.0	1.0
18	3	0	True	True	2.0	1.0
17	14	0	True	True	9.0	1.0
15	5	0	True	True	2.0	1.0
16	2	0	True	True	23.0	1.0
17	4	0	True	True	26.0	1.0
21	18	0	True	True	7.0	1.0
7	1	0	True	True	1.0	1.0
16	6	0	True	True	6.0	1.0
16	3	0	True	True	19.0	1.0
14	6	0	True	True	19.0	1.0
13	8	0	True	True	2.0	1.0
13	4	0	True	True	11.0	1.0
11	4	0	True	True	4.0	1.0
13	5	0	True	True	4.0	1.0
15	3	0	True	True	9.0	1.0
18	6	0	True	True	10.0	1.0
14	8	0	True	True	8.0	1.0
10	4	0	True	True	2.0	1.0
8	2	0	True	True	4.0	1.0
19	4	0	True	True	7.0	1.0
13	3	0	True	True	6.0	1.0
17	4	0	True	True	6.0	1.0
15	4	0	True	True	1.0	1.0
7	0	0	False			
6	2	0	True	True	8.0	1.0
17	7	0	True	True	15.0	1.0
8	2	0	True	True	2.0	1.0
10	7	0	True	True	24.0	1.0
14	8	0	True	True	29.0	1.0
14	5	0	True	True	4.0	1.0
17	4	0	True	True	2.0	1.0
12	5	0	True	True	6.0	1.0
