gene	resolution	ancestry	n_haplotypes	S_obs	f1	f2	coverage	coverage_ci_lo	coverage_ci_hi	unseen_mass	chao1_richness	chao1_is_secondary_unstable	n_for_95.0pct_coverage	n_for_95.0pct_coverage_reliable	n_more_for_95.0pct_coverage	n_for_99.0pct_coverage	n_for_99.0pct_coverage_reliable	n_more_for_99.0pct_coverage	n_for_99.9pct_coverage	n_for_99.9pct_coverage_reliable	n_more_for_99.9pct_coverage
HLA-A	protein	AFR	4294	59	19	6	0.9955758721092004	0.9967341454990004	0.9990693401893387	0.004424127890799601	89.07632743362832	True	121	True	-4173	899	True	-3395	14403	False	10109
HLA-A	protein	AMR	2994	66	14	9	0.995325989128384	0.9959926534210897	0.9986657833434567	0.004674010871616008	76.88525198545238	True	203	True	-2791	1334	True	-1660	6585	False	3591
HLA-A	protein	EAS	2383	49	18	2	0.9924472006313376	0.9945457395802486	0.9983235549502899	0.007552799368662377	129.96600923206043	True	113	True	-2270	1258	True	-1125	24057	False	21674
HLA-A	protein	EUR	2423	41	13	2	0.9946354318274365	0.9962862778475684	0.9991762774713759	0.0053645681725634775	83.23256293850599	True	109	True	-2314	751	True	-1672	15647	False	13224
HLA-A	protein	MID	575	38	13	1	0.9773973624120416	0.9843659840613336	0.9965519245558567	0.02260263758795844	122.35304347826087	True	132	True	-443	3618	False	3043	12211	False	11636
HLA-A	protein	SAS	2192	45	13	5	0.9940714245091828	0.9949834170114864	0.9990888492148635	0.005928575490817156	61.8922901459854	True	125	True	-2067	903	True	-1289	7263	False	5071
HLA-A	protein	UNASSIGNED	7321	94	33	9	0.9954927549287217	0.9971318360751469	0.9986345532443881	0.00450724507127831	154.49173610162546	True	187	True	-7134	1760	True	-5561	27529	False	20208
HLA-B	protein	AFR	4322	105	34	8	0.9921341282839751	0.9946793506202224	0.9976878616428393	0.00786587171602493	177.2332832022212	True	310	True	-4012	2779	True	-1543	23262	False	18940
HLA-B	protein	AMR	2974	120	29	11	0.9902513107077902	0.9922683432740608	0.9963137454115575	0.009748689292209844	158.21441890322185	True	428	True	-2546	2878	True	-96	11900	False	8926
HLA-B	protein	EAS	2364	86	23	5	0.9902725173985109	0.9932226849025971	0.99746445052929	0.009727482601489146	138.87762267343484	True	290	True	-2074	2227	True	-137	14730	False	12366
HLA-B	protein	EUR	2430	71	23	8	0.9905376893773286	0.9934169929459312	0.9975336141877651	0.009462310622671444	104.04889403292181	True	219	True	-2211	2238	True	-192	10279	False	7849
HLA-B	protein	MID	580	63	17	2	0.970701561476802	0.9759035376751184	0.9914753869694882	0.029298438523198023	135.12543103448274	True	307	True	-273	3226	False	2646	8893	False	8313
HLA-B	protein	SAS	2180	69	16	6	0.9926630757882974	0.9935804963385931	0.9981689295835386	0.007336924211702622	90.32354740061162	True	234	True	-1946	1413	True	-767	7972	False	5792
HLA-B	protein	UNASSIGNED	7332	172	64	14	0.9912716610978124	0.9946815198058462	0.997136624979489	0.008728338902187605	318.2657626061881	True	434	True	-6898	5517	True	-1815	43638	False	36306
HLA-C	protein	AFR	4356	62	25	6	0.9942614222107058	0.9960976532633391	0.9986234324356617	0.005738577789294208	114.07137664524029	True	120	True	-4236	1182	True	-3174	20210	False	15854
HLA-C	protein	AMR	2946	53	14	3	0.9952484850831638	0.9962665845439942	0.9989917499868097	0.00475151491683623	85.65557818510976	True	145	True	-2801	859	True	-2087	13657	False	10711
HLA-C	protein	EAS	2349	43	12	2	0.9948921682995739	0.9961693074734397	0.9991500218648549	0.005107831700426058	78.98467432950191	True	115	True	-2234	742	True	-1607	13837	False	11488
HLA-C	protein	EUR	2408	43	18	2	0.99252560700427	0.995421891156019	0.9983412909600659	0.00747439299573005	123.96636212624584	True	86	True	-2322	849	True	-1559	24197	False	21789
HLA-C	protein	MID	567	34	6	3	0.9894366525759823	0.9893804370702275	0.998316123835155	0.010563347424017655	39.98941798941799	True	136	True	-431	599	True	32	1903	False	1336
HLA-C	protein	SAS	2153	45	15	5	0.9930351348820496	0.9944276764776805	0.9981575835269134	0.0069648651179503585	67.48954946586159	True	107	True	-2046	1081	True	-1072	8420	False	6267
HLA-C	protein	UNASSIGNED	7285	84	40	4	0.9945094163716518	0.9969769300726489	0.9984905755248966	0.0054905836283482	283.9725463280714	True	138	True	-7147	1136	True	-6149	69311	False	62026
HLA-DMA	protein	AFR	4398	<20	8	1	0.9981810947771085	0.9986358469352214	0.9997730368617662	0.0018189052228915203	46.992723965438834	True	10	True	-4388	128	True	-4270	14921	False	10523
HLA-DMA	protein	AMR	3004	<20	3	1	0.9990015532133311	0.9990015532133311	1.0	0.0009984467866689384	13.498501997336884	True	13	True	-2991	95	True	-2909	2997	True	-7
HLA-DMA	protein	EAS	2438	<20	5	1	0.997949475203644	0.997949475203644	1.0	0.0020505247963560347	23.49487284659557	True	9	True	-2429	71	True	-2367	6814	False	4376
