gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-A	protein	AFR	AFR	575.0	0.9894501331659113	0.004424127890799601	True
HLA-A	protein	AFR	AMR	575.0	0.9015725709869002	0.004674010871616008	False
HLA-A	protein	AFR	EAS	575.0	0.7049316783245069	0.007552799368662377	False
HLA-A	protein	AFR	EUR	575.0	0.9729651992269425	0.0053645681725634775	False
HLA-A	protein	AFR	MID	575.0	0.9083433015492406	0.02260263758795844	False
HLA-A	protein	AFR	SAS	575.0	0.8642251765778058	0.005928575490817156	False
HLA-A	protein	AFR	UNASSIGNED	575.0	0.9411930117263201	0.00450724507127831	False
HLA-A	protein	AMR	AFR	575.0	0.964086766523748	0.004424127890799601	False
HLA-A	protein	AMR	AMR	575.0	0.9832425150308995	0.004674010871616008	True
HLA-A	protein	AMR	EAS	575.0	0.7646222599635321	0.007552799368662377	False
HLA-A	protein	AMR	EUR	575.0	0.9914875492515112	0.0053645681725634775	False
HLA-A	protein	AMR	MID	575.0	0.9566360458223662	0.02260263758795844	False
HLA-A	protein	AMR	SAS	575.0	0.9328714694419737	0.005928575490817156	False
HLA-A	protein	AMR	UNASSIGNED	575.0	0.9659764746854841	0.00450724507127831	False
HLA-A	protein	EAS	AFR	575.0	0.5298811725794736	0.004424127890799601	False
HLA-A	protein	EAS	AMR	575.0	0.7478514701604836	0.004674010871616008	False
HLA-A	protein	EAS	EAS	575.0	0.9875186547587055	0.007552799368662377	True
HLA-A	protein	EAS	EUR	575.0	0.8550888803325277	0.0053645681725634775	False
HLA-A	protein	EAS	MID	575.0	0.7280300203029794	0.02260263758795844	False
HLA-A	protein	EAS	SAS	575.0	0.8796905520395744	0.005928575490817156	False
HLA-A	protein	EAS	UNASSIGNED	575.0	0.7477753664163964	0.00450724507127831	False
HLA-A	protein	EUR	AFR	575.0	0.8136190283778579	0.004424127890799601	False
HLA-A	protein	EUR	AMR	575.0	0.9071762466836857	0.004674010871616008	False
HLA-A	protein	EUR	EAS	575.0	0.7459654972312076	0.007552799368662377	False
HLA-A	protein	EUR	EUR	575.0	0.990823395559312	0.0053645681725634775	True
HLA-A	protein	EUR	MID	575.0	0.9275288077157471	0.02260263758795844	False
HLA-A	protein	EUR	SAS	575.0	0.8689037664234026	0.005928575490817156	False
HLA-A	protein	EUR	UNASSIGNED	575.0	0.9234223540245842	0.00450724507127831	False
HLA-A	protein	MID	AFR	575.0	0.933861201676758	0.004424127890799601	False
