gene	resolution	design	target_ancestry	total_n	size_used	coverage	note
HLA-A	protein	actual_aou_composition	AFR	22182	4294	0.9999999999999996	
HLA-A	protein	actual_aou_composition	AMR	22182	2994	1.0000000000000002	
HLA-A	protein	actual_aou_composition	EAS	22182	2383	1.0000000000000004	
HLA-A	protein	actual_aou_composition	EUR	22182	2423	1.0000000000000002	
HLA-A	protein	actual_aou_composition	MID	22182	575	0.9999999999999998	
HLA-A	protein	actual_aou_composition	SAS	22182	2192	1.0000000000000002	
HLA-A	protein	actual_aou_composition	UNASSIGNED	22182	7321	0.9999999999999989	
HLA-A	protein	actual_aou_composition	GLOBAL_MEAN	22182	22182	0.9999999999999997	
HLA-A	protein	equal_allocation	AFR	22182	3168	0.9989999812383653	
HLA-A	protein	equal_allocation	AMR	22182	2994	1.0000000000000002	
HLA-A	protein	equal_allocation	EAS	22182	2383	1.0000000000000004	
HLA-A	protein	equal_allocation	EUR	22182	2423	1.0000000000000002	
HLA-A	protein	equal_allocation	MID	22182	575	0.9999999999999998	
HLA-A	protein	equal_allocation	SAS	22182	2192	1.0000000000000002	
HLA-A	protein	equal_allocation	UNASSIGNED	22182	3168	0.9982633360668025	
HLA-A	protein	equal_allocation	GLOBAL_MEAN	22182	16903	0.9992332432955822	
HLA-A	protein	94pct_eur_ukb_like	AFR	22182	3293	0.9991219992430401	
HLA-A	protein	94pct_eur_ukb_like	AMR	22182	2994	1.0000000000000002	
HLA-A	protein	94pct_eur_ukb_like	EAS	22182	2383	1.0000000000000004	
HLA-A	protein	94pct_eur_ukb_like	EUR	22182	2423	1.0000000000000002	
HLA-A	protein	94pct_eur_ukb_like	MID	22182	575	0.9999999999999998	
HLA-A	protein	94pct_eur_ukb_like	SAS	22182	2192	1.0000000000000002	
HLA-A	protein	94pct_eur_ukb_like	UNASSIGNED	22182	3293	0.9983281738379509	
HLA-A	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22182	17153	0.9992782627994434	
HLA-A	protein	greedy_max_mean_coverage	AFR	22182	4294	0.9999999999999996	
HLA-A	protein	greedy_max_mean_coverage	AMR	22182	2994	1.0000000000000002	
HLA-A	protein	greedy_max_mean_coverage	EAS	22182	2383	1.0000000000000004	
HLA-A	protein	greedy_max_mean_coverage	EUR	22182	2423	1.0000000000000002	
HLA-A	protein	greedy_max_mean_coverage	MID	22182	575	0.9999999999999998	
HLA-A	protein	greedy_max_mean_coverage	SAS	22182	2192	1.0000000000000002	
HLA-A	protein	greedy_max_mean_coverage	UNASSIGNED	22182	7321	0.9999999999999989	
HLA-A	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22182	22182	0.9999999999999997	
HLA-B	protein	actual_aou_composition	AFR	22182	4322	0.9999999999999999	
HLA-B	protein	actual_aou_composition	AMR	22182	2974	1.0000000000000002	
HLA-B	protein	actual_aou_composition	EAS	22182	2364	1.0	
HLA-B	protein	actual_aou_composition	EUR	22182	2430	1.0000000000000002	
HLA-B	protein	actual_aou_composition	MID	22182	580	0.9999999999999996	
HLA-B	protein	actual_aou_composition	SAS	22182	2180	0.9999999999999997	
