gene	resolution	ancestry	n_haplotypes	frac_in_imgt_today
HLA-A	protein	AFR	4294	0.9983698183511877
HLA-A	protein	AMR	2994	1.0
HLA-A	protein	EAS	2383	0.9983214435585397
HLA-A	protein	EUR	2423	0.9991745769706974
HLA-A	protein	MID	575	0.9965217391304347
HLA-A	protein	SAS	2192	0.9986313868613139
HLA-A	protein	UNASSIGNED	7321	0.9993170331921869
HLA-B	protein	AFR	4322	0.997686256362795
HLA-B	protein	AMR	2974	0.9993275050437121
HLA-B	protein	EAS	2364	0.9978849407783418
HLA-B	protein	EUR	2430	0.9987654320987654
HLA-B	protein	MID	580	0.996551724137931
HLA-B	protein	SAS	2180	0.9986238532110092
HLA-B	protein	UNASSIGNED	7332	0.9976813966175668
HLA-C	protein	AFR	4356	0.998852157943067
HLA-C	protein	AMR	2946	0.9989816700610998
HLA-C	protein	EAS	2349	0.9987228607918263
HLA-C	protein	EUR	2408	0.9979235880398671
HLA-C	protein	MID	567	0.9982363315696648
HLA-C	protein	SAS	2153	0.9995355318160706
HLA-C	protein	UNASSIGNED	7285	0.9982155113246397
HLA-DMA	protein	AFR	4398	0.9936334697589814
HLA-DMA	protein	AMR	3004	0.9970039946737683
HLA-DMA	protein	EAS	2438	0.9950779327317474
HLA-DMA	protein	EUR	2455	0.9967413441955193
HLA-DMA	protein	MID	588	0.9931972789115646
HLA-DMA	protein	SAS	2208	0.9950181159420289
HLA-DMA	protein	UNASSIGNED	7485	0.9974615898463594
HLA-DMB	protein	AFR	4414	0.9986406887177164
HLA-DMB	protein	AMR	3020	0.997682119205298
HLA-DMB	protein	EAS	2428	0.9810543657331137
HLA-DMB	protein	EUR	2473	0.9987868985038415
HLA-DMB	protein	MID	583	1.0
HLA-DMB	protein	SAS	2211	0.9900497512437811
HLA-DMB	protein	UNASSIGNED	7459	0.9974527416543773
HLA-DOA	protein	AFR	4430	0.9972911963882618
HLA-DOA	protein	AMR	3016	0.996684350132626
HLA-DOA	protein	EAS	2426	0.9975267930750206
HLA-DOA	protein	EUR	2462	1.0
HLA-DOA	protein	MID	579	0.9965457685664939
HLA-DOA	protein	SAS	2216	0.9963898916967509
HLA-DOA	protein	UNASSIGNED	7482	0.9973269179363806
HLA-DOB	protein	AFR	4467	0.9966420416386836
HLA-DOB	protein	AMR	3044	0.9967148488830486
HLA-DOB	protein	EAS	2466	0.9991889699918897
HLA-DOB	protein	EUR	2475	0.9963636363636363
HLA-DOB	protein	MID	588	1.0
HLA-DOB	protein	SAS	2235	0.9982102908277405
HLA-DOB	protein	UNASSIGNED	7505	0.9984010659560293
HLA-DPA1	protein	AFR	4413	0.9993201903467029
HLA-DPA1	protein	AMR	3006	0.9993346640053227
HLA-DPA1	protein	EAS	2433	0.998766954377312
HLA-DPA1	protein	EUR	2452	0.9995921696574225
HLA-DPA1	protein	MID	585	0.9982905982905983
HLA-DPA1	protein	SAS	2201	1.0
HLA-DPA1	protein	UNASSIGNED	7454	0.9990609068956265
HLA-DPA2	protein	UNASSIGNED	<20	1.0
HLA-DPB1	protein	AFR	4339	0.9986171929015902
HLA-DPB1	protein	AMR	2949	0.9993218040013564
HLA-DPB1	protein	EAS	2380	0.9987394957983193
HLA-DPB1	protein	EUR	2401	0.9991670137442732
HLA-DPB1	protein	MID	576	1.0
HLA-DPB1	protein	SAS	2175	0.999080459770115
HLA-DPB1	protein	UNASSIGNED	7339	0.9989099332334106
HLA-DPB2	protein	AFR	<20	0.8
HLA-DPB2	protein	EAS	<20	1.0
HLA-DPB2	protein	EUR	<20	1.0
HLA-DPB2	protein	MID	<20	1.0
HLA-DPB2	protein	SAS	<20	1.0
HLA-DPB2	protein	UNASSIGNED	<20	0.7142857142857143
HLA-DQA1	protein	AFR	4363	0.9986247994499198
HLA-DQA1	protein	AMR	3019	0.999337528983107
HLA-DQA1	protein	EAS	2427	0.9987639060568603
HLA-DQA1	protein	EUR	2440	0.9987704918032787
HLA-DQA1	protein	MID	580	1.0
HLA-DQA1	protein	SAS	2214	0.998193315266486
HLA-DQA1	protein	UNASSIGNED	7399	0.9986484660089201
HLA-DQA2	protein	AFR	4457	0.9887816917208885
HLA-DQA2	protein	AMR	3048	0.9954068241469817
HLA-DQA2	protein	EAS	2445	0.9975460122699387
HLA-DQA2	protein	EUR	2468	0.9995948136142626
HLA-DQA2	protein	MID	595	1.0
HLA-DQA2	protein	SAS	2231	0.9991035410129987
HLA-DQA2	protein	UNASSIGNED	7484	0.9966595403527525
HLA-DQB1	protein	AFR	4312	0.9990723562152134
HLA-DQB1	protein	AMR	2960	0.9996621621621622
HLA-DQB1	protein	EAS	2411	0.9987557030277893
