gene	resolution	ancestry	n_haplotypes	S_obs	f1	f2	coverage	coverage_ci_lo	coverage_ci_hi	unseen_mass	chao1_richness	chao1_is_secondary_unstable	n_for_95.0pct_coverage	n_for_95.0pct_coverage_reliable	n_more_for_95.0pct_coverage	n_for_99.0pct_coverage	n_for_99.0pct_coverage_reliable	n_more_for_99.0pct_coverage	n_for_99.9pct_coverage	n_for_99.9pct_coverage_reliable	n_more_for_99.9pct_coverage
HLA-A	protein	AFR	4440	202	161	6	0.96373934758247	0.9835618862855339	0.9885234121449555	0.03626065241752996	2361.596828078078	True	316	True	-4124	81159	False	76719	218294	False	213854
HLA-A	protein	AMR	3056	123	68	10	0.9777508331199712	0.9878948066510467	0.9931331958424747	0.02224916688002876	354.1243455497382	True	373	True	-2683	11364	False	8308	35282	False	32226
HLA-A	protein	EAS	2451	108	74	4	0.9698095737095246	0.9845011016571683	0.9906237291700362	0.030190426290475414	792.2207262341901	True	293	True	-2158	27493	False	25042	79676	False	77225
HLA-A	protein	EUR	2495	111	81	4	0.9675363557400611	0.9835744832915386	0.9899982334233912	0.03246364425993886	930.7962925851704	True	287	True	-2208	32231	False	29736	90376	False	87881
HLA-A	protein	MID	589	51	26	1	0.9558631594492888	0.9745560411097152	0.9915569840398281	0.04413684055071121	388.42614601018676	True	269	True	-320	11939	False	11350	29541	False	28952
HLA-A	protein	SAS	2245	91	55	9	0.9755046860671169	0.9866309743655621	0.9924335771599893	0.024495313932883067	258.9806978470675	True	235	True	-2010	8389	False	6144	24178	False	21933
HLA-A	protein	UNASSIGNED	7546	300	230	16	0.969520837681042	0.9862159899766356	0.9896685310301898	0.030479162318957975	1952.9059269811821	True	538	True	-7008	67984	False	60438	192853	False	185307
HLA-B	protein	AFR	4476	254	183	8	0.9591160802835433	0.9812249934289269	0.9865989749629684	0.04088391971645666	2346.5948810321715	True	1242	True	-3234	76550	False	72074	194404	False	189928
HLA-B	protein	AMR	3052	198	107	11	0.964943384752514	0.9819839581038898	0.9888745400461685	0.035056615247486045	718.2385767901823	True	993	True	-2059	21667	False	18615	55836	False	52784
HLA-B	protein	EAS	2446	167	104	5	0.9574832746601435	0.9795535913782726	0.9869365766078171	0.04251672533985651	1248.1578086672118	True	957	True	-1489	39249	False	36803	97801	False	95355
HLA-B	protein	EUR	2493	133	84	9	0.9663085529454097	0.9819445717516517	0.9895756812037477	0.03369144705459026	524.8427597272363	True	478	True	-2015	16620	False	14127	43398	False	40905
HLA-B	protein	MID	593	76	30	2	0.9494211724035537	0.9679879880059808	0.9849658240477958	0.050578827596446274	300.6205733558179	True	645	True	52	7791	False	7198	18016	False	17423
HLA-B	protein	SAS	2239	128	75	6	0.9665052976985194	0.9830353089153581	0.9906391075976202	0.03349470230148055	596.5406431442609	True	498	True	-1741	19148	False	16909	51357	False	49118
HLA-B	protein	UNASSIGNED	7572	408	298	16	0.9606450378492328	0.9825696190365856	0.9863993825677679	0.03935496215076717	3182.7585017168517	True	1842	True	-5730	104168	False	96596	266512	False	258940
HLA-C	protein	AFR	4496	200	163	6	0.9637461453712639	0.9833216567219661	0.9886599548006361	0.03625385462873609	2413.5908770759193	True	308	True	-4188	83136	False	78640	223727	False	219231
HLA-C	protein	AMR	3051	155	115	4	0.9623082998659443	0.981968808102137	0.9885337488202576	0.03769170013405565	1807.5831694526385	True	489	True	-2562	61226	False	58175	162182	False	159131
HLA-C	protein	EAS	2441	134	103	2	0.9578048501917947	0.9799335941336623	0.9873185069296061	0.04219514980820527	2785.1634575993444	True	553	True	-1888	92900	False	90459	237572	False	235131
HLA-C	protein	EUR	2481	115	90	2	0.9637249548062561	0.9822704149306645	0.9895272006688477	0.036275045193743916	2139.1837968561067	True	256	True	-2225	74383	False	71902	202868	False	200387
HLA-C	protein	MID	579	45	17	3	0.970656950411121	0.9792922259754823	0.9948544106723357	0.02934304958887901	93.08347725964308	True	200	True	-379	2343	False	1764	6115	False	5536
HLA-C	protein	SAS	2234	123	93	5	0.9583726401363947	0.978967095380429	0.9879225090031543	0.04162735986360533	987.5128469113697	True	415	True	-1819	31852	False	29618	79671	False	77437
HLA-C	protein	UNASSIGNED	7568	359	309	10	0.9591705395127861	0.982160315934266	0.9865280537089699	0.04082946048721392	5132.419179439747	True	688	True	-6880	172041	False	164473	441237	False	433669
HLA-DMA	protein	AFR	4486	94	82	5	0.9817214065077527	0.9910785132495711	0.9944408182895293	0.018278593492247253	766.2501114578689	True	17	True	-4469	26669	False	22183	111352	False	106866
HLA-DMA	protein	AMR	3055	58	50	3	0.9836340309523238	0.9914824750941851	0.9957556490480536	0.016365969047676177	474.5302782324059	True	20	True	-3035	15593	False	12538	74195	False	71140
HLA-DMA	protein	EAS	2471	41	33	3	0.9866460659534599	0.9919080765357053	0.9971700849334602	0.013353934046540061	222.426547956293	True	12	True	-2459	6401	False	3930	37683	False	35212
HLA-DMA	protein	EUR	2504	58	52	1	0.9792335459380481	0.9900175697154107	0.9948233276831383	0.020766454061951878	1409.4600638977636	True	32	True	-2472	50061	False	47557	199910	False	197406
HLA-DMA	protein	MID	593	<20	6	0	0.9898876500458833	0.9915739900459217	1.0	0.010112349954116695	25.97470489038786	True	17	True	-576	613	True	20	4704	False	4111
HLA-DMA	protein	SAS	2247	48	40	3	0.9821996756730978	0.9906442981030362	0.995554777462629	0.01780032432690215	314.5479899124759	True	21	True	-2226	10882	False	8635	45360	False	43113
HLA-DMA	protein	UNASSIGNED	7606	125	114	5	0.9850120056414968	0.9927662064406242	0.995402754975706	0.014987994358503176	1424.4291348935053	True	20	True	-7586	42690	False	35084	242318	False	234712
HLA-DMB	protein	AFR	4477	69	60	2	0.9865983680236183	0.9932943009521134	0.9966503453424035	0.013401631976381667	968.7989725262452	True	27	True	-4450	24136	False	19659	178732	False	174255
HLA-DMB	protein	AMR	3072	62	56	0	0.9817710453275031	0.9912126331458828	0.99511973542907	0.018228954672496855	1601.4986979166665	True	35	True	-3037	54702	False	51630	252698	False	249626
HLA-DMB	protein	EAS	2475	63	52	1	0.9789902256140888	0.9899025815433884	0.9943480116115485	0.02100977438591123	1414.4537373737373	True	50	True	-2425	50230	False	47755	198343	False	195868
HLA-DMB	protein	EUR	2514	48	41	1	0.9836916451257246	0.9916381472883479	0.9960257624023493	0.0163083548742754	888.1656722354813	True	35	True	-2479	27711	False	25197	146333	False	143819
HLA-DMB	protein	MID	589	<20	6	1	0.9898190143182135	0.9915168065335594	0.9983305983158349	0.010180985681786492	29.96943972835314	True	18	True	-571	621	True	32	4684	False	4095
HLA-DMB	protein	SAS	2249	49	42	0	0.9813254289287994	0.9906526366655662	0.9960021734153226	0.01867457107120063	909.6171631836372	True	30	True	-2219	31735	False	29486	140436	False	138187
HLA-DMB	protein	UNASSIGNED	7600	147	130	10	0.9828950831410487	0.9917113565011607	0.994606232640311	0.017104916858951325	991.8888157894737	True	32	True	-7568	34114	False	26514	147848	False	140248
HLA-DOA	protein	AFR	4540	105	91	6	0.979956529444345	0.990078174545736	0.9938348329805274	0.02004347055565503	794.931332599119	True	2	True	-4538	28474	False	23934	107732	False	103192
HLA-DOA	protein	AMR	3078	68	58	2	0.9811570175238353	0.990571663957453	0.9951290485185477	0.01884298247616467	908.7267706302795	True	2	True	-3076	31346	False	28268	134080	False	131002
HLA-DOA	protein	EAS	2479	50	41	4	0.9834623752141257	0.9911264304320483	0.9967751940941587	0.016537624785874283	260.0402379991932	True	2	True	-2477	8868	False	6389	38112	False	35633
HLA-DOA	protein	EUR	2523	56	48	3	0.980975972630331	0.9900834914740327	0.995246922062304	0.019024027369669017	439.8478002378121	True	2	True	-2521	15499	False	12976	61957	False	59434
HLA-DOA	protein	MID	591	<20	15	2	0.9746307556652246	0.9830852600368913	0.9949942495823834	0.025369244334775387	75.15482233502539	True	17	True	-574	2652	False	2061	7747	False	7156
HLA-DOA	protein	SAS	2250	38	28	4	0.9875571363042941	0.9928789929214167	0.9973475828674463	0.012442863695705908	135.95644444444446	True	36	True	-2214	3971	True	1721	22097	False	19847
HLA-DOA	protein	UNASSIGNED	7636	152	134	5	0.9824517168340614	0.9916160983106357	0.9946313869952784	0.017548283165938594	1947.3648507071764	True	35	True	-7601	65172	False	57536	300749	False	293113
HLA-DOB	protein	AFR	4511	57	48	2	0.989359540434842	0.9944588737332354	0.9975625971816725	0.010640459565158022	632.8723121259144	True	20	True	-4491	7871	True	3360	132488	False	127977
HLA-DOB	protein	AMR	3080	47	37	2	0.9879874347654154	0.9931828619595674	0.9974130057503229	0.012012565234584605	389.13887987012987	True	33	True	-3047	8303	False	5223	73884	False	70804
HLA-DOB	protein	EAS	2483	23	16	2	0.9935568310274799	0.9959628860311234	0.9987940515613409	0.006443168972520064	86.97422472815143	True	25	True	-2458	159	True	-2324	20980	False	18497
HLA-DOB	protein	EUR	2511	49	43	0	0.9828756657897189	0.991240755257728	0.9960321937481922	0.017124334210281145	951.6403823178017	True	37	True	-2474	31540	False	29029	155801	False	153290
HLA-DOB	protein	MID	595	<20	7	0	0.9882409502262444	0.9916022936765554	1.0	0.011759049773755637	32.964705882352945	True	31	True	-564	932	True	337	5721	False	5126
HLA-DOB	protein	SAS	2254	27	22	0	0.9902399679101438	0.9946773027242837	0.9982273539242653	0.009760032089856208	257.8975155279503	True	25	True	-2229	498	True	-1756	58719	False	56465
HLA-DOB	protein	UNASSIGNED	7609	107	88	10	0.9884350938011893	0.9940833216176044	0.9964556833401199	0.011564906198810676	494.14911289262716	True	33	True	-7576	12477	True	4868	89557	False	81948
HLA-DPA1	protein	AFR	4501	115	93	9	0.9793388135587568	0.9895538125199117	0.9935592576361378	0.02066118644124315	595.3932459453455	True	62	True	-4439	21374	False	16873	74910	False	70409
HLA-DPA1	protein	AMR	3046	53	42	2	0.9862118560695388	0.9927700733291434	0.9964001186511058	0.013788143930461239	493.8552199606041	True	30	True	-3016	13317	False	10271	86938	False	83892
HLA-DPA1	protein	EAS	2463	44	36	3	0.9853846678351963	0.9922767106086094	0.9967545731953606	0.014615332164803707	259.9123020706455	True	25	True	-2438	8069	False	5606	42084	False	39621
HLA-DPA1	protein	EUR	2500	58	52	0	0.9792003201231243	0.9896019204136276	0.9952029034001277	0.0207996798768757	1383.4696000000001	True	25	True	-2475	50085	False	47585	199694	False	197194
HLA-DPA1	protein	MID	594	<20	11	2	0.9814928303514178	0.9864955745184427	0.9983279176442404	0.018507169648582233	48.199074074074076	True	40	True	-554	1599	False	1005	5355	False	4761
HLA-DPA1	protein	SAS	2238	49	42	0	0.9812336434475004	0.9906066895400382	0.9959821843224507	0.018766356552499586	909.6152815013405	True	33	True	-2205	31810	False	29572	139980	False	137742
HLA-DPA1	protein	UNASSIGNED	7591	148	123	9	0.9837969136471845	0.9920967664287336	0.9948665656903587	0.016203086352815532	988.3892767751283	True	63	True	-7528	32623	False	25032	152047	False	144456
HLA-DPA2	protein	AFR	4438	106	86	2	0.9806221048897205	0.9905377983261742	0.9941497525329729	0.01937789511027954	1954.5833708877874	True	87	True	-4351	67548	False	63110	287205	False	282767
HLA-DPA2	protein	AMR	3026	61	40	3	0.9867818847894003	0.9924013693274721	0.9970284016506976	0.013218115210599679	327.57854152897113	True	88	True	-2938	8653	False	5627	55090	False	52064
HLA-DPA2	protein	EAS	2407	62	47	6	0.9804756904868978	0.9896160351723937	0.994615293836085	0.019524309513102245	246.00685500623183	True	44	True	-2363	8713	False	6306	30412	False	28005
HLA-DPA2	protein	EUR	2479	62	52	1	0.9790241254901069	0.989110464601297	0.9943574490596876	0.020975874509893133	1413.4546187979024	True	58	True	-2421	50207	False	47728	198559	False	196080
HLA-DPA2	protein	MID	586	23	13	2	0.9778273617958256	0.9846474701454286	0.9966103524115937	0.022172638204174366	65.17790102389078	True	56	True	-530	2101	False	1515	6480	False	5894
HLA-DPA2	protein	SAS	2229	42	30	2	0.986541855192778	0.992362528964763	0.9968631986007427	0.013458144807221961	266.89905787348584	True	37	True	-2192	7193	False	4964	45670	False	43441
HLA-DPA2	protein	UNASSIGNED	7531	155	130	5	0.9827381925385317	0.9916355248047865	0.9948224688566444	0.017261807461468326	1844.7755942105964	True	94	True	-7437	60971	False	53440	286372	False	278841
HLA-DPB1	protein	AFR	4465	182	131	8	0.9706614970058963	0.9854447320303158	0.9905972187485873	0.029338502994103677	1254.3222844344905	True	496	True	-3969	43804	False	39339	127963	False	123498
HLA-DPB1	protein	AMR	3024	118	78	8	0.9742080993374408	0.9861050259153469	0.9924061372271336	0.02579190066255921	498.12425595238096	True	309	True	-2715	16988	False	13964	50923	False	47899
HLA-DPB1	protein	EAS	2436	85	58	1	0.9761908133594437	0.9872670079978988	0.9938460880471052	0.023809186640556312	1766.3095238095239	True	156	True	-2280	63694	False	61258	226293	False	223857
HLA-DPB1	protein	EUR	2470	92	67	3	0.9728754777512219	0.9862390716921348	0.9927288569157826	0.02712452224877815	839.8637651821863	True	198	True	-2272	29982	False	27512	93467	False	90997
HLA-DPB1	protein	MID	589	38	22	2	0.9626601029172123	0.9779402362702545	0.9932490129695302	0.03733989708278773	158.79456706281832	True	182	True	-407	4851	False	4262	12299	False	11710
HLA-DPB1	protein	SAS	2218	74	48	4	0.9783605086603583	0.9882825758902701	0.994143750652201	0.021639491339641714	361.87015329125336	True	164	True	-2054	12487	False	10269	43117	False	40899
HLA-DPB1	protein	UNASSIGNED	7532	232	173	14	0.9770318265913224	0.9889781630229465	0.9925663618696433	0.022968173408677628	1300.7509435930506	True	324	True	-7208	46224	False	38692	153367	False	145835
HLA-DPB2	protein	AFR	4391	134	106	8	0.9758605430475094	0.9881538855666198	0.9924867047336094	0.024139456952490645	836.0900705989524	True	171	True	-4220	30022	False	25631	96991	False	92600
HLA-DPB2	protein	AMR	2988	74	55	4	0.9815939351211846	0.9902960797254061	0.994990968469705	0.018406064878815354	451.99845214190094	True	99	True	-2889	15517	False	12529	62804	False	59816
HLA-DPB2	protein	EAS	2412	68	53	3	0.9780275657036065	0.9892236324434488	0.9937862833556476	0.021972434296393506	535.9725677169706	True	104	True	-2308	19178	False	16766	68218	False	65806
HLA-DPB2	protein	EUR	2439	89	77	2	0.9684303569717634	0.9844142930950569	0.99139465374254	0.031569643028236616	1570.6422714227142	True	107	True	-2332	56393	False	53954	164458	False	162019
HLA-DPB2	protein	MID	579	20	10	2	0.9827407869245635	0.987916163209022	0.998279134573887	0.01725921307543654	44.95682210708118	True	55	True	-524	1368	False	789	4697	False	4118
HLA-DPB2	protein	SAS	2222	68	53	4	0.9761492357049094	0.986503875734567	0.9932697629268813	0.023850764295090587	418.9669779477948	True	67	True	-2155	15013	False	12791	48895	False	46673
HLA-DPB2	protein	UNASSIGNED	7417	227	185	16	0.9750578825527794	0.9880019908261196	0.9917806207262146	0.024942117447220635	1296.3870500202238	True	195	True	-7222	46603	False	39186	145325	False	137908
HLA-DQA1	protein	AFR	4454	118	101	2	0.9773239556045891	0.9890009666568234	0.9932665983114751	0.022676044395410933	2667.677424786709	True	62	True	-4392	96511	False	92057	355411	False	350957
HLA-DQA1	protein	AMR	3057	56	39	2	0.9872428226550855	0.9928055368676292	0.9970568200094355	0.01275717734491455	436.12561334641805	True	49	True	-3008	10313	False	7256	78922	False	75865
HLA-DQA1	protein	EAS	2461	55	38	1	0.9845594526577555	0.9922812125847716	0.9967532648344504	0.015440547342244537	776.7066233238521	True	60	True	-2401	22766	False	20305	130390	False	127929
HLA-DQA1	protein	EUR	2475	57	39	2	0.9842430774738786	0.9915073689360077	0.9963669160243003	0.015756922526121375	437.09636363636366	True	56	True	-2419	13444	False	10969	68987	False	66512
HLA-DQA1	protein	MID	589	27	13	0	0.9779344659946255	0.9864234293972871	0.9966274995939488	0.022065534005374476	104.86757215619694	True	68	True	-521	3615	False	3026	12416	False	11827
HLA-DQA1	protein	SAS	2244	51	36	0	0.9839576165957518	0.9919690876944587	0.9964389166407231	0.01604238340424824	680.7192513368984	True	64	True	-2180	21327	False	19083	114293	False	112049
HLA-DQA1	protein	UNASSIGNED	7517	153	129	2	0.9828389692957007	0.9917495533283655	0.9948162094995404	0.017161030704299307	4312.69655447652	True	74	True	-7443	138422	False	130905	696550	False	689033
HLA-DQA2	protein	AFR	4514	71	57	2	0.9873728148680999	0.9933550895024634	0.9964628598297804	0.012627185131900087	883.0700598139123	True	31	True	-4483	19516	False	15002	167597	False	163083
HLA-DQA2	protein	AMR	3075	43	31	5	0.9899197569915764	0.9941480283523302	0.9974002874009832	0.010080243008423584	139.06874796747968	True	39	True	-3036	3152	True	77	25095	False	22020
HLA-DQA2	protein	EAS	2475	38	33	1	0.986666993287933	0.9927288973445256	0.997174335943643	0.013333006712067053	582.28	True	21	True	-2454	14218	False	11743	108213	False	105738
HLA-DQA2	protein	EUR	2515	49	43	1	0.9829029008072485	0.9908570765753265	0.996027988440542	0.017097099192751486	973.1324055666004	True	24	True	-2491	31505	False	28990	155963	False	153448
HLA-DQA2	protein	MID	597	<20	2	0	0.9966555277784792	0.9966136518099513	1.0	0.003344472221520789	8.998324958123954	True	25	True	-572	130	True	-467	1318	False	721
HLA-DQA2	protein	SAS	2254	30	25	0	0.9889090007425742	0.9937915459843124	0.997784484630703	0.011090999257425849	329.86690328305235	True	19	True	-2235	5171	False	2917	70018	False	67764
HLA-DQA2	protein	UNASSIGNED	7598	124	108	6	0.9857859409775969	0.9931569251797737	0.9957890599537549	0.014214059022403136	1095.8720715977888	True	40	True	-7558	31642	False	24044	189078	False	181480
HLA-DQB1	protein	AFR	4446	146	114	9	0.9743598851439434	0.9871818953316256	0.9914563373960197	0.02564011485605655	867.8376068376069	True	123	True	-4323	30954	False	26508	95777	False	91331
HLA-DQB1	protein	AMR	3036	89	68	3	0.977602759182568	0.9891332503399259	0.9934158828635766	0.022397240817431996	859.4128238910848	True	110	True	-2926	30773	False	27737	109975	False	106939
HLA-DQB1	protein	EAS	2455	59	42	0	0.982892388993935	0.9910298658257047	0.9959401888555046	0.01710761100606495	919.6492871690427	True	72	True	-2383	30126	False	27671	148789	False	146334
HLA-DQB1	protein	EUR	2477	64	45	1	0.9818331884295292	0.9899097457333788	0.9955627283518459	0.018166811570470842	1076.091239402503	True	76	True	-2401	35737	False	33260	164015	False	161538
HLA-DQB1	protein	MID	589	38	20	2	0.9660556882988531	0.979595728008735	0.9949296163294714	0.03394431170114687	137.830220713073	True	132	True	-457	4183	False	3594	10954	False	10365
HLA-DQB1	protein	SAS	2237	64	44	3	0.9803319996421601	0.9897207713340809	0.9946404666341483	0.019668000357839888	386.5224258679779	True	75	True	-2162	13329	False	11092	51087	False	48850
HLA-DQB1	protein	UNASSIGNED	7494	208	178	6	0.9762478785001761	0.9891925933112734	0.9922654757973464	0.023752121499823864	2847.9810070278445	True	101	True	-7393	103646	False	96152	359571	False	352077
HLA-DQB2	protein	AFR	4494	85	72	1	0.9839787372350084	0.9917675900369193	0.995551109467186	0.016021262764991606	2676.4232309746326	True	66	True	-4428	80732	False	76238	453171	False	448677
HLA-DQB2	protein	AMR	3078	69	55	4	0.9821320987043874	0.9908884491889524	0.9954535022350436	0.017867901295612554	447.0021523716699	True	38	True	-3040	15357	False	12279	64068	False	60990
HLA-DQB2	protein	EAS	2474	38	29	2	0.9882787459088329	0.9931311264331818	0.9975773981720791	0.011721254091167088	248.16501616814875	True	35	True	-2439	5322	False	2848	46607	False	44133
HLA-DQB2	protein	EUR	2503	49	38	4	0.9848194954746408	0.9916129012825343	0.9968064201170224	0.01518050452535924	229.4278865361566	True	35	True	-2468	7465	False	4962	34831	False	32328
HLA-DQB2	protein	MID	592	20	10	1	0.9831138225505613	0.9881813892897487	0.9983333709335379	0.016886177449438655	69.91554054054055	True	67	True	-525	2141	False	1549	8946	False	8354
HLA-DQB2	protein	SAS	2258	56	44	4	0.9805152986016915	0.9898170940211272	0.9951441891359424	0.01948470139830849	297.8928255093002	True	40	True	-2218	10539	False	8281	39123	False	36865
HLA-DQB2	protein	UNASSIGNED	7599	146	122	10	0.9839456023443687	0.9924930263730093	0.9948686522900271	0.016054397655631325	890.1020660613239	True	68	True	-7531	29541	False	21942	136262	False	128663
HLA-DRA	protein	AFR	4434	114	102	6	0.9769965509469126	0.9887254255248724	0.9927852855875824	0.023003449053087377	980.8044654939107	True	18	True	-4416	35825	False	31391	122589	False	118155
HLA-DRA	protein	AMR	3039	66	60	2	0.9802570966195466	0.9901302755276836	0.9947467841370324	0.01974290338045337	965.7038499506416	True	7	True	-3032	34037	False	30998	138967	False	135928
HLA-DRA	protein	EAS	2441	60	55	1	0.977468586505496	0.9889422911880343	0.994678675547172	0.02253141349450405	1571.8803768947153	True	18	True	-2423	56949	False	54508	211454	False	209013
HLA-DRA	protein	EUR	2481	53	47	2	0.9810566758758071	0.9903287560797162	0.9955796691643789	0.018943324124192862	605.0274083031036	True	6	True	-2475	21098	False	18617	88197	False	85716
HLA-DRA	protein	MID	586	<20	5	0	0.9914734069409091	0.9931798905867917	1.0	0.00852659305909087	17.982935153583618	True	7	True	-579	272	True	-314	3722	False	3136
HLA-DRA	protein	SAS	2210	43	38	2	0.9828062491800105	0.9904876951636875	0.996384591345994	0.01719375081998953	403.8366515837104	True	8	True	-2202	13584	False	11374	61906	False	59696
HLA-DRA	protein	UNASSIGNED	7502	163	144	10	0.9808054740418275	0.9909369187373409	0.9938694051461293	0.019194525958172504	1199.6617968541723	True	10	True	-7492	42718	False	35216	167075	False	159573
HLA-DRB1	protein	AFR	4411	154	108	9	0.9755166813598736	0.9879872514383202	0.9923005426588623	0.024483318640126428	801.8530945363863	True	243	True	-4168	28104	False	23693	89032	False	84621
HLA-DRB1	protein	AMR	3003	114	63	3	0.9790216445568264	0.989347493450784	0.9940095581596684	0.020978355443173613	775.2797202797203	True	249	True	-2754	26358	False	23355	98939	False	95936
HLA-DRB1	protein	EAS	2428	110	69	9	0.9715846028692605	0.984754573167975	0.9917685419401775	0.028415397130739484	374.39106260296535	True	295	True	-2133	12145	False	9717	33568	False	31140
HLA-DRB1	protein	EUR	2455	113	76	6	0.9690447615726846	0.9841075537077767	0.9906376926844145	0.0309552384273154	594.1372708757638	True	309	True	-2146	20018	False	17563	55806	False	53351
HLA-DRB1	protein	MID	579	46	13	5	0.9775773368628564	0.981025452714996	0.99486617168409	0.022422663137143584	62.87081174438688	True	225	True	-354	1187	False	608	2918	False	2339
HLA-DRB1	protein	SAS	2207	89	45	6	0.9796127952208411	0.9886640147789193	0.9941158372920494	0.020387204779158896	257.67353874037155	True	300	True	-1907	8101	False	5894	27150	False	24943
HLA-DRB1	protein	UNASSIGNED	7404	214	152	10	0.9794709213343381	0.9904081618365013	0.9933833082336978	0.020529078665661893	1369.0439762290653	True	274	True	-7130	47872	False	40468	177423	False	170019
HLA-DRB3	protein	AFR	2230	47	43	0	0.9807178911410872	0.9905841565104293	0.9955324615203855	0.019282108858912794	949.595067264574	True	17	True	-2213	33697	False	31467	144046	False	141816
HLA-DRB3	protein	AMR	1088	28	23	1	0.9788619850912008	0.9880564995136836	0.9963320076181611	0.021138014908799185	292.2568933823529	True	20	True	-1068	10445	False	9357	39230	False	38142
HLA-DRB3	protein	EAS	935	21	17	1	0.9818204717197161	0.9882398727149938	0.9978700842616558	0.018179528280283908	165.34545454545454	True	12	True	-923	5681	False	4746	23962	False	23027
HLA-DRB3	protein	EUR	979	27	23	0	0.9765087280980244	0.9877213388577751	0.9949368068897428	0.02349127190197564	279.7415730337079	True	15	True	-964	10585	False	9606	36484	False	35505
HLA-DRB3	protein	MID	287	<20	5	1	0.9826027290600121	0.9860870411247119	1.0	0.017397270939987886	22.45644599303136	True	23	True	-264	684	False	397	2331	False	2044
HLA-DRB3	protein	SAS	856	20	16	1	0.9813111435039147	0.9871576573042159	0.9976771354053466	0.018688856496085315	147.85046728971963	True	16	True	-840	5134	False	4278	20885	False	20029
HLA-DRB3	protein	UNASSIGNED	3319	59	52	2	0.9843329935274363	0.9921675862382184	0.9960853357187889	0.015667006472563694	734.7963241940344	True	20	True	-3299	22686	False	19367	122007	False	118688
HLA-DRB4	protein	AFR	787	<20	10	0	0.9872967520736516	0.9911086958127715	0.9987421544685523	0.01270324792634836	56.942820838627696	True	5	True	-782	1728	False	941	10778	False	9991
