n_alleles_a	n_alleles_b	Dprime_multi	cramers_v	cramers_v_bc	nmi	chi2	df	pair	role	ancestry	n_haplotypes_disp	low_confidence
24	31	0.9054918128013392	0.510540012094825	0.5048043865433663	0.7405176897166698	24855.16797044352	690	DQA1~DQB1	ask	AFR	4146	False
21	30	0.9320674734948378	0.6149890688020216	0.6089330530909869	0.7941931114405572	22034.60517950066	580	DQA1~DQB1	ask	AMR	2913	False
19	18	0.9495421699864053	0.6789653816258526	0.6757852948228559	0.8096169000266258	18628.306119537137	306	DQA1~DQB1	ask	EAS	2377	False
21	22	0.9723622101572363	0.6235129916890473	0.6190068969320437	0.8602770667756863	18528.70436536754	420	DQA1~DQB1	ask	EUR	2383	False
18	24	0.960365895165979	0.6764143491087273	0.6554436005859744	0.8417260514006076	4379.080613351034	391	DQA1~DQB1	ask	MID	563	False
18	26	0.945556783592534	0.6477610799888681	0.6412505463505686	0.8034733345430051	15314.776616897834	425	DQA1~DQB1	ask	SAS	2147	False
29	62	0.8877959690085514	0.5477111355957891	0.5362828316677956	0.7503698214994989	35908.50232025877	1708	DPA1~DPB1	ask	AFR	4275	False
13	55	0.9436438595657817	0.7173399165646601	0.7058195654016464	0.8322831156672219	18092.511705338296	648	DPA1~DPB1	ask	AMR	2930	False
12	34	0.8674801198406458	0.6130146824915199	0.6029427264464171	0.7356737163656475	9792.633457760716	363	DPA1~DPB1	ask	EAS	2369	False
9	32	0.9344020056017504	0.7179538050671036	0.7099545815257533	0.8084971060367953	9740.088060710445	248	DPA1~DPB1	ask	EUR	2362	False
8	25	0.8372424838231842	0.5781555356483765	0.5438038483421117	0.688002239711546	1333.7126553694359	168	DPA1~DPB1	ask	MID	570	False
12	36	0.843468823559254	0.5671283612090676	0.5539715260495751	0.7006080479240729	7588.967869978872	385	DPA1~DPB1	ask	SAS	2145	False
54	31	0.8711754105646833	0.5246903445137564	0.5135114322180605	0.7197356206615564	32094.469060034924	1590	DRB1~DQB1	control_high	AFR	3886	False
60	30	0.9086920500823604	0.5871520972900908	0.5714821550936365	0.8058353488561069	27283.668652354678	1711	DRB1~DQB1	control_high	AMR	2729	False
53	18	0.9134016677371385	0.752624440439836	0.7397720699898124	0.8065148870133269	21444.986296883315	884	DRB1~DQB1	control_high	EAS	2227	False
47	23	0.9400880998606633	0.6981920297241302	0.6864898669934945	0.8435985447537785	23593.650141922553	1012	DRB1~DQB1	control_high	EUR	2200	False
35	24	0.9490549333456697	0.6868868232273732	0.6530120254172549	0.8461002149959743	5794.813504315107	782	DRB1~DQB1	control_high	MID	534	False
53	25	0.9385918889949958	0.6552762455242307	0.6392035770658211	0.808958579796213	20909.42730425197	1248	DRB1~DQB1	control_high	SAS	2029	False
90	55	0.8567647913955714	0.5192158747188242	0.49972314735935186	0.7000400079339296	55362.54034989767	4806	B~C	control_high	AFR	3803	False
113	48	0.8659849413678096	0.5910184230345832	0.558951436067738	0.7143207835067765	43341.48849152871	5264	B~C	control_high	AMR	2640	False
80	37	0.8528980322926928	0.651391780698828	0.6270773366521757	0.72422434336892	31879.352982408236	2844	B~C	control_high	EAS	2087	False
69	37	0.8929620077975068	0.6750114292783339	0.6565951317561965	0.7629602173341603	35118.94175619508	2448	B~C	control_high	EUR	2141	False
57	33	0.9213150982614391	0.7150549511903317	0.6546383900802771	0.8038119854883383	8377.197907506095	1792	B~C	control_high	MID	512	False
64	42	0.8949052962533279	0.6631012316425622	0.644850886974012	0.7727759648675966	34721.606318788945	2583	B~C	control_high	SAS	1926	False
39	66	0.4322085031843874	0.31870684055761184	0.2050396296802993	0.22112572881091522	4114.561626239454	2470	A~B	control_weak	AFR	1066	False
52	90	0.487581398396689	0.3173167975368462	0.1884858760879109	0.30512904800381774	6876.015995484433	4539	A~B	control_weak	AMR	1339	False
28	65	0.48964550024983766	0.48377985287278547	0.37766540020697265	0.34101182477496383	4164.326138989609	1728	A~B	control_weak	EAS	659	False
28	47	0.433471165619701	0.34820854638285015	0.2509175134684489	0.2542983443167907	2491.30714338156	1242	A~B	control_weak	EUR	761	False
24	41	0.7130363430236931	0.5057822796659738	0.17285936384100403	0.5060751198045816	1029.6582505570398	920	A~B	control_weak	MID	175	False
32	50	0.47741605169637946	0.39686961456495673	0.2916560332593027	0.287214799963411	3129.791610964269	1519	A~B	control_weak	SAS	641	False
