rarefied_to	n_reps	Dprime_multi_mean	Dprime_multi_lo	Dprime_multi_hi	cramers_v_mean	cramers_v_lo	cramers_v_hi	cramers_v_bc_mean	cramers_v_bc_lo	cramers_v_bc_hi	nmi_mean	nmi_lo	nmi_hi	n_alleles_a_mean	n_alleles_a_lo	n_alleles_a_hi	n_alleles_b_mean	n_alleles_b_lo	n_alleles_b_hi	pair	role	ancestry
563	500	0.9082310375536262	0.8895396448626569	0.9252714567349786	0.6505517401373463	0.5915487702488249	0.7229122796998578	0.6322697196249962	0.5719237795690185	0.7058648176249847	0.7548390937217745	0.7315887120329243	0.7805953207987676	15.298	13.0	18.0	19.814	17.0	23.0	DQA1~DQB1	ask	AFR
563	500	0.9363405210140326	0.92060539133557	0.9508843762412664	0.7382549278889445	0.6747575077799187	0.7970593966812536	0.724406426551486	0.6575613091869363	0.785207843932825	0.8091176016944128	0.7839056040540857	0.835734631931197	15.056	13.0	18.0	19.688	17.0	23.0	DQA1~DQB1	ask	AMR
563	500	0.9509669737261686	0.9405987300404617	0.961400615647278	0.7247429677119007	0.6899598763429836	0.7600087937865712	0.7144662908681777	0.6773914117016807	0.7514082255381184	0.8164636336628806	0.7949829849387092	0.8385978028948488	16.578	15.0	18.0	16.37	15.0	18.0	DQA1~DQB1	ask	EAS
563	500	0.9737482129340304	0.9638393101597744	0.9834424227089109	0.7216575166199742	0.6720463049316182	0.7821260485062551	0.7100648265536588	0.6584675390140524	0.7723443299679867	0.8687226532287886	0.847840016375407	0.8902943762233102	16.246	14.0	19.0	17.612	15.0	20.0	DQA1~DQB1	ask	EUR
563	500	0.9603658951659787	0.960365895165979	0.960365895165979	0.6764143491087271	0.6764143491087273	0.6764143491087273	0.6554436005859744	0.6554436005859744	0.6554436005859744	0.8417260514006076	0.8417260514006076	0.8417260514006076	18.0	18.0	18.0	24.0	24.0	24.0	DQA1~DQB1	ask	MID
563	500	0.9469364899870774	0.933626660694623	0.9588363196204572	0.698733469716431	0.6620837525167905	0.7366994466923913	0.6845688713614781	0.647717361508106	0.7235756669835925	0.8106685381963402	0.7887555024757864	0.831624936884073	15.726	14.0	17.0	18.858	16.0	22.0	DQA1~DQB1	ask	SAS
570	500	0.8924683947732273	0.8693381798625879	0.9134750602729749	0.7785194119405221	0.6820466262122638	0.8872619184025141	0.7484196543407693	0.6456991715697565	0.859696715639909	0.7678164481210867	0.731296433003022	0.8014957238377626	13.134	10.0	17.0	33.75	29.0	39.0	DPA1~DPB1	ask	AFR
570	500	0.9463328101843601	0.920150227839403	0.9724941182047331	0.8422272387277092	0.7227371476323428	0.9410535653526364	0.8135985323750895	0.6873249009056737	0.914984175852563	0.8523235295646165	0.8029051697390955	0.9032610740530606	8.45	6.0	11.0	32.758	28.0	38.0	DPA1~DPB1	ask	AMR
570	500	0.8672258808915697	0.8351478193040639	0.8987178481327033	0.7491726351557371	0.6277386162728775	0.8941440941544273	0.724031683601637	0.5988761433633075	0.8722992591944261	0.7497401013712379	0.7031289285002323	0.798689022939525	7.174	5.0	10.0	25.068	22.0	29.0	DPA1~DPB1	ask	EAS
570	500	0.9351903908651993	0.8963439649006381	0.9731892568911183	0.7692348678199221	0.6641704978288534	0.8570712766866981	0.7471676775550461	0.6360398354517304	0.8382203834420949	0.8262993530241349	0.7696629074688085	0.8821121427106289	6.644	5.0	8.0	23.074	20.0	26.0	DPA1~DPB1	ask	EUR
