gene	pct_deleted_bridged	n_bridged_disp	n_deleted_disp	gene_class
A	1.831	23271	426	classical_I
B	0.603	23039	139	classical_I
C	0.035	22883	<20	classical_I
C4A	11.025	21978	2423	complement
C4B	19.554	21407	4186	complement
DMA	0.687	23137	159	class_II_accessory
DMB	0.725	23163	168	class_II_accessory
DOA	0.696	23272	162	class_II_accessory
DOB	0.556	23187	129	class_II_accessory
DPA1	1.091	23195	253	classical_II
DPA2	0.988	23080	228	class_II_paralog
DPB1	0.996	22982	229	classical_II
DPB2	0.0	22502	0	class_II_paralog
DQA1	1.182	23088	273	classical_II
DQA2	0.651	23193	151	class_II_paralog
DQB1	1.998	23219	464	classical_II
DQB2	0.621	23175	144	class_II_paralog
DRA	1.629	23080	376	class_II_accessory
DRB1	1.647	22892	377	classical_II
DRB3	49.297	19121	9426	class_II_paralog
DRB4	69.642	20446	14239	class_II_paralog
DRB5	83.107	20588	17110	class_II_paralog
E	0.022	22718	<20	nonclassical_I
F	0.985	23040	227	nonclassical_I
G	0.88	23193	204	nonclassical_I
H	12.15	22165	2693	pseudogene_I
HFE	0.0	2968	0	other
J	0.627	23136	145	pseudogene_I
K	12.42	22061	2740	pseudogene_I
L	0.415	23110	96	pseudogene_I
MICA	4.202	22801	958	mic_tap
MICB	2.87	22895	657	mic_tap
N	0.9	23322	210	pseudogene_I
P	0.979	23191	227	pseudogene_I
S	1.354	23268	315	pseudogene_I
T	12.25	22171	2716	pseudogene_I
TAP1	1.081	22941	248	mic_tap
TAP2	0.89	23026	205	mic_tap
U	12.373	22080	2732	pseudogene_I
V	0.94	23200	218	pseudogene_I
W	2.208	23326	515	pseudogene_I
Y	81.602	20589	16801	pseudogene_I
