ancestry	gene	pct_deleted_bridged	n_bridged_disp	n_deleted_disp	gene_class
AFR	A	2.026	4540	92	classical_I
AFR	B	0.643	4511	29	classical_I
AFR	C	0.022	4501	<20	classical_I
AFR	C4A	9.767	4290	419	complement
AFR	C4B	21.658	4114	891	complement
AFR	DMA	0.839	4529	38	class_II_accessory
AFR	DMB	0.951	4523	43	class_II_accessory
AFR	DOA	0.634	4571	29	class_II_accessory
AFR	DOB	0.507	4535	23	class_II_accessory
AFR	DPA1	1.076	4553	49	classical_II
AFR	DPA2	0.906	4526	41	class_II_paralog
AFR	DPB1	0.975	4512	44	classical_II
AFR	DPB2	0.0	4398	0	class_II_paralog
AFR	DQA1	1.174	4516	53	classical_II
AFR	DQA2	0.638	4548	29	class_II_paralog
AFR	DQB1	2.091	4544	95	classical_II
AFR	DQB2	0.618	4530	28	class_II_paralog
AFR	DRA	1.684	4513	76	class_II_accessory
AFR	DRB1	1.361	4483	61	classical_II
AFR	DRB3	40.644	3757	1527	class_II_paralog
AFR	DRB4	79.553	3849	3062	class_II_paralog
AFR	DRB5	81.635	3964	3236	class_II_paralog
AFR	E	0.022	4450	<20	nonclassical_I
AFR	F	1.019	4513	46	nonclassical_I
AFR	G	0.925	4539	42	nonclassical_I
AFR	H	10.062	4333	436	pseudogene_I
AFR	HFE	0.0	267	0	other
AFR	J	0.642	4515	29	pseudogene_I
AFR	K	10.269	4314	443	pseudogene_I
AFR	L	0.221	4517	<20	pseudogene_I
AFR	MICA	4.282	4437	190	mic_tap
AFR	MICB	3.189	4484	143	mic_tap
AFR	N	0.875	4574	40	pseudogene_I
AFR	P	0.968	4546	44	pseudogene_I
AFR	S	1.315	4563	60	pseudogene_I
AFR	T	10.081	4335	437	pseudogene_I
AFR	TAP1	1.16	4484	52	mic_tap
AFR	TAP2	0.913	4493	41	mic_tap
AFR	U	10.206	4321	441	pseudogene_I
AFR	V	0.968	4546	44	pseudogene_I
AFR	W	2.895	4559	132	pseudogene_I
AFR	Y	74.838	4010	3001	pseudogene_I
AMR	A	1.639	3111	51	classical_I
AMR	B	0.682	3077	21	classical_I
AMR	C	0.065	3058	<20	classical_I
