drb1_group	expected	pct_concordant	n_disp	n_concordant_disp
01	none	97.6349302607641	1649	1610
03	DRB3	97.6056338028169	2130	2079
04	DRB4	92.19663114472327	2909	2682
07	DRB4	93.26765188834155	2436	2272
08	none	97.46031746031746	1260	1228
09	DRB4	94.15584415584415	616	580
10	none	97.13024282560707	453	440
11	DRB3	97.55624515128007	2578	2515
12	DRB3	96.97297297297297	925	897
13	DRB3	97.75365031823287	2671	2611
14	DRB3	97.88461538461539	1040	1018
15	DRB5	95.44372662359741	2941	2807
16	DRB5	96.63461538461539	416	402
