gene	n_haplotype_contigs	n_multi_copy	max_copy_seen	pct_multi_copy
C4A	20010	2972	5	14.852573713143428
C4B	17524	1818	4	10.374343757133074
DQA1	23363	550	2	2.3541497239224416
DRB1	23027	513	2	2.2278195162200896
DQB1	23255	503	2	2.162975704149645
DRA	23155	451	2	1.9477434679334917
F	23233	421	3	1.8120776481728575
DQA2	23446	408	3	1.7401688987460548
DQB2	23418	387	2	1.6525749423520368
DOB	23436	378	2	1.6129032258064515
V	23348	367	3	1.571869110844612
B	23262	363	3	1.5604849110136703
S	23298	360	3	1.545197012619109
P	23321	360	2	1.543673084344582
C	23226	351	2	1.511237406354947
J	23339	351	2	1.503920476455718
DOA	23461	351	3	1.496099910489749
DMA	23326	348	3	1.491897453485381
W	23141	336	2	1.4519683678319866
MICA	22110	317	2	1.4337403889642695
DMB	23328	333	3	1.4274691358024691
G	23318	332	2	1.4237927781113302
A	23166	327	2	1.4115514115514116
DPA2	23176	324	3	1.3979979288919573
L	23337	324	2	1.3883532587736214
TAP1	23008	315	2	1.3690890125173854
T	19696	269	3	1.3657595450852964
TAP2	23134	313	2	1.3529869456211636
DPA1	23255	313	3	1.3459471081487853
H	19708	264	3	1.3395575400852446
N	23414	303	2	1.2940975484752713
DPB1	23051	298	2	1.2927855624484839
K	19562	246	2	1.2575401288211838
U	19589	246	2	1.2558068303639798
DPB2	22762	260	2	1.1422546349178455
E	22940	228	2	0.993897122929381
MICB	22459	221	2	0.9840153167995013
DRB3	9762	71	2	0.7273099774636345
DRB4	6222	<20	2	0.2892960462873674
DRB5	3488	<20	2	0.286697247706422
Y	3794	<20	2	0.18450184501845018
HFE	2968	0	1	0.0
