gene	ancestry	field_class	n_called_lower	n_called_upper	n_censored_cells	pct_lower	pct_upper
HLA-A	AFR	f2_protein	4413.0	4489.0	1	0.0	0.43054611375481533
HLA-A	AFR	f3_synonymous	4413.0	4489.0	0	0.0	0.0
HLA-A	AFR	f4_noncoding	4413.0	4489.0	0	3.475161505903319	3.5350101971447994
HLA-A	AFR	artifact_control	4413.0	4489.0	3	2.806861216306527	4.146838885112168
HLA-A	AMR	f2_protein	3048.0	3105.0	0	0.0	0.0
HLA-A	AMR	f3_synonymous	3048.0	3105.0	1	0.0	0.6233595800524935
HLA-A	AMR	f4_noncoding	3048.0	3105.0	0	2.254428341384863	2.2965879265091864
HLA-A	AMR	artifact_control	3048.0	3105.0	2	1.7713365539452497	3.0511811023622046
HLA-A	EAS	f2_protein	2429.0	2505.0	1	0.0	0.7822149032523672
HLA-A	EAS	f3_synonymous	2429.0	2505.0	0	0.0	0.0
HLA-A	EAS	f4_noncoding	2429.0	2505.0	0	2.834331337325349	2.9230135858377935
HLA-A	EAS	artifact_control	2429.0	2505.0	3	1.996007984031936	4.405104981473857
HLA-A	EUR	f2_protein	2480.0	2556.0	1	0.0	0.7661290322580645
HLA-A	EUR	f3_synonymous	2480.0	2556.0	1	0.0	0.7661290322580645
HLA-A	EUR	f4_noncoding	2480.0	2556.0	0	2.895148669796557	2.9838709677419355
HLA-A	EUR	artifact_control	2480.0	2556.0	2	2.347417840375587	3.9516129032258065
HLA-A	MID	f2_protein	557.0	633.0	1	0.0	3.4111310592459607
HLA-A	MID	f3_synonymous	557.0	633.0	0	0.0	0.0
HLA-A	MID	f4_noncoding	557.0	633.0	1	0.0	3.4111310592459607
HLA-A	MID	artifact_control	557.0	633.0	2	0.0	6.822262118491921
HLA-A	SAS	f2_protein	2224.0	2319.0	1	0.0	0.85431654676259
HLA-A	SAS	f3_synonymous	2224.0	2319.0	1	0.0	0.85431654676259
HLA-A	SAS	f4_noncoding	2224.0	2319.0	0	2.4148339801638636	2.5179856115107913
HLA-A	SAS	artifact_control	2224.0	2319.0	3	1.6386373436826218	4.2715827338129495
HLA-B	AFR	f2_protein	4461.0	4518.0	0	0.4648074369189907	0.47074646940147946
HLA-B	AFR	f3_synonymous	4461.0	4518.0	0	0.0	0.0
HLA-B	AFR	f4_noncoding	4461.0	4518.0	0	11.48738379814077	11.634162743779422
HLA-B	AFR	artifact_control	4461.0	4518.0	3	2.83311199645861	4.147052230441605
HLA-B	AMR	f2_protein	3035.0	3092.0	1	0.0	0.6260296540362438
HLA-B	AMR	f3_synonymous	3035.0	3092.0	1	0.0	0.6260296540362438
HLA-B	AMR	f4_noncoding	3035.0	3092.0	0	9.864165588615784	10.049423393739703
HLA-B	AMR	artifact_control	3035.0	3092.0	1	2.1021992238033635	2.767710049423394
HLA-B	EAS	f2_protein	2433.0	2509.0	1	0.0	0.7809288943690916
HLA-B	EAS	f3_synonymous	2433.0	2509.0	0	0.0	0.0
HLA-B	EAS	f4_noncoding	2433.0	2509.0	0	9.166998804304503	9.453349773941635
HLA-B	EAS	artifact_control	2433.0	2509.0	3	2.949382223993623	5.384299219071106
HLA-B	EUR	f2_protein	2484.0	2560.0	1	0.0	0.7648953301127214
HLA-B	EUR	f3_synonymous	2484.0	2560.0	0	0.0	0.0
