gene	seen once	2–19 unrelated people	≥20 unrelated people	total	recurrent_2plus
TAP2	148	43	10	201	53
TAP1	95	42	9	146	51
MICB	97	5	2	104	7
MICA	80	15	0	95	15
HLA-F	62	11	1	74	12
HLA-G	61	9	0	70	9
HLA-B	59	1	0	60	1
HLA-E	55	2	0	57	2
HLA-DQB2	39	14	4	57	18
HLA-C	50	1	0	51	1
HLA-DMA	32	12	1	45	13
HLA-DRA	40	2	0	42	2
HLA-DOA	32	8	0	40	8
HLA-DMB	28	10	1	39	11
HLA-DQA1	38	0	0	38	0
HLA-DQA2	26	11	1	38	12
HLA-DRB1	33	2	0	35	2
HLA-A	34	0	0	34	0
HLA-DPB1	30	2	0	32	2
HLA-DOB	26	6	0	32	6
HLA-DQB1	30	0	0	30	0
HLA-DPA1	21	0	0	21	0
HLA-DRB3	15	0	0	15	0
HLA-DPB2	14	0	0	14	0
HLA-HFE	5	5	0	10	5
HLA-DRB5	4	1	0	5	1
HLA-DRB4	5	0	0	5	0
HLA-N	5	0	0	5	0
HLA-L	4	0	0	4	0
HLA-U	2	0	0	2	0
HLA-Y	2	0	0	2	0
HLA-V	1	0	0	1	0
