gene	ancestry	n_called_disp	f4_noncoding	f3_synonymous	f2_protein	artifact
HLA-A	AFR	2888	3.6011	0.0	0.4501	3.3587
HLA-A	AMR	2386	1.9698	0.0419	0.0	2.0536
HLA-A	EAS	2388	2.8476	0.0	0.2931	2.5963
HLA-A	EUR	1897	3.1102	0.0527	0.1581	2.952
HLA-A	MID	196	2.551	0.0	0.5102	3.5714
HLA-A	SAS	2245	2.4944	0.1336	0.1782	2.3163
HLA-B	AFR	2908	11.6231	0.0	0.447	3.0949
HLA-B	AMR	2399	9.3789	0.0	0.2918	2.4594
HLA-B	EAS	2400	9.4583	0.0	0.25	3.5833
HLA-B	EUR	1889	7.5701	0.0	0.2118	2.6469
HLA-B	MID	197	8.1218	0.0	0.0	3.0457
HLA-B	SAS	2252	10.302	0.0444	0.2664	2.6199
HLA-C	AFR	2922	8.59	0.0	0.2053	3.3196
HLA-C	AMR	2387	5.4462	0.0419	0.2095	3.3096
HLA-C	EAS	2394	8.8137	0.0	0.4177	3.7176
HLA-C	EUR	1883	5.2576	0.1062	0.3717	2.6553
HLA-C	MID	195	7.1795	0.0	0.0	2.0513
HLA-C	SAS	2247	8.0997	0.0445	0.1335	3.6048
HLA-DPA1	AFR	2907	12.5903	0.1032	0.2064	1.8576
HLA-DPA1	AMR	2377	11.9058	0.0	0.0841	1.22
HLA-DPA1	EAS	2406	13.6326	0.0	0.1247	1.1638
HLA-DPA1	EUR	1883	7.3818	0.0531	0.0531	1.6994
HLA-DPA1	MID	194	9.7938	0.5155	0.5155	2.0619
HLA-DPA1	SAS	2255	13.4368	0.0887	0.0443	1.6408
HLA-DPB1	AFR	2885	26.3085	0.0	0.1733	2.5997
HLA-DPB1	AMR	2358	12.9771	0.0	0.2545	2.5021
HLA-DPB1	EAS	2383	26.8149	0.1259	0.1679	2.4339
HLA-DPB1	EUR	1859	11.6192	0.0	0.1076	3.1737
HLA-DPB1	MID	192	19.2708	0.5208	0.0	2.0833
HLA-DPB1	SAS	2231	21.6943	0.0896	0.0896	2.017
HLA-DQA1	AFR	2926	15.9945	0.0	0.3076	2.4607
HLA-DQA1	AMR	2400	9.5833	0.0	0.2083	1.25
HLA-DQA1	EAS	2430	16.8724	0.0	0.1646	1.3992
HLA-DQA1	EUR	1903	11.6658	0.0	0.2102	1.6816
HLA-DQA1	MID	198	13.6364	0.5051	0.5051	1.5152
HLA-DQA1	SAS	2259	19.3006	0.0885	0.2213	1.3723
HLA-DQB1	AFR	2899	10.6244	0.0345	0.3449	3.415
HLA-DQB1	AMR	2383	7.8053	0.042	0.1679	2.5598
HLA-DQB1	EAS	2420	9.9174	0.0826	0.124	2.0248
HLA-DQB1	EUR	1897	6.7475	0.0	0.1054	1.8977
HLA-DQB1	MID	198	9.0909	0.0	0.0	2.0202
HLA-DQB1	SAS	2260	8.4513	0.0442	0.0885	1.9912
HLA-DRB1	AFR	2894	65.5149	0.0	0.1728	2.9371
HLA-DRB1	AMR	2350	59.9149	0.0	0.0426	2.1277
HLA-DRB1	EAS	2385	70.8176	0.0	0.0839	2.7254
HLA-DRB1	EUR	1877	44.1129	0.0	0.3729	2.9835
HLA-DRB1	MID	193	62.6943	0.0	0.0	3.6269
HLA-DRB1	SAS	2231	67.0103	0.0448	0.0896	1.9722
