gene	once	mid	high	total
TAP2	148	43	10	201
TAP1	95	42	9	146
MICB	97	5	2	104
MICA	80	15	0	95
HLA-F	62	11	1	74
HLA-G	61	9	0	70
HLA-B	59	1	0	60
HLA-DQB2	39	14	4	57
HLA-E	55	2	0	57
HLA-C	50	1	0	51
HLA-DMA	32	12	1	45
HLA-DRA	40	2	0	42
HLA-DOA	32	8	0	40
HLA-DMB	28	10	1	39
HLA-DQA1	38	0	0	38
HLA-DQA2	26	11	1	38
HLA-DRB1	33	2	0	35
HLA-A	34	0	0	34
HLA-DOB	26	6	0	32
HLA-DPB1	30	2	0	32
HLA-DQB1	30	0	0	30
HLA-DPA1	21	0	0	21
HLA-DRB3	15	0	0	15
HLA-DPB2	14	0	0	14
HLA-HFE	5	5	0	10
HLA-N	5	0	0	5
HLA-DRB4	5	0	0	5
HLA-DRB5	4	1	0	5
HLA-L	4	0	0	4
HLA-U	2	0	0	2
HLA-Y	2	0	0	2
HLA-V	1	0	0	1
