gene	category	ancestry	n_haplotypes_observed	factor	n_haplotypes_target	S_obs	extrapolated_richness	additional_alleles_projected
HLA-A	all	AFR	5948	2	11896	357	590.21	233.21
HLA-A	all	AFR	5948	5	29740	357	1089.92	732.92
HLA-A	all	AFR	5948	10	59480	357	1514.74	1157.74
HLA-A	all	AMR	5341	2	10682	326	514.22	188.22
HLA-A	all	AMR	5341	5	26705	326	902.65	576.65
HLA-A	all	AMR	5341	10	53410	326	1208.93	882.93
HLA-A	all	EAS	2884	2	5768	191	306.71	115.71
HLA-A	all	EAS	2884	5	14420	191	547.41	356.41
HLA-A	all	EAS	2884	10	28840	191	740.24	549.24
HLA-A	all	EUR	5943	2	11886	330	542.55	212.55
HLA-A	all	EUR	5943	5	29715	330	972.24	642.24
HLA-A	all	EUR	5943	10	59430	330	1297.37	967.37
HLA-A	all	MID	959	2	1918	107	160.64	53.64
HLA-A	all	MID	959	5	4795	107	258.03	151.03
HLA-A	all	MID	959	10	9590	107	317.45	210.45
HLA-A	all	SAS	2451	2	4902	146	220.74	74.74
HLA-A	all	SAS	2451	5	12255	146	362.64	216.64
HLA-A	all	SAS	2451	10	24510	146	457.31	311.31
HLA-A	all	POOLED	23571	2	47142	1015	1743.84	728.84
HLA-A	all	POOLED	23571	5	117855	1015	3467.28	2452.28
HLA-A	all	POOLED	23571	10	235710	1015	5251.77	4236.77
HLA-A	known	AFR	5553	2	11106	122	155.14	33.14
HLA-A	known	AFR	5553	5	27765	122	184.02	62.02
HLA-A	known	AFR	5553	10	55530	122	187.99	65.99
HLA-A	known	AMR	5057	2	10114	155	207.06	52.06
HLA-A	known	AMR	5057	5	25285	155	273.59	118.59
HLA-A	known	AMR	5057	10	50570	155	293.6	138.6
HLA-A	known	EAS	2715	2	5430	83	108.18	25.18
HLA-A	known	EAS	2715	5	13575	83	138.32	55.32
HLA-A	known	EAS	2715	10	27150	83	146.27	63.27
HLA-A	known	EUR	5592	2	11184	118	151.45	33.45
HLA-A	known	EUR	5592	5	27960	118	179.36	61.36
HLA-A	known	EUR	5592	10	55920	118	182.86	64.86
HLA-A	known	MID	913	2	1826	67	90.36	23.36
HLA-A	known	MID	913	5	4565	67	130.23	63.23
HLA-A	known	MID	913	10	9130	67	151.72	84.72
HLA-A	known	SAS	2322	2	4644	68	84.7	16.7
HLA-A	known	SAS	2322	5	11610	68	105.52	37.52
HLA-A	known	SAS	2322	10	23220	68	111.48	43.48
HLA-A	known	POOLED	22197	2	44394	297	393.37	96.37
HLA-A	known	POOLED	22197	5	110985	297	510.37	213.37
HLA-A	known	POOLED	22197	10	221970	297	542.09	245.09
HLA-A	novel	AFR	414	2	828	235	437.09	202.09
HLA-A	novel	AFR	414	5	2070	235	977.73	742.73
HLA-A	novel	AFR	414	10	4140	235	1694.32	1459.32
HLA-A	novel	AMR	307	2	614	171	308.08	137.08
HLA-A	novel	AMR	307	5	1535	171	665.74	494.74
HLA-A	novel	AMR	307	10	3070	171	1116.6	945.6
HLA-A	novel	EAS	171	2	342	108	199.07	91.07
HLA-A	novel	EAS	171	5	855	108	430.25	322.25
HLA-A	novel	EAS	171	10	1710	108	706.16	598.16
HLA-A	novel	EUR	375	2	750	212	393.14	181.14
HLA-A	novel	EUR	375	5	1875	212	862.04	650.04
HLA-A	novel	EUR	375	10	3750	212	1443.93	1231.93
HLA-A	novel	MID	49	2	98	40	70.16	30.16
HLA-A	novel	MID	49	5	245	40	127.27	87.27
HLA-A	novel	MID	49	10	490	40	165.17	125.17
HLA-A	novel	SAS	131	2	262	78	136.19	58.19
HLA-A	novel	SAS	131	5	655	78	264.06	186.06
HLA-A	novel	SAS	131	10	1310	78	378.43	300.43
HLA-A	novel	POOLED	1447	2	2894	718	1353.27	635.27
HLA-A	novel	POOLED	1447	5	7235	718	3071.76	2353.76
HLA-A	novel	POOLED	1447	10	14470	718	5400.58	4682.58
HLA-B	all	AFR	6001	2	12002	521	801.07	280.07
HLA-B	all	AFR	6001	5	30005	521	1288.52	767.52
HLA-B	all	AFR	6001	10	60010	521	1561.73	1040.73
HLA-B	all	AMR	5354	2	10708	511	747.49	236.49
HLA-B	all	AMR	5354	5	26770	511	1131.05	620.05
HLA-B	all	AMR	5354	10	53540	511	1317.63	806.63
HLA-B	all	EAS	2876	2	5752	312	446.79	134.79
HLA-B	all	EAS	2876	5	14380	312	640.74	328.74
HLA-B	all	EAS	2876	10	28760	312	714.89	402.89
HLA-B	all	EUR	5935	2	11870	473	739.84	266.84
HLA-B	all	EUR	5935	5	29675	473	1239.32	766.32
HLA-B	all	EUR	5935	10	59350	473	1563.24	1090.24
HLA-B	all	MID	969	2	1938	174	232.9	58.9
HLA-B	all	MID	969	5	4845	174	293.66	119.66
HLA-B	all	MID	969	10	9690	174	305.47	131.47
HLA-B	all	SAS	2449	2	4898	251	365.96	114.96
HLA-B	all	SAS	2449	5	12245	251	536.03	285.03
HLA-B	all	SAS	2449	10	24490	251	604.77	353.77
HLA-B	all	POOLED	23630	2	47260	1431	2322.31	891.31
HLA-B	all	POOLED	23630	5	118150	1431	4134.53	2703.53
HLA-B	all	POOLED	23630	10	236300	1431	5521.55	4090.55
HLA-B	known	AFR	5141	2	10282	227	275.21	48.21
HLA-B	known	AFR	5141	5	25705	227	303.43	76.43
HLA-B	known	AFR	5141	10	51410	227	305.1	78.1
HLA-B	known	AMR	4662	2	9324	262	324.25	62.25
HLA-B	known	AMR	4662	5	23310	262	381.75	119.75
HLA-B	known	AMR	4662	10	46620	262	390.65	128.65
HLA-B	known	EAS	2501	2	5002	156	187.9	31.9
HLA-B	known	EAS	2501	5	12505	156	212.19	56.19
HLA-B	known	EAS	2501	10	25010	156	214.7	58.7
HLA-B	known	EUR	5304	2	10608	225	298.15	73.15
HLA-B	known	EUR	5304	5	26520	225	379.1	154.1
HLA-B	known	EUR	5304	10	53040	225	397.27	172.27
