gene	category	n_haplotypes	S_obs	Q1	Q2	U	q1_q2_ratio	copy_coverage	low_confidence_chao2	chao2_ci_widened	S_hat_Chao2	pct_Chao2	S_hat_ACE	pct_ACE	S_hat_Clench S_max	pct_Clench S_max	S_hat_Jackknife2	pct_Jackknife2	S_hat_Jackknife1	pct_Jackknife1	pct_min	pct_max
HLA-A	novel	1447	718	652.0	17.0	1447.0	38.35294117647059	0.5494288267393017	False	True	13212.42	5.4342807752099915	10130.14	7.087759892755678	3821.45	18.7886796896466	2003.68	35.83406531981154	1369.55	52.42597933627834	5.4342807752099915	52.42597933627834
HLA-B	novel	3133	929	818.0	38.0	3133.0	21.526315789473685	0.7389161394590316	False	True	9730.45	9.547348786541217	13093.78	7.094971811043106	3664.77	25.34947622906758	2526.25	36.77387431964374	1746.74	53.18478995156692	7.094971811043106	53.18478995156692
HLA-C	novel	2594	949	887.0	22.0	2594.0	40.31818181818182	0.6580635961593819	False	True	18823.22	5.041645372045803	25246.61	3.7589205045746734	7006.4	13.544759077414936	2700.0	35.148148148148145	1835.66	51.6980268677206	3.7589205045746734	51.6980268677206
HLA-DPA1	novel	3132	424	360.0	34.0	3132.0	10.588235294117647	0.8850644051694465	False	True	2329.27	18.20312801864962	2968.29	14.284318580731668	1797.61	23.58687368227814	1109.69	38.20886914363471	783.89	54.08922170202452	14.284318580731668	54.08922170202452
HLA-DPB1	novel	5125	637	520.0	40.0	5125.0	13.0	0.8985396316748768	False	True	4016.34	15.860211037910137	4116.75	15.473370984393028	1913.86	33.28352126069828	1636.72	38.91930201867149	1156.9	55.060938715532885	15.473370984393028	55.060938715532885
HLA-DQA1	novel	3931	463	411.0	21.0	3931.0	19.571428571428573	0.895449169866451	False	True	4483.91	10.325809394033334	4447.15	10.411162205007702	2103.83	22.0074815930945	1263.7	36.63844266835483	873.9	52.980890262043715	10.325809394033334	52.980890262043715
HLA-DQB1	novel	2839	580	504.0	36.0	2839.0	14.0	0.8224816374434193	False	True	4106.76	14.12305564483924	5539.61	10.47005114078428	2563.07	22.62911274370189	1551.51	37.38293662303175	1083.82	53.5144212138547	10.47005114078428	53.5144212138547
HLA-DRB1	novel	14670	664	540.0	45.0	14670.0	12.0	0.9631906022711549	False	True	3903.78	17.009155229034423	4994.49	13.294650705076995	1849.88	35.89422016563236	1698.9	39.084113249749834	1203.96	55.151333931359844	13.294650705076995	55.151333931359844
HLA-A	known	22197	297	122.0	30.0	22449.0	4.066666666666666	0.9945655798979852	False	True	545.06	54.489414009466856	496.31	59.84163123854043			510.99	58.12246815006164	418.99	70.88474665266475	54.489414009466856	70.88474665266475
HLA-B	known	20625	502	166.0	61.0	20851.0	2.721311475409836	0.9920390348293863	False	True	727.86	68.96930728436787	721.75	69.55316937997922			772.98	64.94346554891459	667.99	75.15082561116185	64.94346554891459	75.15082561116185
HLA-C	known	21124	354	149.0	35.0	21351.0	4.257142857142857	0.9930215593578524	False	True	671.14	52.746073844503385	608.11	58.21315222574863			616.98	57.37625206651755	502.99	70.37913278594007	52.746073844503385	70.37913278594007
HLA-DPA1	known	20655	129	31.0	10.0	20833.0	3.1	0.9985120226710116	False	True	177.05	72.86077379271391	170.8	75.52693208430912			181.0	71.2707182320442	160.0	80.625	71.2707182320442	80.625
HLA-DPB1	known	18483	305	66.0	29.0	18620.0	2.2758620689655173	0.9964555928055477	False	True	380.1	80.24204156800842	366.78	83.15611538251814			407.99	74.7567342336822	371.0	82.21024258760107	74.7567342336822	83.15611538251814
HLA-DQA1	known	19837	140	16.0	12.0	20138.0	1.3333333333333333	0.9992055422499686	False	False	150.67	92.91829826773744	151.74	92.263081586925			160.0	87.5	156.0	89.74358974358974	87.5	92.91829826773744
HLA-DQB1	known	20811	170	46.0	25.0	21127.0	1.84	0.9978228050629774	False	True	212.32	80.06782215523738	226.25	75.13812154696133			237.0	71.72995780590718	216.0	78.70370370370371	71.72995780590718	80.06782215523738
HLA-DRB1	known	8815	150	35.0	15.0	8876.0	2.3333333333333335	0.9960571657666744	False	True	190.83	78.6039930828486	186.36	80.48937540244687			204.99	73.17430118542367	185.0	81.08108108108108	73.17430118542367	81.08108108108108
