gene	category	ancestry	segment	n_haplotypes	discovery_rate	n_haplotypes_observed	S_obs	good_turing_at_m	low_confidence_chao2
HLA-A	novel	AFR	observed	10	0.8726352474824666	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	11	0.8624442396650263	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	12	0.852638896754104	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	13	0.8432027016444359	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	14	0.8341198819269116	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	15	0.8253753757949944	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	16	0.8169547994927104	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	17	0.8088444162418699	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	18	0.8010311065895769	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	19	0.7935023400989217	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	20	0.7862461483387054	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	21	0.7792510990998139	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	22	0.7725062717965817	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	23	0.7660012339871863	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	24	0.7597260189765356	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	25	0.7536711044377709	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	26	0.7478273920225702	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	27	0.7421861879044223	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	28	0.7367391842138341	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	29	0.7314784413332119	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	30	0.7263963710032794	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	31	0.721485720207887	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	32	0.716739555804956	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	33	0.7121512498631238	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	34	0.7077144656786576	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	35	0.7034231444364256	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	36	0.6992714924899096	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	37	0.6952539692272194	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	38	0.6913652755014275	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	39	0.6876003425954095	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	40	0.6839543216978844	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	41	0.680422573870747	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	42	0.6770006604750108	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	43	0.6736843340493863	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	44	0.6704695296058591	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	45	0.6673523563330687	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	46	0.6643290896828975	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	47	0.6613961638273793	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	48	0.6585501644628963	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	49	0.6557878219513433	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	50	0.6531060047800079	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	51	0.6505017133236946	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	52	0.6479720738978022	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	53	0.6455143330903172	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	54	0.6431258523505528	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	55	0.6408041028396495	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	56	0.6385466605084282	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	57	0.6363512014151202	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	58	0.63421549725202	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	59	0.6321374110852612	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	60	0.6301148932887373	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	61	0.6281459776702728	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	62	0.6262287777731143	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	63	0.6243614833529098	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	64	0.6225423570148008	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	65	0.620769731008465	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	66	0.6190420041693361	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	67	0.6173576390026784	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	68	0.6157151589018882	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	69	0.6141131454943478	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	70	0.612550236111767	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	71	0.6110251213730431	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	72	0.60953654288352	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	73	0.6080832910354073	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	74	0.60666420291133	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	75	0.6052781602832259	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	76	0.603924087703927	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	77	0.6026009506839302	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	78	0.6013077539535906	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	79	0.6000435398028069	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	80	0.5988073864964213	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	81	0.5975984067639676	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	82	0.5964157463522084	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	83	0.5952585826510316	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	84	0.5941261233744297	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	85	0.5930176053042807	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	86	0.5919322930904997	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	87	0.5908694781040785	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	88	0.58982847734263	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	89	0.5888086323830048	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	90	0.5878093083830493	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	91	0.5868298931255912	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	92	0.5858697961063497	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	93	0.5849284476612859	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	94	0.5840052981319604	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	95	0.5830998170700894	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	96	0.582211492473726	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	97	0.5813398300601205	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	98	0.5804843525658543	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	99	0.5796445990842504	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	100	0.5788201244235613	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	101	0.5780104984995154	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	102	0.5772153057500602	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	103	0.5764341445779845	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	104	0.5756666268128825	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	105	0.5749123772038212	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	106	0.5741710329250385	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	107	0.5734422431077235	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	108	0.5727256683914911	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	109	0.5720209804922817	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	110	0.5713278617905552	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	111	0.5706460049340528	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	112	0.5699751124617335	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	113	0.5693148964384782	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	114	0.5686650781062648	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	115	0.5680253875528706	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	116	0.5673955633885407	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	117	0.5667753524408604	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	118	0.5661645094589854	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	119	0.5655627968311142	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	121	0.564385848769455	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	122	0.5638101739191486	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	123	0.5632427500992903	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	124	0.5626833740333709	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	125	0.5621318486096368	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	126	0.561587982667319	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	128	0.5605224931270298	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	129	0.5600005151653019	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	130	0.5594854875890717	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	131	0.5589772460826931	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	132	0.5584756311680272	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	134	0.5574916664252674	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	135	0.5570090204030657	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	136	0.5565324082913098	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	137	0.5560616924925368	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	139	0.5551374190867737	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	140	0.554683605547324	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	141	0.5542351762114036	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	143	0.5533539972484247	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	144	0.5529210194545208	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	145	0.5524929693227996	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	147	0.5516512299461592	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	148	0.5512373369412024	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	149	0.5508279638955668	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	151	0.55002240031029	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	152	0.5496260275098461	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	154	0.5488456626980827	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	155	0.5484615028783101	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	157	0.5477048257150886	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	158	0.5473321537414191	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	160	0.5465977717864109	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	161	0.5462359192040495	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	163	0.5455225483524888	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	164	0.545170898473988	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	166	0.5444773536168642	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	167	0.5441353370837764	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	169	0.5434605236670701	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	170	0.5431276144368007	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	172	0.5424705208246794	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	174	0.5418247161898615	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	175	0.5415059230882602	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	177	0.5408763179557243	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	178	0.5405654145641541	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	180	0.5399511862929052	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	182	0.5393467823256496	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	183	0.5390481632295263	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	185	0.5384578970943986	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	187	0.5378766798353831	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	189	0.5373042274705018	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	190	0.5370212031667358	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	192	0.5364613956143992	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	194	0.5359097016938096	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	196	0.5353658825468616	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	198	0.534829710721075	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	200	0.5343009695794804	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	201	0.5340393206356094	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	203	0.5335213416193583	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	205	0.5330102954274638	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	207	0.5325059990854962	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	209	0.5320082781593172	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	211	0.5315169663248762	414	235	0.5024154589371981	False
HLA-A	novel	AFR	observed	213	0.5310319049615165	414	235	0.5024154589371981	False
