gene	ancestry	n_haplotypes_observed	S_obs_now	clench_s_max	clench_s_max_bracket_lo	clench_s_max_bracket_hi	clench_b	pct_discovered_clench	additional_alleles_projected_infinite_sampling	fit_ok
HLA-A	AFR	414	235.0	1038.61	721.95	2555.28	1443.54	22.6	803.6	True
HLA-A	AMR	307	171.0	545.81	430.41	917.1	692.37	31.3	374.8	True
HLA-A	EAS	171	108.0	459.26	299.51	3791.24	567.84	23.5	351.3	True
HLA-A	EUR	375	212.0	974.87	675.03	2555.85	1372.35	21.7	762.9	True
HLA-A	MID	49	40.0	225.97	161.17	954961988.7	228.73	17.7	186.0	True
HLA-A	SAS	131	78.0	251.42	185.14	568.7	297.05	31.0	173.4	True
HLA-A	POOLED	1447	718.0	3821.45	2798.44	6481.64	6362.23	18.8	3103.5	True
HLA-B	AFR	896	294.0	895.06	693.63	1439.67	1899.61	32.8	601.1	True
HLA-B	AMR	728	249.0	595.14	493.28	829.76	1065.38	41.8	346.1	True
HLA-B	EAS	391	156.0	381.55	305.71	589.31	588.46	40.9	225.6	True
HLA-B	EUR	662	248.0	711.26	555.65	1237.4	1287.91	34.9	463.3	True
HLA-B	MID	123	64.0	149.15	120.57	257.23	169.15	42.9	85.2	True
HLA-B	SAS	327	116.0	268.08	211.63	442.6	452.19	43.3	152.1	True
HLA-B	POOLED	3133	929.0	3664.77	2864.5	5210.25	9487.32	25.3	2735.8	True
HLA-C	AFR	716	254.0	955.35	659.16	2403.32	2036.99	26.6	701.4	True
HLA-C	AMR	564	255.0	926.25	655.52	1724.21	1525.09	27.5	671.3	True
HLA-C	EAS	370	153.0	532.21	357.99	1552.0	946.15	28.7	379.2	True
HLA-C	EUR	564	251.0	1062.58	721.27	2962.79	1871.92	23.6	811.6	True
HLA-C	MID	96	52.0	136.55	105.68	273.8	160.14	38.1	84.5	True
HLA-C	SAS	279	112.0	358.84	253.92	1314.06	638.33	31.2	246.8	True
HLA-C	POOLED	2594	949.0	7006.4	4252.84	21498.52	16767.56	13.5	6057.4	True
HLA-DPA1	AFR	855	162.0	574.37	369.21	2011.38	2232.69	28.2	412.4	True
HLA-DPA1	AMR	718	102.0	366.95	220.11	1007010902.07	1927.76	27.8	265.0	True
HLA-DPA1	EAS	449	52.0	153.93	90.5	1966799.26	910.08	33.8	101.9	True
HLA-DPA1	EUR	613	119.0	541.75	290.47	8263921.39	2208.74	22.0	422.8	True
HLA-DPA1	MID	124	26.0	82.21	42.52	650607.25	275.91	31.6	56.2	True
HLA-DPA1	SAS	365	53.0	203.37	99.65	3124639.78	1067.7	26.1	150.4	True
HLA-DPA1	POOLED	3132	424.0	1797.61	1304.71	4395.5	10318.94	23.6	1373.6	True
HLA-DPB1	AFR	1674	229.0	581.06	449.72	936.94	2697.97	39.4	352.1	True
HLA-DPB1	AMR	978	187.0	415.43	334.56	608.48	1266.69	45.0	228.4	True
HLA-DPB1	EAS	836	106.0	224.36	174.05	368.69	1007.86	47.2	118.4	True
HLA-DPB1	EUR	842	178.0	507.56	367.66	1006.25	1617.14	35.1	329.6	True
HLA-DPB1	MID	210	53.0	111.72	84.0	230.74	246.75	47.4	58.7	True
HLA-DPB1	SAS	576	80.0	160.04	125.59	280.2	620.0	50.0	80.0	True
HLA-DPB1	POOLED	5125	637.0	1913.86	1545.26	2646.79	10613.46	33.3	1276.9	True
HLA-DQA1	AFR	1099	171.0	522.27	358.97	1662.99	2366.19	32.7	351.3	True
HLA-DQA1	AMR	718	113.0	266.43	200.49	516.48	1039.57	42.4	153.4	True
HLA-DQA1	EAS	548	66.0	106.12	89.36	156.24	390.65	62.2	40.1	True
HLA-DQA1	EUR	870	125.0	310.42	233.63	649.49	1369.6	40.3	185.4	True
HLA-DQA1	MID	174	30.0	39.7	36.43	49.92	68.4	75.6	9.7	True
HLA-DQA1	SAS	516	63.0	119.85	94.58	244.59	516.67	52.6	56.9	True
HLA-DQA1	POOLED	3931	463.0	2103.83	1421.27	4647.45	14204.47	22.0	1640.8	True
HLA-DQB1	AFR	858	197.0	530.81	406.03	1076.68	1511.1	37.1	333.8	True
HLA-DQB1	AMR	612	162.0	538.58	369.05	1388.47	1470.13	30.1	376.6	True
HLA-DQB1	EAS	359	78.0	161.9	126.51	285.38	418.76	48.2	83.9	True
HLA-DQB1	EUR	629	154.0	467.54	341.91	952.79	1338.79	32.9	313.5	True
HLA-DQB1	MID	115	36.0	66.29	54.62	142.89	104.16	54.3	30.3	True
HLA-DQB1	SAS	264	71.0	162.67	121.17	382.96	362.41	43.6	91.7	True
HLA-DQB1	POOLED	2839	580.0	2563.07	1789.2	4823.47	9876.99	22.6	1983.1	True
HLA-DRB1	AFR	4009	217.0	417.71	348.74	584.31	4086.06	51.9	200.7	True
HLA-DRB1	AMR	3202	189.0	299.33	268.91	362.56	2211.21	63.1	110.3	True
HLA-DRB1	EAS	2086	135.0	212.97	189.27	275.6	1383.66	63.4	78.0	True
HLA-DRB1	EUR	3063	197.0	343.17	297.54	418.11	2555.38	57.4	146.2	True
HLA-DRB1	MID	615	62.0	71.64	70.88	75.53	141.66	86.5	9.6	True
HLA-DRB1	SAS	1668	108.0	143.97	135.26	158.37	697.36	75.0	36.0	True
HLA-DRB1	POOLED	14670	664.0	1849.88	1511.04	2438.91	27312.19	35.9	1185.9	True
