gene	category	ancestry	occurrence_k	n_alleles	share_of_S_obs
HLA-A	all	AFR	1	254	0.7115
HLA-A	all	AFR	2	22	0.0616
HLA-A	all	AFR	3	14	0.0392
HLA-A	all	AFR	4	7	0.0196
HLA-A	all	AFR	5	1	0.0028
HLA-A	all	AFR	6	5	0.014
HLA-A	all	AFR	7	1	0.0028
HLA-A	all	AFR	8	3	0.0084
HLA-A	all	AFR	9	2	0.0056
HLA-A	all	AFR	11	4	0.0112
HLA-A	all	AFR	12	1	0.0028
HLA-A	all	AFR	14	3	0.0084
HLA-A	all	AFR	16	2	0.0056
HLA-A	all	AFR	18	1	0.0028
HLA-A	all	AFR	23	1	0.0028
HLA-A	all	AFR	24	2	0.0056
HLA-A	all	AFR	26	1	0.0028
HLA-A	all	AFR	32	1	0.0028
HLA-A	all	AFR	37	1	0.0028
HLA-A	all	AFR	39	1	0.0028
HLA-A	all	AFR	42	1	0.0028
HLA-A	all	AFR	43	1	0.0028
HLA-A	all	AFR	53	1	0.0028
HLA-A	all	AFR	55	1	0.0028
HLA-A	all	AFR	62	1	0.0028
HLA-A	all	AFR	69	1	0.0028
HLA-A	all	AFR	72	1	0.0028
HLA-A	all	AFR	75	1	0.0028
HLA-A	all	AFR	78	1	0.0028
HLA-A	all	AFR	81	1	0.0028
HLA-A	all	AFR	82	1	0.0028
HLA-A	all	AFR	103	1	0.0028
HLA-A	all	AFR	115	1	0.0028
HLA-A	all	AFR	117	1	0.0028
HLA-A	all	AFR	125	1	0.0028
HLA-A	all	AFR	128	1	0.0028
HLA-A	all	AFR	135	1	0.0028
HLA-A	all	AFR	143	1	0.0028
HLA-A	all	AFR	167	1	0.0028
HLA-A	all	AFR	168	1	0.0028
HLA-A	all	AFR	188	1	0.0028
HLA-A	all	AFR	200	1	0.0028
HLA-A	all	AFR	211	1	0.0028
HLA-A	all	AFR	238	1	0.0028
HLA-A	all	AFR	240	1	0.0028
HLA-A	all	AFR	307	1	0.0028
HLA-A	all	AFR	321	1	0.0028
HLA-A	all	AFR	385	1	0.0028
HLA-A	all	AFR	519	1	0.0028
HLA-A	all	AFR	716	1	0.0028
HLA-A	all	AMR	1	207	0.635
HLA-A	all	AMR	2	20	0.0613
HLA-A	all	AMR	3	17	0.0521
HLA-A	all	AMR	4	8	0.0245
HLA-A	all	AMR	5	12	0.0368
HLA-A	all	AMR	6	4	0.0123
HLA-A	all	AMR	7	3	0.0092
HLA-A	all	AMR	8	3	0.0092
HLA-A	all	AMR	9	5	0.0153
HLA-A	all	AMR	10	4	0.0123
HLA-A	all	AMR	11	2	0.0061
HLA-A	all	AMR	12	2	0.0061
HLA-A	all	AMR	13	1	0.0031
HLA-A	all	AMR	14	2	0.0061
HLA-A	all	AMR	17	1	0.0031
HLA-A	all	AMR	18	1	0.0031
HLA-A	all	AMR	19	2	0.0061
HLA-A	all	AMR	22	2	0.0061
HLA-A	all	AMR	23	1	0.0031
HLA-A	all	AMR	24	1	0.0031
HLA-A	all	AMR	25	1	0.0031
HLA-A	all	AMR	28	1	0.0031
HLA-A	all	AMR	34	1	0.0031
HLA-A	all	AMR	43	1	0.0031
HLA-A	all	AMR	45	1	0.0031
HLA-A	all	AMR	46	1	0.0031
HLA-A	all	AMR	56	1	0.0031
HLA-A	all	AMR	58	1	0.0031
HLA-A	all	AMR	67	2	0.0061
HLA-A	all	AMR	72	1	0.0031
HLA-A	all	AMR	73	1	0.0031
HLA-A	all	AMR	78	1	0.0031
HLA-A	all	AMR	114	1	0.0031
HLA-A	all	AMR	127	1	0.0031
HLA-A	all	AMR	129	1	0.0031
HLA-A	all	AMR	132	1	0.0031
HLA-A	all	AMR	137	1	0.0031
HLA-A	all	AMR	144	1	0.0031
HLA-A	all	AMR	157	1	0.0031
HLA-A	all	AMR	170	1	0.0031
HLA-A	all	AMR	190	1	0.0031
HLA-A	all	AMR	214	1	0.0031
HLA-A	all	AMR	221	1	0.0031
HLA-A	all	AMR	291	1	0.0031
HLA-A	all	AMR	339	1	0.0031
HLA-A	all	AMR	531	1	0.0031
HLA-A	all	AMR	1039	1	0.0031
HLA-A	all	EAS	1	127	0.6649
HLA-A	all	EAS	2	12	0.0628
HLA-A	all	EAS	3	4	0.0209
HLA-A	all	EAS	4	7	0.0366
HLA-A	all	EAS	5	2	0.0105
HLA-A	all	EAS	6	6	0.0314
HLA-A	all	EAS	7	5	0.0262
HLA-A	all	EAS	8	2	0.0105
HLA-A	all	EAS	9	2	0.0105
HLA-A	all	EAS	10	4	0.0209
HLA-A	all	EAS	11	1	0.0052
HLA-A	all	EAS	14	1	0.0052
HLA-A	all	EAS	16	1	0.0052
HLA-A	all	EAS	28	1	0.0052
HLA-A	all	EAS	33	1	0.0052
HLA-A	all	EAS	54	2	0.0105
HLA-A	all	EAS	58	1	0.0052
HLA-A	all	EAS	64	1	0.0052
HLA-A	all	EAS	67	1	0.0052
HLA-A	all	EAS	74	1	0.0052
HLA-A	all	EAS	97	1	0.0052
HLA-A	all	EAS	101	1	0.0052
HLA-A	all	EAS	103	1	0.0052
HLA-A	all	EAS	120	1	0.0052
HLA-A	all	EAS	184	1	0.0052
