gene	ancestry	n_haplotypes	S_obs	watterson_theta	neutral_expected_at_2x	neutral_additional_at_2x	chao2_estimated_total	chao2_additional_unseen
HLA-A	AFR	5948	357	83.237	414.12	57.12	1823.03	1466.03
HLA-A	AMR	5341	326	76.38	378.41	52.41	1397.02	1071.02
HLA-A	EAS	2884	191	45.816	222.4	31.4	862.81	671.81
HLA-A	EUR	5943	330	75.185	381.65	51.65	1480.33	1150.33
HLA-A	MID	959	107	30.655	127.78	20.78	339.32	232.32
HLA-A	SAS	2451	146	33.875	169.25	23.25	498.66	352.66
HLA-A	POOLED	23571	1015	215.718	1163.55	148.55	7387.88	6372.88
HLA-B	AFR	6001	521	136.858	614.33	93.33	1647.81	1126.81
HLA-B	AMR	5354	511	138.794	605.45	94.45	1363.39	852.39
HLA-B	EAS	2876	312	88.795	372.22	60.22	727.0	415.0
HLA-B	EUR	5935	473	120.671	555.44	82.44	1697.13	1224.13
HLA-B	MID	969	174	61.593	214.84	40.84	306.12	132.12
HLA-B	SAS	2449	251	69.883	298.47	47.47	617.08	366.08
HLA-B	POOLED	23630	1431	334.995	1660.85	229.85	6320.97	4889.97
HLA-C	AFR	6013	408	98.79	475.68	67.68	2099.91	1691.91
HLA-C	AMR	5357	418	105.873	490.36	72.36	2051.03	1633.03
HLA-C	EAS	2874	267	71.737	315.85	48.85	880.35	613.35
HLA-C	EUR	5922	401	97.03	467.47	66.47	2081.05	1680.05
HLA-C	MID	953	127	39.135	153.36	26.36	390.79	263.79
HLA-C	SAS	2442	212	55.585	249.91	37.91	656.55	444.55
HLA-C	POOLED	23605	1303	296.787	1506.87	203.87	10717.48	9414.48
HLA-DPA1	AFR	6021	243	50.668	277.91	34.91	918.89	675.89
HLA-DPA1	AMR	5351	181	36.051	205.87	24.87	1368.88	1187.88
HLA-DPA1	EAS	2898	101	20.211	114.94	13.94	269.0	168.0
HLA-DPA1	EUR	5944	189	37.083	214.59	25.59	896.93	707.93
HLA-DPA1	MID	970	72	17.805	84.18	12.18	168.23	96.23
HLA-DPA1	SAS	2447	98	20.314	112.0	14.0	457.85	359.85
HLA-DPA1	POOLED	23676	553	101.203	622.93	69.93	2290.21	1737.21
HLA-DPB1	AFR	5973	377	89.255	438.21	61.21	1228.12	851.12
HLA-DPB1	AMR	5308	354	85.234	412.41	58.41	841.03	487.03
HLA-DPB1	EAS	2870	219	54.984	256.6	37.6	509.1	290.1
HLA-DPB1	EUR	5894	356	83.161	413.07	57.07	787.14	431.14
HLA-DPB1	MID	958	138	43.998	167.53	29.53	291.97	153.97
HLA-DPB1	SAS	2425	176	43.444	205.73	29.73	563.04	387.04
HLA-DPB1	POOLED	23473	942	196.505	1077.39	135.39	3430.27	2488.27
HLA-DQA1	AFR	5965	266	56.966	305.22	39.22	1444.03	1178.03
HLA-DQA1	AMR	5340	209	43.214	238.78	29.78	739.08	530.08
HLA-DQA1	EAS	2892	142	31.159	163.43	21.43	296.99	154.99
HLA-DQA1	EUR	5893	221	45.203	252.16	31.16	821.86	600.86
HLA-DQA1	MID	954	93	25.304	110.22	17.22	139.67	46.67
HLA-DQA1	SAS	2453	127	28.271	146.44	19.44	301.66	174.66
HLA-DQA1	POOLED	23543	603	112.685	680.84	77.84	3365.44	2762.44
HLA-DQB1	AFR	5938	278	60.336	319.52	41.52	901.42	623.42
HLA-DQB1	AMR	5319	253	55.138	290.94	37.94	1225.14	972.14
HLA-DQB1	EAS	2884	141	30.902	162.26	21.26	400.95	259.95
HLA-DQB1	EUR	5891	249	52.558	285.2	36.2	1501.33	1252.33
HLA-DQB1	MID	956	92	24.914	108.96	16.96	180.8	88.8
HLA-DQB1	SAS	2448	135	30.61	156.03	21.03	364.04	229.04
HLA-DQB1	POOLED	23482	750	147.679	851.9	101.9	3229.4	2479.4
HLA-DRB1	AFR	5903	301	66.911	347.01	46.01	1211.27	910.27
HLA-DRB1	AMR	5243	285	64.513	329.33	44.33	1094.88	809.88
HLA-DRB1	EAS	2855	191	45.96	222.5	31.5	427.37	236.37
HLA-DRB1	EUR	5832	280	61.194	322.1	42.1	798.33	518.33
HLA-DRB1	MID	939	105	30.104	125.4	20.4	193.79	88.79
HLA-DRB1	SAS	2416	161	38.67	187.5	26.5	419.51	258.51
HLA-DRB1	POOLED	23234	814	163.994	927.1	113.1	3569.09	2755.09
