gene	n_depth4_haplotypes	n_parsed	n_no_row	n_cs_error	n_split_alignment	n_low_qcov	n_multi_record_chained	n_fallback_3field	n_context_sequence	n_minus_strand	n_signatures	n_signatures_ge20_unrelated	n_former_novel_ids	frac_homopolymer_only	median_qcov	n_intron_only	n_involves_utr	n_touches_cds	n_unannotated	n_other	n_no_difference
HLA-A	758	743	0	0	0	<20	0	0	743	402	620	<20	74	0.3405114401076716	1.0	517	88	52	0	0	86
HLA-B	2344	2309	<20	0	0	33	0	<20	2309	1286	1283	<20	134	0.21611087050671288	1.0	524	949	363	0	0	473
HLA-C	1720	1679	0	0	0	41	0	0	1679	871	1136	<20	79	0.23228111971411555	1.0	585	560	231	0	0	303
HLA-DPA1	2707	2679	<20	0	0	25	0	<20	2679	1427	1408	<20	56	0.13960432997387084	1.0	1261	960	288	0	0	170
HLA-DPB1	4548	4460	<20	0	0	78	0	<20	4460	2001	2690	<20	110	0.1717488789237668	1.0	3677	527	243	0	0	<20
HLA-DQA1	3524	3491	<20	0	0	30	0	<20	3491	1640	1689	<20	47	0.3887138355771985	1.0	2304	742	422	0	0	23
HLA-DQB1	2280	2253	<20	0	0	25	0	<20	2253	1172	1531	<20	62	0.3794940079893475	1.0	1753	396	94	0	0	<20
HLA-DRB1	14326	14272	<20	0	0	53	0	<20	14272	7634	4755	111	146	0.16003363228699552	1.0	12745	411	1115	0	0	<20
